,Approaches_from_75-100_yards_RANK THIS WEEK,Approaches_from_75-100_yards_RANK LAST WEEK,Approaches_from_75-100_yards_PLAYER NAME,Approaches_from_75-100_yards_ROUNDS,Approaches_from_75-100_yards_AVG,Approaches_from_75-100_yards_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_# OF ATTEMPTS,Approaches_from_75-100_yards_RELATIVE TO PAR
0,1,1,Adam Scott,41,"8' 0""",40.0,5,-3
1,2,2,Keegan Bradley,65,"12' 0""",335.583,28,-9
2,3,3,Matt Wallace,31,"12' 3""",159.583,13,-1
3,4,4,Gary Woodland,63,"12' 7""",288.5,23,-7
4,5,6,Alex Prugh,54,"13' 0""",571.9169999999999,44,-18
5,6,5,Rickie Fowler,54,"13' 1""",352.333,27,-10
6,T7,T7,Chris Kirk,47,"13' 3""",424.833,32,-4
7,T7,T7,Hideki Matsuyama,59,"13' 3""",264.75,20,E
8,9,T16,Ben Crane,41,"13' 8""",259.5,19,-4
9,T10,T11,Justin Rose,42,"13' 9""",206.167,15,-3
10,T10,T11,Xander Schauffele,55,"13' 9""",275.33299999999997,20,-7
11,T10,T11,Brian Stuard,76,"13' 9""",714.8330000000001,52,-15
12,T13,14,Sam Burns,66,"14' 1""",451.417,32,-2
13,T13,T19,Talor Gooch,37,"14' 1""",168.833,12,-3
14,T13,9,Sebastián Muñoz,58,"14' 1""",351.917,25,-7
15,16,999,Tyrone Van Aswegen,30,"14' 2""",283.66700000000003,20,-2
16,T17,T16,Lucas Glover,62,"14' 4""",415.417,29,-3
17,T17,T16,Kevin Streelman,63,"14' 4""",531.5,37,-8
18,T17,T23,Chris Thompson,34,"14' 4""",258.5,18,-3
19,20,T19,Seamus Power,58,"14' 6""",347.583,24,-4
20,21,T19,Rory Sabbatini,71,"14' 7""",526.0830000000001,36,-15
21,22,22,"Ted Potter, Jr.",56,"14' 8""",527.0830000000001,36,-7
22,23,T23,Charles Howell III,64,"14' 9""",515.5830000000001,35,-5
23,T24,25,Chesson Hadley,58,"14' 11""",476.417,32,E
24,T24,T45,Dustin Johnson,47,"14' 11""",312.83299999999997,21,-7
25,T24,T35,Nate Lashley,44,"14' 11""",433.333,29,-8
26,T27,T26,Tyrrell Hatton,46,"15' 0""",284.5,19,-4
27,T27,T26,John Huh,35,"15' 0""",165.083,11,E
28,29,T28,Michael Thompson,56,"15' 1""",527.5,35,-8
29,30,T40,Kyle Jones,49,"15' 2""",530.4169999999999,35,-13
30,31,30,Ben Silverman,54,"15' 4""",382.333,25,-4
31,T32,T35,Sergio Garcia,39,"15' 5""",277.08299999999997,18,-4
32,T32,T32,Adam Long,52,"15' 5""",540.0,35,-2
33,34,34,Vaughn Taylor,69,"15' 6""",1144.833,74,-14
34,T35,T35,Keith Mitchell,64,"15' 7""",450.917,29,-3
35,T35,T35,Pat Perez,52,"15' 7""",312.16700000000003,20,+3
36,T37,T40,Stewart Cink,33,"15' 8""",219.417,14,-1
37,T37,T45,Jim Herman,37,"15' 8""",407.083,26,-5
