,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,2,Lucas Bjerregaard,37,61.82,34,55,+0.03
1,2,4,Keegan Bradley,65,59.48,69,116,E
2,3,T5,Henrik Stenson,46,58.78,77,131,+0.03
3,4,7,Rory McIlroy,50,58.7,54,92,-0.20
4,5,3,Brooks Koepka,49,58.44,45,77,-0.02
5,6,T5,Dustin Johnson,47,57.75,41,71,-0.10
6,7,8,Cameron Champ,58,57.29,55,96,+0.02
7,8,14,Cameron Tringale,52,55.42,46,83,-0.13
8,9,10,Tiger Woods,31,55.36,31,56,-0.03
9,10,1,D.J. Trahan,33,55.17,16,29,-0.13
10,11,T22,Talor Gooch,37,54.69,35,64,-0.14
11,12,12,Jon Rahm,51,54.67,41,75,-0.15
12,13,13,Gary Woodland,63,54.55,48,88,+0.08
13,14,9,Ben Crane,41,54.43,43,79,-0.14
14,15,34,John Chin,38,53.57,30,56,+0.03
15,16,T20,Alex Prugh,54,53.42,39,73,-0.13
16,17,18,Charley Hoffman,58,53.09,43,81,-0.12
17,18,24,Jason Kokrak,68,52.53,52,99,-0.23
18,19,27,Russell Henley,56,52.48,53,101,E
19,20,T22,Josh Teater,47,52.31,34,65,-0.06
20,21,T15,Carlos Ortiz,60,52.21,59,113,E
21,22,25,Russell Knox,65,52.1,62,119,-0.03
22,23,38,Corey Conners,62,51.76,44,85,+0.02
23,24,19,Trey Mullinax,67,51.69,46,89,-0.07
24,25,35,Matt Every,38,51.67,31,60,-0.10
25,26,29,Adam Long,52,51.52,51,99,+0.02
26,27,42,Hudson Swafford,59,51.46,53,103,-0.17
27,28,11,Wes Roach,45,51.43,36,70,-0.08
28,29,31,Kevin Kisner,65,51.09,47,92,-0.06
29,30,T15,Sangmoon Bae,42,50.77,33,65,-0.12
30,31,28,Fabián Gómez,44,50.7,36,71,E
31,32,37,Xander Schauffele,55,50.67,38,75,-0.24
32,33,43,Kevin Streelman,63,50.49,52,103,-0.04
33,T34,30,Roberto Castro,54,50.0,48,96,-0.08
34,T34,41,Dylan Frittelli,55,50.0,51,102,E
35,T34,T44,Tyrrell Hatton,46,50.0,41,82,-0.22
36,T34,26,Alex Noren,49,50.0,35,70,+0.03
