,Approaches_from_50-75_yards_RANK THIS WEEK,Approaches_from_50-75_yards_RANK LAST WEEK,Approaches_from_50-75_yards_PLAYER NAME,Approaches_from_50-75_yards_ROUNDS,Approaches_from_50-75_yards_AVG,Approaches_from_50-75_yards_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_# OF ATTEMPTS,Approaches_from_50-75_yards_RELATIVE TO PAR
0,1,1,Emiliano Grillo,65,"3' 5""",3.417,1,-1
1,2,2,Talor Gooch,37,"5' 7""",16.833,3,+1
2,3,4,Jim Herman,37,"8' 8""",17.333,2,+1
3,4,5,James Hahn,34,"8' 9""",43.917,5,E
4,5,6,Grayson Murray,36,"9' 1""",18.167,2,-1
5,6,7,Aaron Baddeley,51,"9' 7""",76.833,8,-3
6,7,8,Tom Hoge,70,"9' 10""",39.167,4,E
7,8,T9,Jhonattan Vegas,60,"9' 11""",69.5,7,-3
8,9,11,Billy Horschel,73,"10' 0""",70.0,7,-1
9,10,T15,Brice Garnett,63,"10' 1""",100.667,10,-3
10,11,12,Jonathan Byrd,43,"10' 4""",124.083,12,-1
11,T12,T13,Joey Garber,44,"10' 7""",42.25,4,+1
12,T12,T13,Matt Wallace,31,"10' 7""",63.667,6,-2
13,T14,T15,Sung Kang,67,"10' 8""",127.583,12,-4
14,T14,T15,Si Woo Kim,65,"10' 8""",96.0,9,E
15,T16,T18,Alex Cejka,41,"10' 9""",97.083,9,-5
16,T16,T18,Adam Long,52,"10' 9""",107.583,10,+1
17,18,21,Curtis Luck,51,"10' 10""",75.917,7,-1
18,19,24,Danny Lee,66,"11' 3""",112.417,10,-4
19,20,25,Louis Oosthuizen,43,"11' 4""",102.25,9,-2
20,21,26,Max Homa,61,"11' 6""",103.583,9,E
21,T22,27,Justin Rose,42,"11' 7""",81.0,7,-1
22,T22,T45,Robert Streb,60,"11' 7""",208.5,18,-5
23,24,T28,Hideki Matsuyama,59,"11' 8""",116.5,10,E
24,25,T30,Rafa Cabrera Bello,57,"11' 9""",105.667,9,-3
25,26,32,Kyle Jones,49,"11' 10""",177.75,15,-5
26,T27,T30,Trey Mullinax,67,"11' 11""",250.083,21,-4
27,T27,T73,Rod Pampling,40,"11' 11""",59.75,5,-1
28,T27,33,Jordan Spieth,57,"11' 11""",238.75,20,-8
