,Approach_150-175_yards_RTP_Score_RANK THIS WEEK,Approach_150-175_yards_RTP_Score_RANK LAST WEEK,Approach_150-175_yards_RTP_Score_PLAYER NAME,Approach_150-175_yards_RTP_Score_ROUNDS,Approach_150-175_yards_RTP_Score_AVG RTP
0,1,1,Andrew Putnam,57,-.204
1,2,3,Gary Woodland,63,-.189
2,3,2,Matt Every,38,-.186
3,4,4,Graeme McDowell,61,-.185
4,5,999,Shane Lowry,30,-.184
5,6,999,Martin Piller,30,-.167
6,7,5,Adam Scott,41,-.162
7,8,6,Justin Thomas,49,-.157
8,9,7,Cameron Champ,58,-.153
9,10,8,Tiger Woods,31,-.152
10,11,T12,Ben Silverman,54,-.131
11,T12,T12,Abraham Ancer,69,-.123
12,T12,T17,Scott Langley,60,-.123
13,14,T9,J.J. Henry,42,-.122
14,T15,T14,Jason Day,45,-.121
15,T15,T14,Billy Horschel,73,-.121
16,17,T17,Charles Howell III,64,-.112
17,T18,T19,Brian Gay,79,-.110
18,T18,16,Brady Schnell,38,-.110
19,T20,21,Patrick Cantlay,49,-.108
20,T20,T28,Danny Willett,47,-.108
21,22,T19,Corey Conners,62,-.107
22,T23,T22,Roberto Castro,54,-.106
23,T23,30,Jim Furyk,53,-.106
24,25,T25,Freddie Jacobson,37,-.105
25,26,T28,Pat Perez,52,-.103
26,T27,31,Kevin Kisner,65,-.101
27,T27,T22,Scott Stallings,63,-.101
28,29,T48,Rory McIlroy,50,-.099
29,30,T22,Scott Piercy,70,-.096
30,31,T38,David Hearn,41,-.095
31,32,32,Marc Leishman,52,-.093
32,T33,T33,Ernie Els,43,-.092
33,T33,T9,Dustin Johnson,47,-.092
34,T33,T33,Francesco Molinari,41,-.092
35,T33,T33,Brian Stuard,76,-.092
36,T33,T44,Nick Watney,67,-.092
37,T38,36,Justin Rose,42,-.091
38,T38,T48,Henrik Stenson,46,-.091
39,40,T41,Hideki Matsuyama,59,-.087
40,T41,T25,Ben Crane,41,-.086
41,T41,T38,Sergio Garcia,39,-.086
42,43,T44,Jordan Spieth,57,-.085
43,T44,46,Aaron Baddeley,51,-.084
44,T44,11,Stephan Jaeger,59,-.084
45,46,27,Jim Herman,37,-.083
46,T47,T38,Brooks Koepka,49,-.082
47,T47,47,Jason Kokrak,68,-.082
48,49,50,Ryan Blaum,67,-.080
49,50,37,Josh Teater,47,-.078
50,51,52,Kyle Stanley,53,-.077
51,T52,T57,José de Jesús Rodríguez,51,-.076
52,T52,53,Cameron Smith,55,-.076
53,T54,T71,Ryan Armour,66,-.075
54,T54,54,Kevin Na,54,-.075
55,T54,43,Richy Werenski,63,-.075
56,T57,55,Xander Schauffele,55,-.074
57,T57,999,Tyrone Van Aswegen,30,-.074
58,T59,T120,Joey Garber,44,-.071
59,T59,56,Sam Saunders,53,-.071
60,T61,T59,Emiliano Grillo,65,-.069
61,T61,T59,Andrew Landry,56,-.069
62,T63,T41,Cameron Davis,54,-.068
63,T63,T57,Talor Gooch,37,-.068
64,65,51,Ollie Schniederjans,63,-.066
65,T66,T62,Anders Albertson,48,-.063
66,T66,T64,Lucas Glover,62,-.063
67,T66,T64,Troy Merritt,42,-.063
68,T66,T62,Peter Uihlein,65,-.063
69,70,67,Patton Kizzire,58,-.062
70,71,80,Nick Taylor,70,-.061
71,72,T69,Chez Reavie,67,-.060
72,T73,T71,Keith Mitchell,64,-.059
73,T73,79,Shawn Stefani,57,-.059
74,T75,T85,Brandt Snedeker,68,-.058
75,T75,73,Michael Thompson,56,-.058
76,T77,T74,Si Woo Kim,65,-.056
77,T77,T74,Phil Mickelson,41,-.056
78,T79,T76,Rafa Cabrera Bello,57,-.054
79,T79,T76,Patrick Reed,53,-.054
80,81,T108,Roberto Díaz,51,-.053
81,T82,61,Alex Cejka,41,-.051
82,T82,T85,Mackenzie Hughes,58,-.051
83,T82,T69,Sungjae Im,88,-.051
84,T82,78,Seth Reeves,52,-.051
85,T86,81,Russell Knox,65,-.050
86,T86,T64,Chris Stroud,54,-.050
87,88,91,Rod Pampling,40,-.049
88,89,T82,J.B. Holmes,54,-.048
89,90,T93,Bud Cauley,61,-.046
90,91,T82,Webb Simpson,53,-.045
91,92,114,Matt Kuchar,65,-.044
92,T93,106,Scott Brown,66,-.043
93,T93,84,Adam Hadwin,66,-.043
94,T93,T89,Beau Hossler,66,-.043
95,T93,T111,Hank Lebioda,55,-.043
96,T93,T85,Adam Svensson,51,-.043
97,T98,T102,Peter Malnati,64,-.041
98,T98,T100,Hudson Swafford,59,-.041
99,100,T89,Cody Gribble,52,-.040
100,T101,95,Rickie Fowler,54,-.039
101,T101,92,Danny Lee,66,-.039
102,T103,T96,Joel Dahmen,78,-.038
103,T103,T96,Tony Finau,61,-.038
104,T103,T93,Sebastián Muñoz,58,-.038
105,106,98,Vaughn Taylor,69,-.037
106,T107,T85,Wyndham Clark,61,-.035
107,T107,99,Ian Poulter,49,-.035
108,109,107,Adam Schenk,80,-.034
109,T110,T100,Carlos Ortiz,60,-.033
110,T110,T102,"Ted Potter, Jr.",56,-.033
111,112,105,Kramer Hickok,59,-.031
112,113,T108,Luke List,52,-.029
113,T114,T111,Tommy Fleetwood,43,-.028
114,T114,138,Denny McCarthy,63,-.028
115,T114,T123,Harold Varner III,62,-.028
116,117,T108,J.J. Spaun,68,-.027
117,118,T128,Harris English,72,-.025
118,119,68,Chris Thompson,34,-.024
119,120,T102,Tom Hoge,70,-.023
120,T121,T115,Charley Hoffman,58,-.020
121,T121,T115,Sung Kang,67,-.020
122,T121,T115,Grayson Murray,36,-.020
123,124,T115,Whee Kim,57,-.019
124,125,119,James Hahn,34,-.018
125,126,T120,Stewart Cink,33,-.017
126,127,113,Martin Laird,60,-.016
127,T128,T139,Sangmoon Bae,42,-.014
128,T128,T125,Jhonattan Vegas,60,-.014
129,130,T128,Louis Oosthuizen,43,-.013
130,131,T159,Cameron Tringale,52,-.012
131,T132,T131,Bronson Burgoon,37,-.011
132,T132,T131,J.T. Poston,76,-.011
133,T134,T133,Byeong Hun An,54,-.010
134,T134,T133,Satoshi Kodaira,51,-.010
135,T136,T139,Dylan Frittelli,55,-.009
136,T136,T135,Anirban Lahiri,54,-.009
137,T136,T135,Jimmy Walker,61,-.009
138,T139,T120,Brandon Harkins,67,-.008
139,T139,137,Ryan Moore,54,-.008
140,T141,T139,Keegan Bradley,65,-.007
141,T141,T123,Brian Harman,67,-.007
142,T141,T139,Russell Henley,56,-.007
143,T144,T139,Kiradech Aphibarnrat,49,E
144,T144,T139,Branden Grace,62,E
145,T144,T139,Chesson Hadley,58,E
146,T144,T174,Zach Johnson,50,E
147,T144,T125,Jim Knous,55,E
148,T144,T139,Haotong Li,32,E
149,T144,T139,Wes Roach,45,E
150,T144,T139,John Senden,39,E
151,T144,T139,Brendan Steele,50,E
152,T144,T139,Robert Streb,60,E
153,T144,T139,Kevin Streelman,63,E
154,T144,T125,Martin Trainer,51,E
155,T156,T153,Jason Dufner,56,+.008
156,T156,T153,Max Homa,61,+.008
157,T158,155,C.T. Pan,64,+.009
158,T158,T139,Roger Sloan,62,+.009
159,T160,165,Austin Cook,50,+.010
160,T160,T156,Tyrrell Hatton,46,+.010
161,T160,T156,Martin Kaymer,38,+.010
162,T163,T159,Dominic Bozzelli,53,+.012
163,T163,T172,Kevin Tway,62,+.012
164,165,T174,Julián Etulain,55,+.013
165,166,T159,Jon Rahm,51,+.014
166,167,T156,Chase Wright,53,+.018
167,T168,T163,Sam Ryder,52,+.019
168,T168,T163,Rory Sabbatini,71,+.019
169,T170,T166,Matthew Fitzpatrick,42,+.022
170,T170,T166,Hunter Mahan,45,+.022
171,T170,T166,Charl Schwartzel,34,+.022
172,T173,186,Jonas Blixt,66,+.023
173,T173,T169,Sam Burns,66,+.023
174,T173,T169,Matt Jones,67,+.023
175,176,T172,Paul Casey,51,+.025
176,T177,185,Daniel Berger,48,+.028
177,T177,T177,Sepp Straka,48,+.028
178,179,T177,Ryan Palmer,56,+.031
179,180,T180,Aaron Wise,52,+.033
180,181,T180,Brice Garnett,63,+.034
181,T182,T174,Seamus Power,58,+.035
182,T182,T128,Johnson Wagner,45,+.035
183,T184,162,Tyler Duncan,66,+.036
184,T184,182,Trey Mullinax,67,+.036
185,186,200,John Chin,38,+.037
186,187,184,Matt Wallace,31,+.039
187,T188,T190,Fabián Gómez,44,+.042
188,T188,T177,Alex Noren,49,+.042
189,T188,171,D.J. Trahan,33,+.042
190,191,T187,Alex Prugh,54,+.044
191,192,201,Jonathan Byrd,43,+.045
192,T193,T187,John Huh,35,+.047
193,T193,204,Curtis Luck,51,+.047
194,195,T190,Lucas Bjerregaard,37,+.051
195,196,189,Chris Kirk,47,+.052
196,T197,T193,Nate Lashley,44,+.055
197,T197,192,D.A. Points,33,+.055
198,T199,195,Kyle Jones,49,+.056
199,T199,T193,Patrick Rodgers,44,+.056
200,201,T196,Kyoung-Hoon Lee,72,+.058
201,202,199,Bryson DeChambeau,45,+.060
202,203,202,Bill Haas,58,+.065
203,204,198,Bubba Watson,47,+.069
204,205,203,Joaquin Niemann,68,+.076
205,206,T196,Kelly Kraft,67,+.078
206,207,205,Adam Long,52,+.089
207,208,206,Michael Kim,51,+.100
208,209,207,Justin Harding,31,+.125
