,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
88,T88,T83,Tony Finau,61,"16' 9""",536.0830000000001,32,-0.09
89,T88,T88,Adam Hadwin,66,"16' 9""",955.1669999999999,57,-0.21
90,T91,T100,José de Jesús Rodríguez,51,"16' 10""",691.4169999999999,41,-0.29
91,T91,T86,Jhonattan Vegas,60,"16' 10""",588.0,35,-0.20
92,T93,T88,Rafa Cabrera Bello,57,"16' 11""",490.333,29,-0.28
93,T93,T88,Wyndham Clark,61,"16' 11""",761.75,45,-0.13
94,T93,T88,Chez Reavie,67,"16' 11""",779.0830000000001,46,-0.02
95,T96,T97,Max Homa,61,"17' 0""",644.75,38,+0.03
96,T96,T136,Dustin Johnson,47,"17' 0""",612.25,36,-0.39
97,T96,T44,Nick Watney,67,"17' 0""",916.3330000000001,54,-0.09
98,T99,99,Paul Casey,51,"17' 1""",581.5830000000001,34,-0.18
99,T99,T88,Webb Simpson,53,"17' 1""",616.25,36,-0.11
100,T99,T88,Cameron Tringale,52,"17' 1""",546.0830000000001,32,-0.16
101,T102,T130,Jim Knous,55,"17' 2""",842.5830000000001,49,-0.06
102,T102,T100,Jason Kokrak,68,"17' 2""",738.4169999999999,43,-0.05
103,T102,T122,Scott Stallings,63,"17' 2""",791.0,46,-0.04
104,T105,T103,Bryson DeChambeau,45,"17' 3""",568.25,33,-0.30
105,T105,T103,Brian Gay,79,"17' 3""",1573.4170000000001,91,-0.12
106,T107,T133,Austin Cook,50,"17' 4""",642.4169999999999,37,+0.03
107,T107,T106,Jason Dufner,56,"17' 4""",761.0,44,+0.02
108,T107,T78,Dylan Frittelli,55,"17' 4""",917.8330000000001,53,-0.25
109,T107,T139,J.J. Henry,42,"17' 4""",398.75,23,E
110,T107,T106,Sam Ryder,52,"17' 4""",674.8330000000001,39,-0.28
111,T112,T109,Cameron Champ,58,"17' 6""",961.75,55,-0.13
112,T112,T103,John Chin,38,"17' 6""",384.083,22,E
113,T112,T126,Hank Lebioda,55,"17' 6""",718.0830000000001,41,-0.24
114,T112,T109,Ian Poulter,49,"17' 6""",543.4169999999999,31,-0.16
115,T112,T122,Sam Saunders,53,"17' 6""",908.6669999999999,52,-0.08
116,T117,T111,Beau Hossler,66,"17' 7""",1000.5830000000001,57,-0.07
117,T117,T111,Luke List,52,"17' 7""",667.1669999999999,38,-0.21
118,T117,T111,Phil Mickelson,41,"17' 7""",510.0,29,+0.14
119,T117,T111,Andrew Putnam,57,"17' 7""",861.9169999999999,49,-0.20
120,T117,T111,Hudson Swafford,59,"17' 7""",721.0,41,+0.10
121,122,T116,Charley Hoffman,58,"17' 8""",637.1669999999999,36,E
122,T123,T139,Bill Haas,58,"17' 9""",569.0830000000001,32,-0.16
123,T123,T118,Freddie Jacobson,37,"17' 9""",444.333,25,-0.36
124,T123,T122,Martin Laird,60,"17' 9""",1012.9169999999999,57,-0.16
125,T126,T143,Alex Cejka,41,"17' 10""",481.083,27,-0.33
126,T126,T122,Billy Horschel,73,"17' 10""",800.8330000000001,45,-0.04
127,T126,T116,Scott Langley,60,"17' 10""",875.6669999999999,49,-0.04
128,T126,T118,Aaron Wise,52,"17' 10""",998.5830000000001,56,-0.11
129,T130,T126,Matthew Fitzpatrick,42,"17' 11""",608.0830000000001,34,E
130,T130,T126,Francesco Molinari,41,"17' 11""",663.5830000000001,37,-0.16
131,T130,T126,Roger Sloan,62,"17' 11""",949.0830000000001,53,-0.06
132,T133,T170,Matt Every,38,"18' 0""",630.0830000000001,35,-0.17
133,T133,T139,Sungjae Im,88,"18' 0""",1406.6670000000001,78,-0.13
134,T133,T118,Josh Teater,47,"18' 0""",845.0,47,+0.04
135,T136,108,Zach Johnson,50,"18' 1""",723.25,40,-0.05
136,T136,T88,Curtis Luck,51,"18' 1""",561.5,31,-0.19
137,T136,T133,Charl Schwartzel,34,"18' 1""",198.833,11,-0.36
138,T136,T150,Richy Werenski,63,"18' 1""",633.3330000000001,35,+0.14
139,T140,T148,Julián Etulain,55,"18' 2""",672.1669999999999,37,E
140,T140,T136,C.T. Pan,64,"18' 2""",853.8330000000001,47,+0.02
141,T140,T118,Scott Piercy,70,"18' 2""",998.5830000000001,55,-0.20
142,T140,T136,Brendan Steele,50,"18' 2""",873.1669999999999,48,-0.10
143,T140,142,Chris Stroud,54,"18' 2""",689.1669999999999,38,E
144,T145,T152,Daniel Berger,48,"18' 3""",675.4169999999999,37,+0.08
145,T145,T143,Harold Varner III,62,"18' 3""",1039.75,57,+0.02
