,Approaches_from_125-150_yards_Rgh_RANK THIS WEEK,Approaches_from_125-150_yards_Rgh_RANK LAST WEEK,Approaches_from_125-150_yards_Rgh_PLAYER NAME,Approaches_from_125-150_yards_Rgh_ROUNDS,Approaches_from_125-150_yards_Rgh_AVG,Approaches_from_125-150_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_Rgh_# OF ATTEMPTS,Approaches_from_125-150_yards_Rgh_RELATIVE TO PAR
120,T118,T124,D.A. Points,33,"37' 0""",258.91700000000003,7,+2
121,T122,126,Rickie Fowler,54,"37' 1""",1038.5,28,-2
122,T122,T120,Alex Prugh,54,"37' 1""",1298.25,35,+6
123,T124,159,Kelly Kraft,67,"37' 3""",1266.083,34,+6
124,T124,114,Carlos Ortiz,60,"37' 3""",1118.583,30,+2
125,T124,999,Tyrone Van Aswegen,30,"37' 3""",483.75,13,E
126,T127,T127,Francesco Molinari,41,"37' 4""",597.3330000000001,16,+5
127,T127,T127,Patrick Reed,53,"37' 4""",634.75,17,-1
128,T129,T129,Jason Dufner,56,"37' 5""",934.8330000000001,25,+6
129,T129,T129,Lucas Glover,62,"37' 5""",1346.25,36,+4
130,T129,T129,Luke List,52,"37' 5""",1084.167,29,+5
131,T132,T150,Ollie Schniederjans,63,"37' 6""",1838.9170000000001,49,+8
132,T132,T110,Josh Teater,47,"37' 6""",1124.833,30,-1
133,134,135,Aaron Baddeley,51,"37' 7""",1166.0,31,+6
134,135,71,Keegan Bradley,65,"37' 9""",906.3330000000001,24,+2
135,T136,T137,Chris Kirk,47,"37' 10""",946.3330000000001,25,+1
136,T136,T176,Hank Lebioda,55,"37' 10""",945.1669999999999,25,+5
137,T136,T137,J.T. Poston,76,"37' 10""",1476.3329999999999,39,+8
138,139,50,Tyler Duncan,66,"37' 11""",1136.917,30,+3
139,140,72,Russell Henley,56,"38' 1""",837.5830000000001,22,+2
140,T141,T140,Roberto Castro,54,"38' 4""",920.0830000000001,24,+3
141,T141,171,Austin Cook,50,"38' 4""",844.0,22,+5
142,T143,T51,Alex Noren,49,"38' 5""",730.25,19,+3
143,T143,142,Kyle Stanley,53,"38' 5""",883.8330000000001,23,+8
144,145,143,Grayson Murray,36,"38' 6""",1039.417,27,+6
145,146,144,Chez Reavie,67,"38' 7""",733.0830000000001,19,+4
146,147,T148,Brian Gay,79,"38' 8""",1160.333,30,+1
147,148,T145,Justin Rose,42,"38' 9""",658.5830000000001,17,+5
148,T149,T148,Joel Dahmen,78,"38' 11""",1089.083,28,+2
149,T149,179,Peter Uihlein,65,"38' 11""",778.3330000000001,20,+1
150,151,T152,Sung Kang,67,"39' 1""",1445.4170000000001,37,+8
151,T152,T156,Sam Burns,66,"39' 2""",1604.1670000000001,41,+5
152,T152,T156,Scott Stallings,63,"39' 2""",1253.167,32,+11
153,T154,T152,Sungjae Im,88,"39' 3""",1963.8329999999999,50,+14
154,T154,T83,Peter Malnati,64,"39' 3""",2002.1670000000001,51,+11
155,156,160,Brice Garnett,63,"39' 4""",826.3330000000001,21,+1
156,157,T137,Brian Harman,67,"39' 5""",1023.8330000000001,26,+1
157,T158,161,Matt Jones,67,"39' 6""",1342.6670000000001,34,E
158,T158,T169,Curtis Luck,51,"39' 6""",1027.75,26,+2
159,160,T162,Patton Kizzire,58,"39' 8""",1308.75,33,+6
160,T161,T164,Byeong Hun An,54,"39' 10""",955.6669999999999,24,+2
161,T161,T164,Martin Kaymer,38,"39' 10""",597.9169999999999,15,+3
162,T161,T167,Chase Wright,53,"39' 10""",916.5,23,+6
163,164,T167,Kevin Streelman,63,"39' 11""",1276.667,32,+6
164,T165,172,Denny McCarthy,63,"40' 0""",1159.25,29,+4
165,T165,T183,Shawn Stefani,57,"40' 0""",999.8330000000001,25,+12
166,T167,T152,Stephan Jaeger,59,"40' 1""",1444.3329999999999,36,+3
167,T167,T169,Bubba Watson,47,"40' 1""",841.25,21,+5
168,T169,T81,Fabián Gómez,44,"40' 6""",566.8330000000001,14,+3
169,T169,T156,Adam Schenk,80,"40' 6""",1945.75,48,+10
170,171,999,Martin Piller,30,"40' 9""",407.083,10,E
171,172,173,Jason Kokrak,68,"40' 10""",1387.1670000000001,34,+6
172,173,174,Billy Horschel,73,"40' 11""",1144.667,28,+5
173,T174,T181,Wyndham Clark,61,"41' 2""",1604.5829999999999,39,+6
174,T174,175,Charles Howell III,64,"41' 2""",658.5,16,+5
175,176,T176,Brendan Steele,50,"41' 4""",1157.0,28,+4
176,177,186,Webb Simpson,53,"41' 5""",1076.333,26,+3
177,178,180,Andrew Landry,56,"41' 8""",957.6669999999999,23,+4
178,T179,T129,Roberto Díaz,51,"41' 9""",877.3330000000001,21,+2
179,T179,T181,Jason Day,45,"41' 9""",667.8330000000001,16,+2
180,T179,187,Nick Taylor,70,"41' 9""",1880.25,45,+8
181,182,196,Graeme McDowell,61,"41' 10""",1213.25,29,+6
182,183,T183,Matthew Fitzpatrick,42,"41' 11""",838.75,20,+5
183,184,191,Dominic Bozzelli,53,"42' 0""",1175.917,28,+6
184,185,T152,Scott Langley,60,"42' 2""",1348.8329999999999,32,+5
185,186,188,Cameron Champ,58,"42' 5""",1401.0,33,+7
186,187,178,Johnson Wagner,45,"42' 7""",936.9169999999999,22,+5
187,T188,192,Adam Scott,41,"42' 11""",730.1669999999999,17,+2
188,T188,190,Hudson Swafford,59,"42' 11""",1672.25,39,+2
189,190,136,Jim Knous,55,"43' 0""",1333.5829999999999,31,+4
190,191,185,Ben Crane,41,"43' 2""",862.75,20,+5
