,Approaches_75-100_yards-Rgh_RTP_RANK THIS WEEK,Approaches_75-100_yards-Rgh_RTP_RANK LAST WEEK,Approaches_75-100_yards-Rgh_RTP_PLAYER NAME,Approaches_75-100_yards-Rgh_RTP_ROUNDS,Approaches_75-100_yards-Rgh_RTP_AVG RTP
0,1,2,Hudson Swafford,59,-.429
1,T2,T6,Jim Furyk,53,-.400
2,T2,T6,Kevin Kisner,65,-.400
3,T2,3,Scott Langley,60,-.400
4,5,8,Kiradech Aphibarnrat,49,-.385
5,T6,9,Roberto Díaz,51,-.375
6,T6,T4,Brice Garnett,63,-.375
7,T6,12,Brandt Snedeker,68,-.375
8,9,1,Matt Kuchar,65,-.364
9,T10,10,José de Jesús Rodríguez,51,-.333
10,T10,11,Brian Stuard,76,-.333
11,12,17,J.B. Holmes,54,-.286
12,T13,14,Anders Albertson,48,-.273
13,T13,13,Adam Hadwin,66,-.273
14,T15,T4,Ben Crane,41,-.250
15,T15,T38,Ben Silverman,54,-.250
16,T15,T15,Kyle Stanley,53,-.250
17,T15,T15,Cameron Tringale,52,-.250
18,T19,T18,Hunter Mahan,45,-.222
19,T19,T18,Ryan Moore,54,-.222
20,T19,T20,Josh Teater,47,-.222
21,T19,T62,Danny Willett,47,-.222
22,23,T57,Roger Sloan,62,-.211
23,T24,T20,Rafa Cabrera Bello,57,-.200
24,T24,T20,Tommy Fleetwood,43,-.200
25,T24,T20,Fabián Gómez,44,-.200
26,T24,T20,Justin Harding,31,-.200
27,T24,T20,Charley Hoffman,58,-.200
28,T24,T20,Chris Kirk,47,-.200
29,T24,T20,Patton Kizzire,58,-.200
30,T24,T20,Denny McCarthy,63,-.200
31,T32,T34,Abraham Ancer,69,-.182
32,T32,T34,Jason Kokrak,68,-.182
33,T32,T34,Andrew Putnam,57,-.182
34,T35,T38,Jason Day,45,-.167
35,T35,T20,Cody Gribble,52,-.167
36,T35,T38,Brian Harman,67,-.167
37,T35,T62,Graeme McDowell,61,-.167
38,T35,T20,Webb Simpson,53,-.167
39,T35,33,Nick Taylor,70,-.167
40,T35,T62,Justin Thomas,49,-.167
41,T42,T42,Lucas Glover,62,-.154
42,T42,T42,Jordan Spieth,57,-.154
43,T44,T44,Andrew Landry,56,-.143
