,Approaches_from_75-100_yards_Rgh_RANK THIS WEEK,Approaches_from_75-100_yards_Rgh_RANK LAST WEEK,Approaches_from_75-100_yards_Rgh_PLAYER NAME,Approaches_from_75-100_yards_Rgh_ROUNDS,Approaches_from_75-100_yards_Rgh_AVG,Approaches_from_75-100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_Rgh_# OF ATTEMPTS,Approaches_from_75-100_yards_Rgh_RELATIVE TO PAR
0,1,1,Fabián Gómez,44,"11' 9""",58.667,5,-1
1,2,2,Nick Taylor,70,"13' 8""",246.333,18,-3
2,3,4,Anders Albertson,48,"13' 9""",150.917,11,-3
3,4,8,Shawn Stefani,57,"14' 4""",172.417,12,+1
4,5,5,Andrew Landry,56,"14' 5""",100.917,7,-1
5,6,9,Cameron Davis,54,"14' 7""",145.75,10,E
6,7,T6,Satoshi Kodaira,51,"14' 8""",58.5,4,E
7,8,3,Rory McIlroy,50,"14' 10""",89.083,6,+2
8,9,10,Charl Schwartzel,34,"15' 0""",74.917,5,+1
9,10,T11,Sam Ryder,52,"15' 5""",46.25,3,E
10,11,999,Tyrone Van Aswegen,30,"15' 9""",62.917,4,+5
11,12,15,Jason Day,45,"15' 10""",94.75,6,-1
12,T13,T16,Denny McCarthy,63,"16' 1""",80.417,5,-1
13,T13,T16,Francesco Molinari,41,"16' 1""",32.167,2,E
14,15,18,Tommy Fleetwood,43,"16' 3""",81.167,5,-1
15,16,20,Jim Furyk,53,"16' 9""",83.667,5,-2
16,17,T11,Talor Gooch,37,"17' 1""",136.333,8,+1
17,18,22,Hudson Swafford,59,"17' 4""",121.583,7,-3
18,19,40,Ben Silverman,54,"17' 5""",139.0,8,-2
19,20,24,Nate Lashley,44,"17' 8""",123.583,7,E
20,21,25,Kevin Kisner,65,"18' 1""",90.417,5,-2
21,22,28,Kiradech Aphibarnrat,49,"18' 7""",241.75,13,-5
22,T23,T29,Alex Cejka,41,"18' 9""",131.167,7,+1
23,T23,21,Ben Crane,41,"18' 9""",149.667,8,-2
24,T23,T29,Ryan Moore,54,"18' 9""",168.667,9,-2
25,26,32,Matt Jones,67,"18' 11""",113.417,6,E
26,27,T26,Kyle Jones,49,"19' 0""",209.167,11,+2
27,28,23,Cody Gribble,52,"19' 1""",228.5,12,-2
28,29,33,Kevin Na,54,"19' 2""",76.667,4,E
29,30,34,Brian Stuard,76,"19' 6""",410.25,21,-7
30,31,13,Matt Kuchar,65,"19' 7""",215.5,11,-4
31,T32,T53,Tom Hoge,70,"19' 8""",255.167,13,+4
32,T32,35,Cameron Tringale,52,"19' 8""",157.583,8,-2
33,T34,T36,Lucas Glover,62,"19' 10""",258.16700000000003,13,-2
34,T34,T36,Bill Haas,58,"19' 10""",138.917,7,+1
35,T34,T6,Peter Malnati,64,"19' 10""",317.25,16,-1
36,T37,38,Justin Rose,42,"19' 11""",139.417,7,-1
37,T37,T53,Brady Schnell,38,"19' 11""",139.583,7,+3
38,39,39,Rafa Cabrera Bello,57,"20' 0""",100.0,5,-1
39,T40,T41,Ryan Armour,66,"20' 3""",162.0,8,+1
40,T40,T41,Ernie Els,43,"20' 3""",141.5,7,E
41,T40,T41,Anirban Lahiri,54,"20' 3""",202.25,10,E
42,T40,31,Scott Langley,60,"20' 3""",202.5,10,-4
43,T44,19,Brian Gay,79,"20' 5""",326.58299999999997,16,-1
44,T44,T44,Hunter Mahan,45,"20' 5""",183.417,9,-2
45,T44,T44,Ian Poulter,49,"20' 5""",102.0,5,+1
46,47,57,J.B. Holmes,54,"20' 6""",286.5,14,-4
47,T48,T46,Matt Every,38,"20' 7""",123.583,6,+1
48,T48,T46,Chez Reavie,67,"20' 7""",123.583,6,E
49,50,48,Grayson Murray,36,"20' 8""",103.25,5,+1
50,T51,T89,Joey Garber,44,"20' 10""",166.333,8,E
51,T51,49,D.A. Points,33,"20' 10""",83.167,4,E
52,53,70,Brooks Koepka,49,"20' 11""",314.16700000000003,15,-1
53,T54,68,Julián Etulain,55,"21' 0""",189.083,9,E
54,T54,T50,Jim Herman,37,"21' 0""",21.0,1,+1
55,T56,T53,Si Woo Kim,65,"21' 1""",189.833,9,+1
56,T56,T53,Seamus Power,58,"21' 1""",189.833,9,+3
57,58,58,C.T. Pan,64,"21' 5""",149.833,7,+2
58,T59,T59,James Hahn,34,"21' 6""",107.5,5,+2
59,T59,T59,Patrick Rodgers,44,"21' 6""",107.583,5,+2
60,61,62,Adam Svensson,51,"21' 7""",86.417,4,E
61,T62,T63,Luke List,52,"21' 8""",325.58299999999997,15,+4
62,T62,T63,Gary Woodland,63,"21' 8""",173.5,8,-1
63,64,66,Sung Kang,67,"21' 11""",240.917,11,+1
64,65,67,Kyle Stanley,53,"22' 0""",88.0,4,-1
65,66,122,Adam Hadwin,66,"22' 2""",243.75,11,-3
66,67,69,J.T. Poston,76,"22' 3""",222.333,10,+1
67,68,71,Kyoung-Hoon Lee,72,"22' 6""",134.75,6,E
68,69,72,Louis Oosthuizen,43,"22' 7""",45.167,2,E
69,70,T50,Trey Mullinax,67,"22' 8""",612.75,27,+1
70,71,73,Ryan Blaum,67,"22' 9""",273.0,12,+5
71,72,74,John Senden,39,"22' 11""",160.167,7,+2
72,73,76,Sepp Straka,48,"23' 1""",184.917,8,-1
73,74,75,Chesson Hadley,58,"23' 4""",257.08299999999997,11,+6
74,T75,T63,Scott Stallings,63,"23' 8""",283.58299999999997,12,+2
75,T75,77,Kevin Streelman,63,"23' 8""",307.33299999999997,13,+2
76,77,105,Robert Streb,60,"23' 9""",237.5,10,+1
77,78,78,Byeong Hun An,54,"23' 10""",238.167,10,E
78,T79,T79,Brian Harman,67,"23' 11""",143.5,6,-1
79,T79,T79,Keith Mitchell,64,"23' 11""",71.75,3,E
80,81,83,Kevin Tway,62,"24' 0""",240.0,10,-1
81,T82,T84,Jason Dufner,56,"24' 1""",168.5,7,+3
82,T82,101,David Hearn,41,"24' 1""",120.333,5,E
83,T82,T84,Mackenzie Hughes,58,"24' 1""",216.583,9,+3
84,85,T84,Brandt Snedeker,68,"24' 2""",386.333,16,-6
85,86,87,Keegan Bradley,65,"24' 3""",145.667,6,+1
86,T87,88,Stewart Cink,33,"24' 4""",145.917,6,+3
87,T87,T26,Josh Teater,47,"24' 4""",219.25,9,-2
88,89,T89,Bronson Burgoon,37,"24' 5""",171.0,7,+3
89,90,124,Roger Sloan,62,"24' 6""",466.0,19,-4
90,91,92,Jason Kokrak,68,"24' 7""",270.58299999999997,11,-2
91,92,T79,Brice Garnett,63,"24' 10""",198.417,8,-3
92,T93,93,Emiliano Grillo,65,"25' 0""",224.75,9,+4
93,T93,T79,Joaquin Niemann,68,"25' 0""",474.583,19,+1
94,T93,T50,Webb Simpson,53,"25' 0""",150.167,6,-1
95,96,T95,Roberto Díaz,51,"25' 3""",202.0,8,-3
96,97,97,J.J. Spaun,68,"25' 4""",177.167,7,-1
97,98,98,"Ted Potter, Jr.",56,"25' 5""",203.5,8,+4
98,T99,T99,Daniel Berger,48,"25' 6""",76.5,3,E
