,Approaches_from_200-225_yards_RANK THIS WEEK,Approaches_from_200-225_yards_RANK LAST WEEK,Approaches_from_200-225_yards_PLAYER NAME,Approaches_from_200-225_yards_ROUNDS,Approaches_from_200-225_yards_AVG,Approaches_from_200-225_yards_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_# OF ATTEMPTS,Approaches_from_200-225_yards_RELATIVE TO PAR
0,1,2,Jon Rahm,51,"33' 1""",1785.0,54,-8
1,2,3,Tiger Woods,31,"33' 10""",1014.0830000000001,30,-5
2,3,4,Tom Hoge,70,"34' 8""",2290.5,66,-4
3,4,5,Rory McIlroy,50,"35' 9""",2786.5,78,-21
4,5,10,Keegan Bradley,65,"35' 11""",3123.0,87,+5
5,T6,6,Xander Schauffele,55,"36' 6""",2187.833,60,-8
6,T6,1,D.J. Trahan,33,"36' 6""",1057.917,29,-4
7,T8,T13,Martin Laird,60,"36' 8""",3040.083,83,-4
8,T8,T13,Webb Simpson,53,"36' 8""",3339.083,91,-5
9,T8,T7,Shawn Stefani,57,"36' 8""",2091.333,57,+1
10,T11,11,Ben Crane,41,"36' 9""",1874.3329999999999,51,-3
11,T11,T7,Jason Kokrak,68,"36' 9""",2940.25,80,-17
12,13,21,Trey Mullinax,67,"37' 0""",2885.0,78,-7
13,T14,12,Bronson Burgoon,37,"37' 3""",1713.3329999999999,46,+2
14,T14,T22,Seth Reeves,52,"37' 3""",2270.667,61,+1
15,T16,T13,Max Homa,61,"37' 4""",2614.667,70,-5
16,T16,T13,Grayson Murray,36,"37' 4""",1382.4170000000001,37,-3
17,18,27,Harold Varner III,62,"37' 6""",3452.417,92,-3
18,19,17,Chesson Hadley,58,"37' 7""",2741.167,73,E
19,T20,T19,Marc Leishman,52,"37' 9""",2416.833,64,-5
20,T20,18,Joaquin Niemann,68,"37' 9""",3324.667,88,+2
21,T20,T19,Gary Woodland,63,"37' 9""",2607.083,69,-4
22,23,42,Adam Hadwin,66,"37' 10""",3251.667,86,-10
23,T24,T22,Tyrrell Hatton,46,"38' 1""",2512.667,66,-8
24,T24,T22,Martin Kaymer,38,"38' 1""",1826.6670000000001,48,-5
25,T24,T22,Russell Knox,65,"38' 1""",2664.5,70,+1
26,27,33,Henrik Stenson,46,"38' 2""",3089.667,81,+9
27,28,26,Michael Kim,51,"38' 3""",2141.583,56,+8
28,29,T69,Lucas Bjerregaard,37,"38' 6""",1541.3329999999999,40,+3
29,T30,T31,Patrick Cantlay,49,"38' 7""",1929.9170000000001,50,-1
30,T30,T31,Scott Langley,60,"38' 7""",3667.0,95,+10
31,T32,36,Jim Herman,37,"38' 8""",1662.4170000000001,43,+8
32,T32,T53,Whee Kim,57,"38' 8""",1738.9170000000001,45,+3
33,T32,T37,Brooks Koepka,49,"38' 8""",2472.333,64,E
34,T32,T43,Nate Lashley,44,"38' 8""",2360.5,61,E
35,T32,T67,Cameron Tringale,52,"38' 8""",2361.083,61,-1
36,37,T34,Luke List,52,"38' 9""",2672.667,69,-5
37,38,T37,Russell Henley,56,"38' 10""",2564.333,66,+7
38,T39,T37,Carlos Ortiz,60,"38' 11""",3152.75,81,-1
39,T39,T28,Robert Streb,60,"38' 11""",2959.25,76,+3
40,T41,T34,Danny Lee,66,"39' 0""",3512.583,90,-3
41,T41,999,Tyrone Van Aswegen,30,"39' 0""",1091.25,28,+3
42,T43,T40,Bryson DeChambeau,45,"39' 1""",2539.667,65,+1
43,T43,T7,Sergio Garcia,39,"39' 1""",1681.0829999999999,43,+2
44,45,T84,Talor Gooch,37,"39' 2""",1918.4170000000001,49,-7
45,T46,45,Brendan Steele,50,"39' 4""",2239.667,57,-7
46,T46,T108,Justin Thomas,49,"39' 4""",2085.667,53,-7
47,T48,T40,Dylan Frittelli,55,"39' 5""",2796.75,71,E
48,T48,T46,Brian Stuard,76,"39' 5""",3390.583,86,+1
49,T50,T48,Patrick Rodgers,44,"39' 6""",2252.333,57,-1
50,T50,50,Chase Wright,53,"39' 6""",2369.75,60,-1
51,T52,T51,Haotong Li,32,"39' 8""",1150.833,29,+4
52,T52,T51,J.T. Poston,76,"39' 8""",4003.167,101,+7
53,T54,T53,Sung Kang,67,"39' 9""",3296.167,83,-8
54,T54,T58,Chris Stroud,54,"39' 9""",2624.417,66,+14
55,T54,T53,Vaughn Taylor,69,"39' 9""",3856.083,97,-5
56,57,T28,Ryan Palmer,56,"39' 10""",2549.667,64,+9
57,T58,T56,Abraham Ancer,69,"39' 11""",3352.333,84,+1
58,T58,T56,C.T. Pan,64,"39' 11""",2557.0,64,+2
59,T58,T84,Adam Svensson,51,"39' 11""",2315.25,58,+11
