,Approaches_from_225-250_yards_RANK THIS WEEK,Approaches_from_225-250_yards_RANK LAST WEEK,Approaches_from_225-250_yards_PLAYER NAME,Approaches_from_225-250_yards_ROUNDS,Approaches_from_225-250_yards_AVG,Approaches_from_225-250_yards_TOTAL DISTANCE (FEET),Approaches_from_225-250_yards_# OF ATTEMPTS,Approaches_from_225-250_yards_RELATIVE TO PAR
132,T133,T129,Beau Hossler,66,"56' 4""",2251.917,40,-5
133,T133,T129,Jason Kokrak,68,"56' 4""",2422.083,43,-7
134,T135,T132,Sam Burns,66,"56' 5""",2144.0,38,-17
135,T135,T124,Jimmy Walker,61,"56' 5""",1692.25,30,-7
136,T137,120,Martin Laird,60,"56' 6""",2373.333,42,-9
137,T137,T183,Cameron Tringale,52,"56' 6""",1017.0,18,-2
138,T139,T134,Bronson Burgoon,37,"56' 7""",1131.167,20,+2
139,T139,171,Graeme McDowell,61,"56' 7""",1981.5,35,-4
140,T139,T134,Charl Schwartzel,34,"56' 7""",622.1669999999999,11,-2
141,T142,T138,Jonas Blixt,66,"56' 8""",1814.1670000000001,32,-4
142,T142,T165,Ben Silverman,54,"56' 8""",1586.25,28,-10
143,T144,164,Dustin Johnson,47,"56' 10""",1250.833,22,-2
144,T144,T138,Patton Kizzire,58,"56' 10""",1933.4170000000001,34,-12
145,T144,116,Roger Sloan,62,"56' 10""",1647.5,29,-2
146,T147,140,Ryan Blaum,67,"57' 0""",1937.75,34,-11
147,T147,T124,Sungjae Im,88,"57' 0""",3190.583,56,-15
148,T149,T141,Bill Haas,58,"57' 1""",2226.25,39,-7
149,T149,T134,Ryan Palmer,56,"57' 1""",1882.4170000000001,33,-3
150,T149,117,Seamus Power,58,"57' 1""",1998.75,35,-10
151,152,145,Abraham Ancer,69,"57' 4""",2409.417,42,-5
152,153,146,Billy Horschel,73,"57' 8""",2535.833,44,-4
153,T154,T151,Anders Albertson,48,"57' 9""",1213.333,21,-4
154,T154,T147,Rafa Cabrera Bello,57,"57' 9""",2251.667,39,-4
155,T154,T147,Keith Mitchell,64,"57' 9""",2251.667,39,-15
156,T154,T157,Richy Werenski,63,"57' 9""",2598.333,45,-12
157,158,150,Aaron Wise,52,"57' 10""",2602.0,45,-5
158,159,T151,Satoshi Kodaira,51,"58' 0""",2087.917,36,+6
159,T160,153,Hunter Mahan,45,"58' 2""",1162.75,20,-6
160,T160,137,Joaquin Niemann,68,"58' 2""",2095.25,36,-3
161,162,T132,Peter Uihlein,65,"58' 4""",1749.6670000000001,30,-8
162,T163,170,Corey Conners,62,"58' 5""",1928.1670000000001,33,-9
163,T163,T155,Rory Sabbatini,71,"58' 5""",2687.0,46,-10
164,T163,T155,Brady Schnell,38,"58' 5""",817.4169999999999,14,-3
165,166,T165,Josh Teater,47,"58' 7""",879.1669999999999,15,E
166,167,T157,Tyrrell Hatton,46,"58' 8""",1526.3329999999999,26,-3
167,T168,T160,Andrew Landry,56,"58' 11""",1649.0829999999999,28,-9
168,T168,172,Denny McCarthy,63,"58' 11""",1945.3329999999999,33,-10
169,T170,T162,Matt Jones,67,"59' 0""",1887.25,32,-5
170,T170,T162,Vaughn Taylor,69,"59' 0""",2182.25,37,-2
171,172,167,John Huh,35,"59' 3""",1245.0,21,+4
172,173,168,Byeong Hun An,54,"59' 6""",2381.083,40,-12
173,174,T183,J.J. Spaun,68,"59' 7""",1847.1670000000001,31,-2
174,T175,179,Scott Langley,60,"59' 9""",1852.5829999999999,31,-4
175,T175,175,Sepp Straka,48,"59' 9""",1255.333,21,-6
176,177,T157,Alex Prugh,54,"60' 3""",1385.0829999999999,23,-5
177,178,173,Kyle Jones,49,"60' 4""",965.8330000000001,16,-3
178,T179,174,Kiradech Aphibarnrat,49,"60' 5""",2053.667,34,-10
179,T179,169,Tyler Duncan,66,"60' 5""",1812.0829999999999,30,-6
180,T181,T188,Sebastián Muñoz,58,"60' 6""",1813.8329999999999,30,-3
181,T181,178,José de Jesús Rodríguez,51,"60' 6""",1149.917,19,-2
182,183,186,John Chin,38,"61' 0""",975.6669999999999,16,-3
183,184,T176,Kevin Kisner,65,"61' 2""",2751.583,45,-11
184,185,180,Ben Crane,41,"61' 3""",980.1669999999999,16,E
185,186,181,Chris Kirk,47,"62' 1""",1552.5,25,-7
186,T187,192,Jim Herman,37,"62' 2""",932.6669999999999,15,-5
