,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,1,Adam Scott,41,94.87,74,78,-0.64
1,2,2,Jason Day,45,93.64,103,110,-0.6
2,3,5,John Senden,39,92.5,74,80,-0.53
3,4,6,Gary Woodland,63,92.05,162,176,-0.67
4,5,T7,Matt Jones,67,92.0,138,150,-0.64
5,6,T3,David Hearn,41,91.94,57,62,-0.32
6,7,T7,Denny McCarthy,63,91.61,142,155,-0.61
7,8,10,Lucas Glover,62,91.46,150,164,-0.6
8,9,14,Graeme McDowell,61,91.45,107,117,-0.54
9,10,9,Bud Cauley,61,91.26,167,183,-0.61
10,11,13,Xander Schauffele,55,91.22,135,148,-0.57
11,12,T3,Justin Thomas,49,91.14,144,158,-0.67
12,13,15,Matt Kuchar,65,90.5,181,200,-0.55
13,14,T25,Rod Pampling,40,89.89,80,89,-0.36
14,15,T11,Sergio Garcia,39,89.74,105,117,-0.53
15,16,16,Cameron Davis,54,89.63,147,164,-0.47
16,17,18,James Hahn,34,89.55,60,67,-0.5
17,18,17,Brandt Snedeker,68,89.53,154,172,-0.62
18,19,T11,Whee Kim,57,89.47,68,76,-0.57
19,20,22,Chris Kirk,47,89.23,116,130,-0.57
20,T21,T31,Talor Gooch,37,89.13,82,92,-0.62
21,T21,28,Peter Malnati,64,89.13,164,184,-0.51
22,23,19,Nate Lashley,44,89.11,90,101,-0.52
23,24,T34,Kramer Hickok,59,89.05,122,137,-0.48
24,T25,T34,Martin Laird,60,89.01,162,182,-0.52
25,T25,20,Harold Varner III,62,89.01,162,182,-0.46
26,27,23,Anders Albertson,48,88.98,113,127,-0.42
27,28,T25,John Huh,35,88.89,72,81,-0.4
28,29,27,Brendan Steele,50,88.73,126,142,-0.48
29,30,21,Scott Piercy,70,88.7,157,177,-0.52
30,31,T31,Rickie Fowler,54,88.61,140,158,-0.67
31,32,61,Cameron Tringale,52,88.5,100,113,-0.52
32,T33,T41,Webb Simpson,53,88.48,146,165,-0.57
33,T33,38,Nick Watney,67,88.48,146,165,-0.58
34,T35,36,Russell Knox,65,88.46,138,156,-0.49
35,T35,T68,Scott Langley,60,88.46,92,104,-0.53
36,T35,66,Hank Lebioda,55,88.46,115,130,-0.54
37,38,39,Sungjae Im,88,88.43,237,268,-0.58
38,39,33,Dylan Frittelli,55,88.42,168,190,-0.55
39,40,60,Richy Werenski,63,88.2,142,161,-0.49
40,41,40,Tyrrell Hatton,46,88.17,82,93,-0.62
41,42,37,Roberto Díaz,51,88.14,104,118,-0.55
42,43,67,Stephan Jaeger,59,88.11,126,143,-0.49
43,T44,T43,Patrick Cantlay,49,88.08,133,151,-0.59
44,T44,T43,Rory Sabbatini,71,88.08,170,193,-0.56
45,46,46,Keith Mitchell,64,88.05,140,159,-0.59
