,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,2,Rory McIlroy,50,-.269
1,2,1,Troy Merritt,42,-.246
2,3,3,Jason Kokrak,68,-.213
3,4,T5,Bubba Watson,47,-.176
4,5,4,Tiger Woods,31,-.167
5,6,999,Shane Lowry,30,-.159
6,7,8,Jon Rahm,51,-.148
7,8,9,Stewart Cink,33,-.147
8,9,7,Talor Gooch,37,-.143
9,10,18,D.J. Trahan,33,-.138
10,11,10,Xander Schauffele,55,-.133
11,12,T25,Justin Thomas,49,-.132
12,13,13,Brendan Steele,50,-.123
13,14,14,Tyrrell Hatton,46,-.121
14,15,15,Ian Poulter,49,-.119
15,T16,16,Ryan Blaum,67,-.116
16,T16,30,Adam Hadwin,66,-.116
17,T16,T5,Denny McCarthy,63,-.116
18,19,17,Charley Hoffman,58,-.113
19,T20,20,Tony Finau,61,-.107
20,T20,T36,Seamus Power,58,-.107
21,22,21,Martin Kaymer,38,-.104
22,23,22,Adam Scott,41,-.103
23,24,23,Justin Rose,42,-.102
24,25,24,Paul Casey,51,-.101
25,26,T25,Sam Ryder,52,-.098
26,27,29,Sung Kang,67,-.096
27,28,T11,Trey Mullinax,67,-.090
28,T29,T11,Jonas Blixt,66,-.089
29,T29,32,Charles Howell III,64,-.089
30,T31,33,Branden Grace,62,-.088
31,T31,T25,Ollie Schniederjans,63,-.088
32,33,34,Dustin Johnson,47,-.082
33,34,35,Grayson Murray,36,-.081
34,35,T36,Si Woo Kim,65,-.080
35,T36,T38,Marc Leishman,52,-.078
36,T36,T38,Hideki Matsuyama,59,-.078
37,38,40,Jhonattan Vegas,60,-.076
38,39,42,Luke List,52,-.072
39,T40,T43,Max Homa,61,-.071
40,T40,T43,John Huh,35,-.071
41,42,T25,Alex Prugh,54,-.070
42,43,19,Adam Schenk,80,-.068
43,44,T54,Wes Roach,45,-.064
44,45,49,Aaron Baddeley,51,-.063
45,46,45,Matt Kuchar,65,-.062
46,47,64,Tom Hoge,70,-.061
47,48,58,Ben Crane,41,-.059
48,49,53,Gary Woodland,63,-.058
49,50,T60,Webb Simpson,53,-.055
50,51,T54,Andrew Putnam,57,-.054
51,52,57,Vaughn Taylor,69,-.052
52,53,T50,Stephan Jaeger,59,-.049
53,54,T79,Martin Laird,60,-.048
54,55,T50,Harris English,72,-.043
55,56,T46,Bud Cauley,61,-.038
56,T57,T62,Tommy Fleetwood,43,-.036
57,T57,T62,Jordan Spieth,57,-.036
58,T59,48,Danny Lee,66,-.033
59,T59,T81,Harold Varner III,62,-.033
60,61,T84,Wyndham Clark,61,-.030
61,T62,65,Sungjae Im,88,-.029
62,T62,59,Nick Watney,67,-.029
63,64,66,Brandon Harkins,67,-.028
64,T65,69,Billy Horschel,73,-.025
65,T65,T46,Hudson Swafford,59,-.025
66,67,T70,Michael Thompson,56,-.024
67,68,T67,Nick Taylor,70,-.023
68,T69,T72,Patrick Cantlay,49,-.020
69,T69,T72,Cameron Smith,55,-.020
70,71,75,Patrick Rodgers,44,-.018
71,T72,52,Anders Albertson,48,-.017
72,T72,41,Chase Wright,53,-.017
73,T74,76,Byeong Hun An,54,-.016
74,T74,124,Cameron Tringale,52,-.016
75,T76,T77,Kevin Kisner,65,-.015
76,T76,T84,Kevin Tway,62,-.015
77,T78,83,Sam Burns,66,-.012
78,T78,T81,Carlos Ortiz,60,-.012
79,T80,T84,Rafa Cabrera Bello,57,E
80,T80,114,Dylan Frittelli,55,E
81,T80,T84,Chesson Hadley,58,E
82,T80,T84,J.B. Holmes,54,E
83,T80,T72,Brooks Koepka,49,E
84,T80,T54,Nate Lashley,44,E
85,T80,T84,Hunter Mahan,45,E
86,T80,T67,Alex Noren,49,E
87,T80,T70,Scott Piercy,70,E
88,T80,T84,D.A. Points,33,E
89,T80,T79,Scott Stallings,63,E
90,T80,T95,Richy Werenski,63,E
91,T92,T93,Abraham Ancer,69,+.012
92,T92,T93,Brian Stuard,76,+.012
93,94,T134,Daniel Berger,48,+.013
94,T95,T97,Rickie Fowler,54,+.014
95,T95,T97,Russell Knox,65,+.014
96,T95,T97,Rory Sabbatini,71,+.014
97,98,T101,Bryson DeChambeau,45,+.015
98,T99,105,Dominic Bozzelli,53,+.016
99,T99,103,Matt Jones,67,+.016
100,T99,T117,Seth Reeves,52,+.016
101,T102,104,Matthew Fitzpatrick,42,+.018
102,T102,T60,Shawn Stefani,57,+.018
103,104,106,Jason Day,45,+.021
104,105,T95,Joaquin Niemann,68,+.023
105,106,T97,Jimmy Walker,61,+.024
106,107,107,Kevin Streelman,63,+.025
107,T108,T150,Scott Brown,66,+.026
108,T108,108,Matt Wallace,31,+.026
109,110,T109,Aaron Wise,52,+.027
110,111,T77,Kyle Jones,49,+.028
111,T112,T109,Cameron Champ,58,+.029
112,T112,T84,Tyler Duncan,66,+.029
113,T112,T109,Keith Mitchell,64,+.029
114,T115,147,Sebastián Muñoz,58,+.031
115,T115,113,C.T. Pan,64,+.031
116,117,T121,Hank Lebioda,55,+.032
117,118,T117,Julián Etulain,55,+.033
118,119,115,Emiliano Grillo,65,+.034
119,120,116,Beau Hossler,66,+.035
120,T121,133,Sangmoon Bae,42,+.038
121,T121,120,Chris Kirk,47,+.038
122,T121,T101,Roger Sloan,62,+.038
123,124,112,Robert Streb,60,+.039
124,125,T125,Ryan Moore,54,+.042
125,126,T128,Bronson Burgoon,37,+.043
126,T127,T131,Kiradech Aphibarnrat,49,+.046
127,T127,T131,Anirban Lahiri,54,+.046
128,T129,T84,Sergio Garcia,39,+.047
129,T129,T160,Chris Thompson,34,+.047
130,131,T134,Kyoung-Hoon Lee,72,+.048
131,T132,T125,Sam Saunders,53,+.053
132,T132,T117,Brandt Snedeker,68,+.053
133,T134,164,Jim Furyk,53,+.056
134,T134,137,Satoshi Kodaira,51,+.056
135,T136,T143,Keegan Bradley,65,+.057
136,T136,138,Lucas Glover,62,+.057
137,T138,T140,Adam Long,52,+.059
138,T138,T140,Patrick Reed,53,+.059
139,140,T134,Matt Every,38,+.061
140,141,T128,Bill Haas,58,+.066
141,T142,149,Whee Kim,57,+.067
142,T142,123,Jim Knous,55,+.067
143,144,T162,Graeme McDowell,61,+.068
144,T145,145,J.T. Poston,76,+.069
145,T145,130,Sepp Straka,48,+.069
146,T145,T125,Josh Teater,47,+.069
147,148,T143,Brian Gay,79,+.072
148,T149,T121,Ryan Armour,66,+.074
