,Approaches_50-125_yards-Rgh_RTP_RANK THIS WEEK,Approaches_50-125_yards-Rgh_RTP_RANK LAST WEEK,Approaches_50-125_yards-Rgh_RTP_PLAYER NAME,Approaches_50-125_yards-Rgh_RTP_ROUNDS,Approaches_50-125_yards-Rgh_RTP_AVG RTP
0,1,2,Paul Casey,51,-.313
1,2,3,Ryan Moore,54,-.300
2,3,1,Josh Teater,47,-.267
3,4,4,Brooks Koepka,49,-.256
4,5,5,Justin Thomas,49,-.250
5,6,6,Patrick Cantlay,49,-.241
6,7,7,Kiradech Aphibarnrat,49,-.233
7,8,8,Scott Langley,60,-.200
8,9,10,Aaron Baddeley,51,-.167
9,10,31,Brandt Snedeker,68,-.160
10,11,9,Nick Taylor,70,-.148
11,12,11,Hudson Swafford,59,-.143
12,T13,T16,Jim Furyk,53,-.125
13,T13,13,Chris Kirk,47,-.125
14,T13,T41,Nate Lashley,44,-.125
15,T13,T32,Roger Sloan,62,-.125
16,17,14,Matthew Fitzpatrick,42,-.118
17,18,19,Scott Brown,66,-.114
18,19,15,Brian Stuard,76,-.111
19,20,T27,Julián Etulain,55,-.100
20,T21,18,Alex Cejka,41,-.095
21,T21,20,Rory Sabbatini,71,-.095
22,23,21,Anders Albertson,48,-.086
23,T24,T23,Justin Harding,31,-.083
24,T24,T23,Jhonattan Vegas,60,-.083
25,26,T27,Bill Haas,58,-.081
26,T27,T23,Denny McCarthy,63,-.077
27,T27,T32,Joaquin Niemann,68,-.077
28,T27,29,Louis Oosthuizen,43,-.077
29,T27,T16,Cameron Tringale,52,-.077
30,31,T23,Dominic Bozzelli,53,-.074
31,32,30,Lucas Glover,62,-.073
32,33,46,Ben Silverman,54,-.069
33,34,54,Robert Streb,60,-.068
34,35,35,Matt Jones,67,-.063
35,36,36,Tony Finau,61,-.061
36,T37,T32,Stephan Jaeger,59,-.059
37,T37,37,Kevin Na,54,-.059
38,39,T38,Vaughn Taylor,69,-.053
39,40,22,Brian Gay,79,-.051
40,41,T41,Chez Reavie,67,-.050
41,42,T57,Jonathan Byrd,43,-.048
42,43,T57,Dustin Johnson,47,-.045
43,44,T44,Kevin Streelman,63,-.042
44,45,48,Anirban Lahiri,54,-.034
45,T46,T50,Jordan Spieth,57,-.028
46,T46,49,Nick Watney,67,-.028
47,T48,T50,Roberto Díaz,51,-.026
48,T48,T57,J.B. Holmes,54,-.026
49,50,T50,Dylan Frittelli,55,-.024
50,T51,55,Mackenzie Hughes,58,-.023
51,T51,T38,Carlos Ortiz,60,-.023
52,T51,T57,J.J. Spaun,68,-.023
53,54,56,Wyndham Clark,61,-.015
54,T55,T57,Bryson DeChambeau,45,E
55,T55,T57,Rickie Fowler,54,E
56,T55,47,Sergio Garcia,39,E
57,T55,T57,Brice Garnett,63,E
58,T55,T57,Charley Hoffman,58,E
59,T55,T57,Hunter Mahan,45,E
60,T55,T57,Phil Mickelson,41,E
61,T55,T57,Francesco Molinari,41,E
62,T55,T82,Ryan Palmer,56,E
63,T55,T57,Patrick Rodgers,44,E
64,T55,T57,Cameron Smith,55,E
65,T55,T57,Chris Stroud,54,E
66,T55,43,Kevin Tway,62,E
67,T55,T108,Danny Willett,47,E
68,T55,T44,Chase Wright,53,E
69,T70,T91,Jim Knous,55,+.022
70,T70,T57,Harold Varner III,62,+.022
71,72,75,Luke List,52,+.023
72,T73,76,Max Homa,61,+.027
73,T73,86,Trey Mullinax,67,+.027
74,75,T99,Webb Simpson,53,+.032
75,76,T77,Rafa Cabrera Bello,57,+.033
76,T77,T79,Marc Leishman,52,+.034
77,T77,T79,Xander Schauffele,55,+.034
78,T77,T57,Sepp Straka,48,+.034
79,80,T57,Zach Johnson,50,+.036
80,81,12,Lucas Bjerregaard,37,+.043
81,T82,116,Harris English,72,+.045
82,T82,T38,Wes Roach,45,+.045
83,84,87,Hideki Matsuyama,59,+.048
84,85,88,Kyle Stanley,53,+.050
85,T86,T57,David Hearn,41,+.053
86,T86,89,Keith Mitchell,64,+.053
87,88,90,Si Woo Kim,65,+.054
88,T89,T50,Bubba Watson,47,+.057
89,T89,T91,Gary Woodland,63,+.057
90,91,81,Matt Kuchar,65,+.059
91,T92,T93,Ernie Els,43,+.063
92,T92,T84,Alex Noren,49,+.063
93,T92,T93,Scott Piercy,70,+.063
94,T92,T84,Ollie Schniederjans,63,+.063
95,T92,T93,Matt Wallace,31,+.063
96,T97,T77,Corey Conners,62,+.065
97,T97,T96,Curtis Luck,51,+.065
98,99,T96,D.A. Points,33,+.067
99,100,T117,Ryan Armour,66,+.069
100,101,101,Cameron Davis,54,+.070
101,102,102,Jon Rahm,51,+.081
102,103,103,Sam Burns,66,+.085
103,104,T110,Peter Malnati,64,+.086
104,105,T112,J.J. Henry,42,+.087
105,T106,106,Abraham Ancer,69,+.091
106,T106,T117,Talor Gooch,37,+.091
107,108,T108,Joel Dahmen,78,+.097
108,109,T110,Patrick Reed,53,+.098
109,T110,T112,Patton Kizzire,58,+.100
110,T110,T112,Jason Kokrak,68,+.100
111,T110,T99,Sebastián Muñoz,58,+.100
112,T110,T112,Michael Thompson,56,+.100
113,T114,T82,Daniel Berger,48,+.103
114,T114,141,Tom Hoge,70,+.103
115,T116,T123,Jonas Blixt,66,+.105
116,T116,T125,Henrik Stenson,46,+.105
117,118,166,Chris Thompson,34,+.107
118,119,104,Bud Cauley,61,+.108
119,120,T154,Peter Uihlein,65,+.109
120,T121,105,Roberto Castro,54,+.111
121,T121,T117,Jason Day,45,+.111
122,T121,T117,Pat Perez,52,+.111
123,T121,T130,Alex Prugh,54,+.111
124,T121,T117,Adam Scott,41,+.111
125,T121,T164,Johnson Wagner,45,+.111
126,127,T123,"Ted Potter, Jr.",56,+.114
127,128,127,Adam Svensson,51,+.115
128,129,T167,Adam Hadwin,66,+.122
129,T130,128,Martin Kaymer,38,+.125
130,T130,144,Whee Kim,57,+.125
131,T130,T134,Scott Stallings,63,+.125
132,133,129,Cameron Champ,58,+.127
133,134,137,Sungjae Im,88,+.128
134,T135,T130,Russell Knox,65,+.129
135,T135,T130,Kyoung-Hoon Lee,72,+.129
136,T135,T142,Shawn Stefani,57,+.129
137,138,T117,Sangmoon Bae,42,+.130
138,139,133,Branden Grace,62,+.133
139,T140,T145,Kramer Hickok,59,+.138
140,T140,136,Grayson Murray,36,+.138
141,142,107,Aaron Wise,52,+.139
142,143,T145,Sam Saunders,53,+.140
143,144,T138,C.T. Pan,64,+.143
144,145,T134,Adam Schenk,80,+.149
145,146,153,José de Jesús Rodríguez,51,+.150
146,T147,148,Andrew Landry,56,+.156
147,T147,T180,Graeme McDowell,61,+.156
148,149,T149,Sung Kang,67,+.158
149,150,152,Emiliano Grillo,65,+.160
150,T151,T125,Martin Laird,60,+.163
151,T151,T145,Richy Werenski,63,+.163
152,T153,T154,Haotong Li,32,+.167
153,T153,T154,Troy Merritt,42,+.167
154,155,T157,Rory McIlroy,50,+.171
155,156,T142,Hank Lebioda,55,+.172
156,T157,159,J.T. Poston,76,+.178
157,T157,T149,Seth Reeves,52,+.178
158,T157,163,Jimmy Walker,61,+.178
159,T160,T149,Fabián Gómez,44,+.182
160,T160,T160,Beau Hossler,66,+.182
161,T160,T160,Tiger Woods,31,+.182
162,163,T157,Danny Lee,66,+.183
163,164,T164,Ian Poulter,49,+.188
164,165,T96,D.J. Trahan,33,+.190
165,166,T184,Joey Garber,44,+.192
166,T167,162,Keegan Bradley,65,+.194
167,T167,T167,Martin Trainer,51,+.194
168,T169,T192,Austin Cook,50,+.200
169,T169,174,Matt Every,38,+.200
170,T169,T169,Billy Horschel,73,+.200
171,T169,T169,Freddie Jacobson,37,+.200
172,173,171,Charles Howell III,64,+.206
173,174,T184,Rod Pampling,40,+.208
174,175,172,Andrew Putnam,57,+.211
175,T176,178,Seamus Power,58,+.212
176,T176,173,Brendan Steele,50,+.212
177,178,190,Russell Henley,56,+.217
178,179,177,Cody Gribble,52,+.220
179,180,T175,Kevin Kisner,65,+.222
180,T181,179,Jason Dufner,56,+.227
181,T181,182,Brady Schnell,38,+.227
182,183,T180,Byeong Hun An,54,+.237
183,184,T138,Ben Crane,41,+.240
184,185,183,Chesson Hadley,58,+.245
185,T186,T184,Tommy Fleetwood,43,+.250
186,T186,T184,John Huh,35,+.250
187,T186,T184,Satoshi Kodaira,51,+.250
188,189,189,Ryan Blaum,67,+.261
189,190,191,Michael Kim,51,+.275
190,T191,T192,James Hahn,34,+.278
191,T191,T192,John Senden,39,+.278
192,193,T195,Sam Ryder,52,+.280
193,194,197,Charl Schwartzel,34,+.286
194,195,200,Brandon Harkins,67,+.290
195,196,T203,Tyler Duncan,66,+.308
196,197,T195,Kyle Jones,49,+.310
197,198,999,Martin Piller,30,+.313
198,199,198,Adam Long,52,+.316
199,200,999,Shane Lowry,30,+.318
200,201,199,Bronson Burgoon,37,+.321
201,202,205,Kelly Kraft,67,+.324
202,T203,T201,Stewart Cink,33,+.333
203,T203,T201,Tyrrell Hatton,46,+.333
204,T203,206,Jim Herman,37,+.333
205,206,T203,Justin Rose,42,+.364
206,207,T175,Brian Harman,67,+.367
207,208,207,John Chin,38,+.389
208,209,999,Tyrone Van Aswegen,30,+.429
