,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,T1,Scott Langley,60,-.357
1,2,T1,Grayson Murray,36,-.333
2,T3,T3,Paul Casey,51,-.308
3,T3,T3,Brian Stuard,76,-.308
4,5,T9,J.B. Holmes,54,-.278
5,6,T6,Kiradech Aphibarnrat,49,-.273
6,7,8,Ryan Moore,54,-.267
7,8,T9,Josh Teater,47,-.235
8,9,T3,Matt Kuchar,65,-.222
9,T10,T15,Brandt Snedeker,68,-.214
10,T10,T6,J.J. Spaun,68,-.214
11,12,31,Denny McCarthy,63,-.176
12,13,18,Kevin Tway,62,-.174
13,14,T42,Roger Sloan,62,-.172
14,T15,T15,Fabián Gómez,44,-.167
15,T15,T19,Chris Kirk,47,-.167
16,17,T22,Jhonattan Vegas,60,-.154
17,T18,T26,Patrick Cantlay,49,-.143
18,T18,24,Roberto Díaz,51,-.143
19,T18,T26,Tommy Fleetwood,43,-.143
20,T18,12,Brian Gay,79,-.143
21,T18,T26,Marc Leishman,52,-.143
22,T18,T26,Hunter Mahan,45,-.143
23,24,T32,Adam Hadwin,66,-.136
24,T25,T19,Jim Furyk,53,-.125
25,T25,T26,Harold Varner III,62,-.125
26,27,25,Carlos Ortiz,60,-.121
27,28,T32,Xander Schauffele,55,-.118
28,T29,14,Zach Johnson,50,-.111
29,T29,T32,Hudson Swafford,59,-.111
30,31,T42,Brooks Koepka,49,-.107
31,32,36,Bill Haas,58,-.105
32,T33,37,Justin Harding,31,-.100
33,T33,T19,Nick Watney,67,-.100
34,T35,55,Julián Etulain,55,-.095
35,T35,39,Lucas Glover,62,-.095
36,T37,T40,Ernie Els,43,-.091
37,T37,T40,Patton Kizzire,58,-.091
38,T37,T58,Ben Silverman,54,-.091
39,T37,38,Nick Taylor,70,-.091
40,T37,13,Chase Wright,53,-.091
41,42,T56,Jonathan Byrd,43,-.087
42,43,T44,Rory Sabbatini,71,-.083
43,T44,T46,Bryson DeChambeau,45,-.077
44,T44,T44,Brice Garnett,63,-.077
45,T44,T46,Kevin Na,54,-.077
46,T47,49,Charley Hoffman,58,-.071
47,T47,T22,Cameron Tringale,52,-.071
48,T49,11,Scott Brown,66,-.059
49,T49,54,Kyoung-Hoon Lee,72,-.059
50,T49,T50,Sepp Straka,48,-.059
51,T49,T58,Justin Thomas,49,-.059
52,T53,T50,Alex Prugh,54,-.056
53,T53,T119,Chris Thompson,34,-.056
54,55,T56,José de Jesús Rodríguez,51,-.045
55,56,53,Danny Lee,66,-.029
56,57,T46,Bubba Watson,47,-.028
57,T58,T58,Anders Albertson,48,E
58,T58,T58,Daniel Berger,48,E
59,T58,T15,Lucas Bjerregaard,37,E
60,T58,T58,Rafa Cabrera Bello,57,E
61,T58,T58,Dylan Frittelli,55,E
62,T58,T84,Dustin Johnson,47,E
63,T58,T58,Jim Knous,55,E
64,T58,T58,Jason Kokrak,68,E
65,T58,T58,Hank Lebioda,55,E
66,T58,T58,Troy Merritt,42,E
67,T58,T58,Phil Mickelson,41,E
68,T58,T58,Keith Mitchell,64,E
69,T58,T58,Francesco Molinari,41,E
70,T58,T58,Louis Oosthuizen,43,E
71,T58,T58,Webb Simpson,53,E
72,T58,T58,Kyle Stanley,53,E
73,T58,80,Robert Streb,60,E
74,T58,76,Peter Uihlein,65,E
75,T58,T108,Danny Willett,47,E
76,77,77,Billy Horschel,73,+.038
77,78,91,Trey Mullinax,67,+.042
78,79,78,Patrick Reed,53,+.043
79,T80,T58,Jonas Blixt,66,+.048
80,T80,79,Luke List,52,+.048
81,82,T50,Sebastián Muñoz,58,+.053
82,T83,T81,Aaron Baddeley,51,+.056
83,T83,T81,Anirban Lahiri,54,+.056
84,T83,T81,Cameron Smith,55,+.056
85,86,86,Wyndham Clark,61,+.057
86,87,T84,Hideki Matsuyama,59,+.059
87,T88,T87,Keegan Bradley,65,+.067
88,T88,T87,Matt Every,38,+.067
89,T88,T138,Joey Garber,44,+.067
90,T91,T92,Brian Harman,67,+.071
91,T91,T89,Patrick Rodgers,44,+.071
92,T91,T89,Gary Woodland,63,+.071
93,T94,T58,Sangmoon Bae,42,+.077
94,T94,T94,Alex Cejka,41,+.077
95,T94,T92,Rickie Fowler,54,+.077
96,T97,T99,Talor Gooch,37,+.083
97,T97,T94,Nate Lashley,44,+.083
98,T97,T97,Adam Svensson,51,+.083
99,T97,T94,Matt Wallace,31,+.083
100,101,118,Cameron Davis,54,+.087
101,T102,T97,Max Homa,61,+.091
102,T102,T144,Henrik Stenson,46,+.091
103,T104,T99,Sam Burns,66,+.100
104,T104,T99,D.A. Points,33,+.100
105,T106,112,Peter Malnati,64,+.105
106,T106,103,Vaughn Taylor,69,+.105
107,T108,T104,Abraham Ancer,69,+.111
108,T108,T104,Wes Roach,45,+.111
109,T108,107,Scott Stallings,63,+.111
110,T108,T115,Shawn Stefani,57,+.111
111,112,T144,Roberto Castro,54,+.118
112,T113,T108,Tony Finau,61,+.125
113,T113,T115,Curtis Luck,51,+.125
114,T113,T99,Alex Noren,49,+.125
115,T113,T108,Chez Reavie,67,+.125
116,T113,T108,Adam Scott,41,+.125
117,T118,T113,Jon Rahm,51,+.130
118,T118,T113,Jordan Spieth,57,+.130
119,120,35,D.J. Trahan,33,+.133
120,T121,T127,Harris English,72,+.143
121,T121,T159,Russell Henley,56,+.143
122,T121,T177,Whee Kim,57,+.143
123,T121,T129,Joaquin Niemann,68,+.143
124,T121,T119,Justin Rose,42,+.143
125,126,124,Russell Knox,65,+.150
126,T127,T144,Stephan Jaeger,59,+.154
