,Approach_75-100_yards_RTP_Score_RANK THIS WEEK,Approach_75-100_yards_RTP_Score_RANK LAST WEEK,Approach_75-100_yards_RTP_Score_PLAYER NAME,Approach_75-100_yards_RTP_Score_ROUNDS,Approach_75-100_yards_RTP_Score_AVG RTP
0,1,1,Adam Scott,41,-.600
1,2,2,Patrick Cantlay,49,-.444
2,3,4,Rory Sabbatini,71,-.417
3,4,3,Alex Prugh,54,-.409
4,T5,8,José de Jesús Rodríguez,51,-.400
5,T5,5,Charl Schwartzel,34,-.400
6,7,12,Kyle Jones,49,-.371
7,8,7,Rickie Fowler,54,-.370
8,9,21,Hank Lebioda,55,-.364
9,10,9,Jon Rahm,51,-.357
10,11,11,Xander Schauffele,55,-.350
11,12,6,Brandon Harkins,67,-.343
12,T13,T13,Freddie Jacobson,37,-.333
13,T13,10,Dustin Johnson,47,-.333
14,15,16,Sung Kang,67,-.326
15,16,17,Sam Ryder,52,-.323
16,17,T23,Keegan Bradley,65,-.321
17,18,T13,Danny Willett,47,-.308
18,19,33,Martin Laird,60,-.306
19,20,T18,Gary Woodland,63,-.304
20,21,20,Ryan Blaum,67,-.303
21,T22,T13,Scott Brown,66,-.292
22,T22,T23,Cameron Davis,54,-.292
23,24,25,Brian Stuard,76,-.288
24,25,26,Jordan Spieth,57,-.286
25,26,T36,Matt Kuchar,65,-.282
26,27,T18,Sebastián Muñoz,58,-.280
27,28,22,Nate Lashley,44,-.276
28,29,28,Roberto Díaz,51,-.269
29,T30,32,Russell Knox,65,-.268
30,T30,27,Scott Piercy,70,-.268
31,T32,34,Ian Poulter,49,-.263
32,T32,31,Brandt Snedeker,68,-.263
33,34,35,Bud Cauley,61,-.257
34,35,29,Dylan Frittelli,55,-.256
35,T36,T69,Sangmoon Bae,42,-.250
36,T36,30,Talor Gooch,37,-.250
37,T36,T36,Justin Harding,31,-.250
38,T36,T36,Andrew Putnam,57,-.250
39,T36,T36,Cameron Smith,55,-.250
40,41,T42,J.B. Holmes,54,-.240
41,42,T42,Si Woo Kim,65,-.238
42,43,40,Ollie Schniederjans,63,-.237
43,44,T94,Alex Cejka,41,-.235
44,45,57,Ryan Palmer,56,-.233
45,46,41,Dominic Bozzelli,53,-.231
46,T47,48,J.J. Spaun,68,-.229
47,T47,45,Michael Thompson,56,-.229
48,T47,54,Aaron Wise,52,-.229
49,50,T58,Graeme McDowell,61,-.226
50,T51,74,Sergio Garcia,39,-.222
51,T51,T46,Matt Jones,67,-.222
52,T51,53,Rod Pampling,40,-.222
53,54,T49,Martin Kaymer,38,-.217
54,55,T51,Kevin Streelman,63,-.216
55,56,T58,Adam Svensson,51,-.212
56,T57,T55,Rafa Cabrera Bello,57,-.211
57,T57,T94,Ben Crane,41,-.211
58,T57,44,Bill Haas,58,-.211
59,T57,T55,Tyrrell Hatton,46,-.211
60,T61,T88,Matt Every,38,-.200
61,T61,T51,Peter Malnati,64,-.200
62,T61,T60,Ryan Moore,54,-.200
63,T61,T60,Justin Rose,42,-.200
64,T65,T64,Nick Taylor,70,-.196
65,T65,T64,Martin Trainer,51,-.196
66,T67,T76,Roberto Castro,54,-.194
67,T67,66,"Ted Potter, Jr.",56,-.194
68,69,T76,Jim Herman,37,-.192
69,70,68,Vaughn Taylor,69,-.189
70,71,999,Shane Lowry,30,-.188
71,T72,T72,Kevin Na,54,-.182
72,T72,T46,Sepp Straka,48,-.182
73,74,T60,Curtis Luck,51,-.174
74,75,67,Mackenzie Hughes,58,-.172
75,T76,T76,Kiradech Aphibarnrat,49,-.167
76,T76,T76,Lucas Bjerregaard,37,-.167
77,T76,T60,John Chin,38,-.167
78,T76,104,Adam Hadwin,66,-.167
79,T76,T91,Kramer Hickok,59,-.167
80,T76,T76,Denny McCarthy,63,-.167
81,T76,T49,Seamus Power,58,-.167
82,T76,T69,Chris Thompson,34,-.167
83,84,84,Cameron Champ,58,-.161
84,T85,85,J.T. Poston,76,-.160
85,T85,T72,Ben Silverman,54,-.160
86,87,86,Johnson Wagner,45,-.158
87,88,87,Branden Grace,62,-.156
88,89,T106,Wyndham Clark,61,-.154
89,90,99,Corey Conners,62,-.152
90,T91,T88,Aaron Baddeley,51,-.150
91,T91,T76,Cameron Tringale,52,-.150
92,T91,T100,Peter Uihlein,65,-.150
93,T94,83,Sungjae Im,88,-.148
94,T94,T127,Danny Lee,66,-.148
95,T96,T109,Zach Johnson,50,-.147
96,T96,T91,Kevin Kisner,65,-.147
97,T98,T94,Charles Howell III,64,-.143
98,T98,T94,Jhonattan Vegas,60,-.143
99,100,T100,Beau Hossler,66,-.139
100,101,93,Brian Gay,79,-.138
101,102,102,Francesco Molinari,41,-.136
102,T103,T109,Austin Cook,50,-.133
103,T103,103,Jason Kokrak,68,-.133
104,T105,T120,Russell Henley,56,-.125
105,T105,105,Chris Kirk,47,-.125
106,T105,T94,Henrik Stenson,46,-.125
107,108,T129,Brady Schnell,38,-.120
108,109,108,Jason Day,45,-.118
109,110,T106,Jim Furyk,53,-.115
110,111,T153,Jim Knous,55,-.114
111,T112,T109,Bryson DeChambeau,45,-.111
112,T112,T69,J.J. Henry,42,-.111
113,114,T88,Nick Watney,67,-.109
114,115,112,Chez Reavie,67,-.108
115,116,113,Charley Hoffman,58,-.107
116,T117,T114,Joel Dahmen,78,-.105
117,T117,T114,Tony Finau,61,-.105
118,T117,T141,Cody Gribble,52,-.105
119,T120,T116,Lucas Glover,62,-.103
120,T120,T116,Keith Mitchell,64,-.103
121,T120,T116,Brendan Steele,50,-.103
122,T123,T120,Abraham Ancer,69,-.100
123,T123,140,Joaquin Niemann,68,-.100
124,T123,T120,John Senden,39,-.100
125,T123,999,Tyrone Van Aswegen,30,-.100
126,T127,T134,Tyler Duncan,66,-.097
127,T127,T160,Brice Garnett,63,-.097
128,129,T76,Jonathan Byrd,43,-.095
129,T130,T120,Brooks Koepka,49,-.091
130,T130,T125,Patrick Rodgers,44,-.091
131,132,T125,Scott Stallings,63,-.088
132,T133,T127,Ernie Els,43,-.087
133,T133,146,Webb Simpson,53,-.087
134,T135,152,Brian Harman,67,-.083
135,T135,T129,Trey Mullinax,67,-.083
136,137,124,Justin Thomas,49,-.080
137,T138,75,Julián Etulain,55,-.077
138,T138,T131,D.A. Points,33,-.077
139,T138,T131,Matt Wallace,31,-.077
140,T141,133,Andrew Landry,56,-.075
141,T141,T116,Sam Saunders,53,-.075
142,T143,T134,Stewart Cink,33,-.071
143,T143,T134,Emiliano Grillo,65,-.071
144,145,T137,Troy Merritt,42,-.069
145,146,139,Tommy Fleetwood,43,-.067
146,147,T137,Jimmy Walker,61,-.065
147,148,T141,Sam Burns,66,-.063
148,149,T153,Ryan Armour,66,-.061
149,150,143,Billy Horschel,73,-.059
150,151,144,Adam Long,52,-.057
151,T152,145,Paul Casey,51,-.056
152,T152,T160,Alex Noren,49,-.056
153,154,157,Roger Sloan,62,-.050
154,155,159,Adam Schenk,80,-.045
155,156,T160,Stephan Jaeger,59,-.040
156,157,T150,Luke List,52,-.038
157,158,T150,Chase Wright,53,-.034
158,159,155,Anirban Lahiri,54,-.030
159,160,158,Carlos Ortiz,60,-.026
160,161,156,Kelly Kraft,67,-.024
161,T162,T160,Byeong Hun An,54,E
162,T162,T160,Joey Garber,44,E
163,T162,T160,Chesson Hadley,58,E
164,T162,T160,Tom Hoge,70,E
165,T162,T160,John Huh,35,E
166,T162,T160,Satoshi Kodaira,51,E
167,T162,T160,Scott Langley,60,E
168,T162,T160,Hunter Mahan,45,E
169,T162,T160,Hideki Matsuyama,59,E
170,T162,T147,Chris Stroud,54,E
171,T162,T160,Hudson Swafford,59,E
172,T162,T199,D.J. Trahan,33,E
173,T162,T147,Kevin Tway,62,E
174,T162,T160,Bubba Watson,47,E
175,T162,T160,Richy Werenski,63,E
176,177,184,Harold Varner III,62,+.023
177,178,175,Jason Dufner,56,+.026
178,T179,T176,Anders Albertson,48,+.034
179,T179,194,Daniel Berger,48,+.034
180,T179,T176,Max Homa,61,+.034
181,182,178,C.T. Pan,64,+.037
182,T183,T179,Patton Kizzire,58,+.040
183,T183,T179,Louis Oosthuizen,43,+.040
184,T183,149,Seth Reeves,52,+.040
185,186,183,Fabián Gómez,44,+.043
186,187,185,Patrick Reed,53,+.053
187,188,999,Martin Piller,30,+.056
188,189,187,Rory McIlroy,50,+.059
189,190,188,Josh Teater,47,+.067
190,T191,T181,Jonas Blixt,66,+.069
191,T191,T181,Robert Streb,60,+.069
192,193,T189,Wes Roach,45,+.071
193,194,T189,Tiger Woods,31,+.077
194,195,192,Matthew Fitzpatrick,42,+.087
195,196,195,Harris English,72,+.133
196,T197,191,Whee Kim,57,+.143
197,T197,196,Grayson Murray,36,+.143
198,T197,193,Shawn Stefani,57,+.143
199,200,197,Pat Perez,52,+.150
200,201,198,Michael Kim,51,+.158
201,202,T199,Marc Leishman,52,+.167
202,203,201,James Hahn,34,+.188
203,204,202,Bronson Burgoon,37,+.190
204,205,203,Haotong Li,32,+.192
205,206,204,Phil Mickelson,41,+.217
206,207,205,David Hearn,41,+.235
207,208,206,Kyoung-Hoon Lee,72,+.310
208,209,207,Kyle Stanley,53,+.389
