,Approaches_from__100_yards_Rgh_RANK THIS WEEK,Approaches_from__100_yards_Rgh_RANK LAST WEEK,Approaches_from__100_yards_Rgh_PLAYER NAME,Approaches_from__100_yards_Rgh_ROUNDS,Approaches_from__100_yards_Rgh_AVG,Approaches_from__100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__100_yards_Rgh_# OF ATTEMPTS,Approaches_from__100_yards_Rgh_RELATIVE TO PAR
0,1,1,Justin Harding,31,"38' 2""",610.8330000000001,16,+3
1,2,2,Lucas Glover,62,"38' 7""",5087.833,132,E
2,3,3,Kevin Streelman,63,"39' 6""",5019.917,127,+7
3,4,4,Marc Leishman,52,"39' 7""",4238.75,107,-8
4,5,13,Talor Gooch,37,"40' 3""",4304.0,107,+6
5,6,7,Chesson Hadley,58,"41' 1""",5789.0,141,+7
6,7,5,Cameron Davis,54,"41' 4""",6113.25,148,-8
7,8,12,Joaquin Niemann,68,"41' 6""",6638.5830000000005,160,-2
8,T9,T9,Aaron Baddeley,51,"41' 10""",5854.0830000000005,140,+9
9,T9,T9,Rory McIlroy,50,"41' 10""",4560.083,109,+2
10,11,19,Dustin Johnson,47,"42' 0""",5081.417,121,-8
11,12,15,"Ted Potter, Jr.",56,"42' 6""",5397.1669999999995,127,+10
12,T13,11,Sergio Garcia,39,"42' 7""",4134.5,97,+14
13,T13,T16,James Hahn,34,"42' 7""",2214.667,52,+10
14,T13,T16,Charl Schwartzel,34,"42' 7""",2470.25,58,+7
15,16,22,Danny Lee,66,"42' 9""",7997.8330000000005,187,+21
16,17,T20,Abraham Ancer,69,"42' 10""",5014.333,117,-1
17,T18,T26,Jim Furyk,53,"42' 11""",3561.333,83,+5
18,T18,29,D.J. Trahan,33,"42' 11""",3090.667,72,+6
19,T20,23,Russell Knox,65,"43' 0""",5586.25,130,+5
20,T20,18,Matt Kuchar,65,"43' 0""",5034.25,117,+8
21,T20,999,Tyrone Van Aswegen,30,"43' 0""",2796.5,65,+9
22,T23,14,Corey Conners,62,"43' 2""",5049.75,117,+9
23,T23,8,Ryan Palmer,56,"43' 2""",4534.5,105,-4
24,T25,6,Matt Every,38,"43' 4""",2684.917,62,+20
25,T25,30,Brandon Harkins,67,"43' 4""",7838.9169999999995,181,+18
26,27,T26,Alex Prugh,54,"43' 6""",5005.333,115,+22
27,T28,25,Nate Lashley,44,"43' 7""",4224.583,97,E
28,T28,28,Harold Varner III,62,"43' 7""",7060.4169999999995,162,+21
29,30,T43,Brady Schnell,38,"43' 8""",3540.083,81,+12
30,31,T20,Jimmy Walker,61,"43' 9""",7092.6669999999995,162,+21
31,32,31,Adam Long,52,"44' 3""",4959.083,112,+18
32,33,T32,Tony Finau,61,"44' 4""",6300.9169999999995,142,-1
33,34,T32,Sam Saunders,53,"44' 5""",6530.9169999999995,147,+13
34,35,41,Justin Thomas,49,"44' 6""",5297.3330000000005,119,-2
35,36,T49,Danny Willett,47,"44' 7""",5435.4169999999995,122,+10
36,T37,T43,Jonas Blixt,66,"44' 8""",7278.4169999999995,163,+28
37,T37,T45,Bud Cauley,61,"44' 8""",6392.5830000000005,143,+7
38,T37,T32,Henrik Stenson,46,"44' 8""",3040.0,68,+17
39,T37,T38,Jhonattan Vegas,60,"44' 8""",6742.0,151,-3
40,41,T57,Ollie Schniederjans,63,"44' 11""",8405.583,187,+14
41,42,T45,Matthew Fitzpatrick,42,"45' 1""",3381.083,75,+6
42,T43,T47,Jordan Spieth,57,"45' 2""",7585.75,168,+22
43,T43,T57,Chris Stroud,54,"45' 2""",5871.4169999999995,130,+6
44,T45,42,Brooks Koepka,49,"45' 3""",3845.5,85,+1
45,T45,T49,John Senden,39,"45' 3""",3393.083,75,+7
46,T47,72,Webb Simpson,53,"45' 4""",5709.9169999999995,126,+2
47,T47,T38,Scott Stallings,63,"45' 4""",7611.5830000000005,168,+36
48,49,52,Kevin Kisner,65,"45' 5""",5635.0,124,+20
49,T50,T53,Matt Wallace,31,"45' 6""",2914.0,64,+1
50,T50,T49,Chase Wright,53,"45' 6""",4687.25,103,+17
51,52,T32,J.J. Henry,42,"45' 7""",3967.083,87,+10
52,T53,T55,Michael Kim,51,"45' 8""",5664.75,124,+15
53,T53,T55,Pat Perez,52,"45' 8""",3379.333,74,+11
