,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
176,T177,189,John Chin,38,"31' 2""",374.167,12,+4
177,T177,20,Jim Furyk,53,"31' 2""",249.5,8,-1
178,179,T174,Cameron Champ,58,"31' 3""",1500.0829999999999,48,+10
179,T180,T184,Hank Lebioda,55,"31' 4""",407.833,13,E
180,T180,T180,Martin Trainer,51,"31' 4""",1724.0829999999999,55,+9
181,182,T184,Sungjae Im,88,"31' 5""",973.75,31,+6
182,T183,T182,Corey Conners,62,"31' 7""",505.417,16,+4
183,T183,T176,Charl Schwartzel,34,"31' 7""",221.25,7,+4
184,T183,T176,Brendan Steele,50,"31' 7""",537.25,17,+7
185,186,T180,Graeme McDowell,61,"31' 8""",727.75,23,+4
186,187,T182,Michael Kim,51,"32' 0""",863.25,27,+12
187,188,T176,Aaron Wise,52,"32' 3""",612.3330000000001,19,+4
188,189,187,Haotong Li,32,"32' 8""",392.333,12,+2
189,190,T195,Kelly Kraft,67,"32' 9""",655.0,20,+5
190,191,T184,Jim Herman,37,"32' 10""",196.833,6,+4
191,192,200,Austin Cook,50,"32' 11""",296.58299999999997,9,+3
192,T193,193,Brandon Harkins,67,"33' 3""",1196.667,36,+14
193,T193,191,Jon Rahm,51,"33' 3""",765.6669999999999,23,+3
194,T193,199,Johnson Wagner,45,"33' 3""",299.25,9,+3
195,196,T195,Adam Schenk,80,"33' 6""",736.1669999999999,22,+6
196,197,192,Kramer Hickok,59,"33' 7""",369.5,11,+7
197,198,T197,Peter Uihlein,65,"34' 0""",1087.833,32,E
198,199,194,Brian Harman,67,"34' 2""",477.917,14,+1
199,200,T197,Francesco Molinari,41,"34' 10""",557.0,16,E
200,201,179,Alex Noren,49,"34' 11""",558.9169999999999,16,+2
201,202,204,Henrik Stenson,46,"36' 1""",396.75,11,+1
202,203,201,Patrick Cantlay,49,"37' 6""",524.4169999999999,14,-2
203,204,202,Adam Long,52,"37' 11""",833.75,22,+9
204,205,203,Troy Merritt,42,"39' 1""",312.5,8,E
205,T206,205,Matthew Fitzpatrick,42,"40' 10""",408.667,10,+3
206,T206,999,Shane Lowry,30,"40' 10""",653.9169999999999,16,+6
207,208,206,Adam Scott,41,"41' 6""",332.0,8,+1
208,209,207,Tiger Woods,31,"45' 0""",134.917,3,+2
