,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
105,T92,T107,Robert Streb,60,"7' 4""",2293.583,312,66
106,T92,T89,Vaughn Taylor,69,"7' 4""",3093.583,423,52
107,T92,T68,Nick Taylor,70,"7' 4""",3309.667,450,113
108,T92,T107,Cameron Tringale,52,"7' 4""",1839.0,250,49
109,T92,T89,Richy Werenski,63,"7' 4""",2872.917,391,118
110,T92,T89,Gary Woodland,63,"7' 4""",2180.25,299,169
111,T112,T107,Talor Gooch,37,"7' 5""",1517.5829999999999,204,97
112,T112,T107,Freddie Jacobson,37,"7' 5""",1428.75,192,193
113,T112,T120,Kyle Jones,49,"7' 5""",1917.9170000000001,258,122
114,T112,T107,Chris Kirk,47,"7' 5""",1874.9170000000001,254,98
115,T112,T107,Patton Kizzire,58,"7' 5""",2141.833,288,159
116,T112,T107,Martin Laird,60,"7' 5""",2583.833,348,116
117,T112,T89,Scott Langley,60,"7' 5""",2672.667,362,100
118,T112,T132,Danny Lee,66,"7' 5""",3098.833,420,90
119,T112,T107,Keith Mitchell,64,"7' 5""",2241.5,303,176
120,T112,T107,Trey Mullinax,67,"7' 5""",2788.917,376,100
121,T112,T132,Rod Pampling,40,"7' 5""",1625.0829999999999,219,172
122,T112,T107,Patrick Reed,53,"7' 5""",2252.167,304,96
123,T112,T107,Henrik Stenson,46,"7' 5""",1819.4170000000001,245,42
124,T112,T89,Hudson Swafford,59,"7' 5""",2438.5,330,186
125,T112,T132,Peter Uihlein,65,"7' 5""",2431.833,327,139
126,T112,T144,Bubba Watson,47,"7' 5""",2097.417,282,21
127,T112,T89,Chase Wright,53,"7' 5""",2083.917,281,146
128,T129,T107,Corey Conners,62,"7' 6""",1872.5829999999999,251,185
129,T129,T132,Roberto Díaz,51,"7' 6""",1879.9170000000001,250,63
130,T129,T150,Harris English,72,"7' 6""",3272.0,435,70
131,T129,T150,Cody Gribble,52,"7' 6""",2427.917,324,204
132,T129,T120,Chesson Hadley,58,"7' 6""",2230.417,298,145
133,T129,T132,David Hearn,41,"7' 6""",1366.8329999999999,183,93
134,T129,T120,Tom Hoge,70,"7' 6""",2698.833,360,148
135,T129,T120,Billy Horschel,73,"7' 6""",2417.75,322,77
136,T129,T120,Beau Hossler,66,"7' 6""",2993.583,399,168
137,T129,T120,Ryan Moore,54,"7' 6""",2384.417,319,131
