,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
179,T180,T172,Bryson DeChambeau,45,1.0,31,31.0
180,T180,T172,Si Woo Kim,65,1.0,46,46.0
181,T180,169,Jim Knous,55,1.0,42,42.0
182,T180,T172,Satoshi Kodaira,51,1.0,35,35.0
183,T180,194,Alex Noren,49,1.0,43,43.0
184,T180,184,Ollie Schniederjans,63,1.0,58,58.0
185,T180,185,Roger Sloan,62,1.0,50,50.0
186,T180,T172,Jimmy Walker,61,1.0,44,44.0
187,188,182,Martin Trainer,51,1.014,71,72.0
188,189,183,Danny Lee,66,1.0170000000000001,60,61.0
189,190,T159,Brian Harman,67,1.0190000000000001,52,53.0
190,191,192,Scott Stallings,63,1.02,49,50.0
191,192,T172,Danny Willett,47,1.022,46,47.0
192,T193,186,Rickie Fowler,54,1.024,42,43.0
193,T193,T195,Ryan Palmer,56,1.024,41,42.0
194,195,187,Adam Long,52,1.026,38,39.0
195,196,188,Sam Burns,66,1.028,72,74.0
196,197,189,Charl Schwartzel,34,1.034,29,30.0
197,T198,190,Jason Day,45,1.038,26,27.0
198,T198,197,Nick Watney,67,1.038,52,54.0
199,200,198,Brandon Harkins,67,1.045,66,69.0
200,201,T195,Chris Kirk,47,1.056,36,38.0
201,202,199,Corey Conners,62,1.091,33,36.0
202,203,200,Michael Kim,51,1.0979999999999999,61,67.0
203,204,206,Whee Kim,57,1.111,36,40.0
204,205,201,Cameron Champ,58,1.119,42,47.0
205,T206,202,John Chin,38,1.185,27,32.0
206,T206,203,Phil Mickelson,41,1.185,27,32.0
207,208,204,Grayson Murray,36,1.205,39,47.0
208,209,205,Cody Gribble,52,1.245,53,66.0
