,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
130,T125,T125,Kevin Streelman,63,"3' 1""",140.417,45,93
131,T132,T140,Wyndham Clark,61,"3' 2""",105.5,33,162
132,T132,T94,Dylan Frittelli,55,"3' 2""",101.25,32,34
133,T132,T94,Jim Furyk,53,"3' 2""",54.083,17,8
134,T132,139,J.J. Henry,42,"3' 2""",54.333,17,58
135,T132,T125,Jim Knous,55,"3' 2""",81.917,26,155
136,T132,T125,Brooks Koepka,49,"3' 2""",80.167,25,84
137,T132,T147,Roger Sloan,62,"3' 2""",102.5,32,166
138,T132,T125,Chris Stroud,54,"3' 2""",82.5,26,69
139,T132,T81,Jimmy Walker,61,"3' 2""",73.25,23,34
140,T132,T147,Nick Watney,67,"3' 2""",102.5,32,137
141,T132,T114,Aaron Wise,52,"3' 2""",72.583,23,201
142,T143,T140,Patrick Cantlay,49,"3' 3""",70.667,22,1
143,T143,T140,Branden Grace,62,"3' 3""",80.75,25,190
144,T143,T147,Danny Lee,66,"3' 3""",103.25,32,90
145,T143,T140,Marc Leishman,52,"3' 3""",70.833,22,18
146,T143,T140,Keith Mitchell,64,"3' 3""",85.0,26,176
147,T143,T147,Seamus Power,58,"3' 3""",98.667,30,105
148,T143,T140,Charl Schwartzel,34,"3' 3""",19.25,6,84
149,T143,T140,Gary Woodland,63,"3' 3""",108.583,33,169
150,T151,T154,Scott Brown,66,"3' 4""",126.833,38,99
151,T151,T147,J.T. Poston,76,"3' 4""",168.083,51,25
152,T151,T176,Wes Roach,45,"3' 4""",70.083,21,53
153,T151,T161,Cameron Tringale,52,"3' 4""",72.5,22,49
154,T151,999,Tyrone Van Aswegen,30,"3' 4""",49.5,15,13
155,T156,T114,Sangmoon Bae,42,"3' 5""",72.0,21,106
156,T156,T154,Daniel Berger,48,"3' 5""",102.333,30,127
157,T156,T161,Joey Garber,44,"3' 5""",55.0,16,68
158,T156,T152,Kevin Na,54,"3' 5""",44.0,13,136
159,T156,T154,Scott Piercy,70,"3' 5""",67.833,20,27
160,T156,T152,Shawn Stefani,57,"3' 5""",95.167,28,82
161,T162,199,Jonathan Byrd,43,"3' 6""",45.667,13,11
162,T162,T154,Rafa Cabrera Bello,57,"3' 6""",91.167,26,65
163,T162,T187,Ben Crane,41,"3' 6""",56.583,16,75
164,T162,T179,Adam Hadwin,66,"3' 6""",151.25,43,120
165,T162,T154,Michael Kim,51,"3' 6""",60.167,17,206
166,T162,T154,Adam Long,52,"3' 6""",134.0,38,109
167,T162,T161,Ollie Schniederjans,63,"3' 6""",88.167,25,151
168,T169,T154,Brian Gay,79,"3' 7""",144.25,40,60
169,T169,T161,David Hearn,41,"3' 7""",60.333,17,93
170,T169,T161,D.J. Trahan,33,"3' 7""",28.916999999999998,8,28
171,T172,T166,Francesco Molinari,41,"3' 8""",73.75,20,26
172,T172,T166,Grayson Murray,36,"3' 8""",70.25,19,205
173,T172,T166,Brendan Steele,50,"3' 8""",109.0,30,194
174,T172,T184,Chase Wright,53,"3' 8""",85.25,23,146
175,T176,T170,Bryson DeChambeau,45,"3' 9""",89.417,24,61
176,T176,T187,Cody Gribble,52,"3' 9""",137.917,37,204
177,T176,T170,Brian Harman,67,"3' 9""",158.0,42,140
178,T176,T170,Charles Howell III,64,"3' 9""",78.167,21,81
179,T176,T170,Matt Jones,67,"3' 9""",93.917,25,38
180,T176,T170,Rod Pampling,40,"3' 9""",59.583,16,172
181,T176,T170,Sam Ryder,52,"3' 9""",111.583,30,43
182,T183,T184,Cameron Davis,54,"3' 10""",108.333,28,72
183,T183,T176,Emiliano Grillo,65,"3' 10""",85.083,22,170
184,T183,T179,Martin Laird,60,"3' 10""",76.083,20,116
185,T183,T179,Webb Simpson,53,"3' 10""",100.5,26,2
186,T187,T179,Jason Day,45,"3' 11""",55.083,14,129
187,T187,T176,Kramer Hickok,59,"3' 11""",101.667,26,117
188,T187,T179,Ryan Moore,54,"3' 11""",98.833,25,131
189,T187,T196,Bubba Watson,47,"3' 11""",133.833,34,21
190,T191,T184,Chesson Hadley,58,"4' 0""",116.083,29,145
191,T191,T193,Mackenzie Hughes,58,"4' 0""",132.75,33,54
192,T193,T187,Satoshi Kodaira,51,"4' 1""",134.5,33,208
193,T193,T125,Alex Noren,49,"4' 1""",105.417,26,180
194,T193,T187,John Senden,39,"4' 1""",57.417,14,156
195,T193,195,Justin Thomas,49,"4' 1""",102.25,25,79
196,T197,T187,Tyler Duncan,66,"4' 2""",169.583,41,181
197,T197,T193,Julián Etulain,55,"4' 2""",112.417,27,56
198,199,T196,Ben Silverman,54,"4' 4""",103.667,24,109
199,200,T166,Roberto Castro,54,"4' 5""",128.5,29,20
200,201,203,Whee Kim,57,"4' 6""",49.5,11,164
201,202,198,Xander Schauffele,55,"4' 7""",106.083,23,45
202,203,T187,Matt Every,38,"4' 8""",79.667,17,202
203,204,T201,Hank Lebioda,55,"5' 0""",168.667,34,173
204,205,200,D.A. Points,33,"5' 4""",32.167,6,131
205,206,T201,Kyle Stanley,53,"5' 5""",103.167,19,141
206,207,T205,Curtis Luck,51,"5' 9""",91.417,16,87
207,208,204,Tony Finau,61,"5' 11""",153.417,26,64
208,209,207,Andrew Putnam,57,"6' 8""",113.417,17,123
