,SG_Around_the_Green_RANK THIS WEEK,SG_Around_the_Green_RANK LAST WEEK,SG_Around_the_Green_PLAYER NAME,SG_Around_the_Green_ROUNDS,SG_Around_the_Green_AVERAGE,SG_Around_the_Green_TOTAL SG:ARG,SG_Around_the_Green_MEASURED ROUNDS
138,139,140,Justin Harding,31,-0.10400000000000001,-1.251,12
139,140,T132,Dominic Bozzelli,53,-0.105,-3.471,33
140,T141,134,Talor Gooch,37,-0.106,-3.2769999999999997,31
141,T141,142,John Senden,39,-0.106,-2.544,24
142,143,999,Tyrone Van Aswegen,30,-0.109,-2.07,19
143,144,135,Nate Lashley,44,-0.11,-3.41,31
144,145,T143,Bronson Burgoon,37,-0.11199999999999999,-3.261,29
145,146,151,Ben Crane,41,-0.11599999999999999,-3.1189999999999998,27
146,147,145,Beau Hossler,66,-0.11699999999999999,-5.941,51
147,148,T146,Emiliano Grillo,65,-0.11800000000000001,-4.846,41
148,149,159,Richy Werenski,63,-0.128,-6.525,51
149,150,157,Chris Thompson,34,-0.133,-2.9189999999999996,22
150,T151,149,Tony Finau,61,-0.134,-5.49,41
151,T151,154,Joey Garber,44,-0.134,-3.4939999999999998,26
152,153,T136,Roger Sloan,62,-0.135,-6.474,48
153,154,158,Tom Hoge,70,-0.138,-6.602,48
154,155,141,Sergio Garcia,39,-0.139,-3.886,28
155,156,152,Kyle Stanley,53,-0.142,-4.413,31
156,157,153,Sam Ryder,52,-0.147,-5.891,40
157,158,161,Cody Gribble,52,-0.156,-6.25,40
158,159,168,Carlos Ortiz,60,-0.16899999999999998,-8.105,48
159,160,160,Anirban Lahiri,54,-0.17800000000000002,-7.106,40
160,161,162,Trey Mullinax,67,-0.183,-9.711,53
161,T162,155,Scott Brown,66,-0.187,-8.978,48
162,T162,T179,Adam Hadwin,66,-0.187,-8.613,46
163,164,163,Joel Dahmen,78,-0.192,-10.762,56
164,165,156,Anders Albertson,48,-0.19399999999999998,-6.579,34
165,166,165,J.J. Henry,42,-0.19699999999999998,-5.327000000000001,27
166,T167,150,Cameron Davis,54,-0.214,-7.9110000000000005,37
167,T167,T173,Whee Kim,57,-0.214,-6.644,31
168,169,186,Curtis Luck,51,-0.217,-6.9479999999999995,32
169,170,T143,Brady Schnell,38,-0.22,-5.715,26
170,T171,139,Josh Teater,47,-0.222,-6.882000000000001,31
171,T171,176,Chase Wright,53,-0.222,-8.673,39
172,173,189,Ben Silverman,54,-0.226,-9.477,42
173,174,172,Hudson Swafford,59,-0.239,-11.215,47
174,175,175,Grayson Murray,36,-0.24100000000000002,-6.256,26
175,176,171,Austin Cook,50,-0.243,-8.511000000000001,35
176,T177,177,Chesson Hadley,58,-0.245,-10.308,42
177,T177,164,Sam Saunders,53,-0.245,-11.280999999999999,46
178,179,178,Charley Hoffman,58,-0.25,-8.751,35
179,180,181,Jason Kokrak,68,-0.252,-13.347000000000001,53
