,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
123,T123,T119,Zach Johnson,50,"7' 1""",866.1669999999999,122,38
124,T123,T119,Louis Oosthuizen,43,"7' 1""",648.4169999999999,92,62
125,T123,T119,Justin Rose,42,"7' 1""",529.3330000000001,75,30
126,T123,T119,Rory Sabbatini,71,"7' 1""",1218.75,172,19
127,T123,T129,Richy Werenski,63,"7' 1""",1265.167,179,118
128,T129,T143,Cameron Davis,54,"7' 2""",1004.4169999999999,140,72
129,T129,T129,Bryson DeChambeau,45,"7' 2""",1063.5,148,61
130,T129,T129,Ernie Els,43,"7' 2""",646.75,90,17
131,T129,T152,Talor Gooch,37,"7' 2""",691.5830000000001,96,97
132,T129,T129,J.J. Henry,42,"7' 2""",573.8330000000001,80,58
133,T129,T129,Freddie Jacobson,37,"7' 2""",617.75,86,193
134,T129,T129,Jason Kokrak,68,"7' 2""",1100.333,154,75
135,T129,T129,Troy Merritt,42,"7' 2""",693.0,97,130
136,T129,T119,Ryan Palmer,56,"7' 2""",787.75,110,112
137,T129,T129,D.A. Points,33,"7' 2""",549.4169999999999,77,131
138,T129,T129,Patrick Reed,53,"7' 2""",846.25,118,96
139,T129,T164,José de Jesús Rodríguez,51,"7' 2""",906.5830000000001,127,88
140,T129,T107,Adam Schenk,80,"7' 2""",1281.25,178,90
141,T129,T143,Hudson Swafford,59,"7' 2""",1056.333,147,186
142,T129,T107,Peter Uihlein,65,"7' 2""",1106.5,155,139
143,T144,T129,Sangmoon Bae,42,"7' 3""",652.6669999999999,90,106
144,T144,T129,Roberto Díaz,51,"7' 3""",846.5,117,63
145,T144,T129,Sergio Garcia,39,"7' 3""",570.6669999999999,79,143
146,T144,T107,Brice Garnett,63,"7' 3""",924.8330000000001,128,196
147,T144,T143,Chesson Hadley,58,"7' 3""",1069.167,147,145
148,T144,T143,John Huh,35,"7' 3""",623.0,86,78
149,T144,T143,Michael Kim,51,"7' 3""",936.4169999999999,129,206
150,T144,T143,Satoshi Kodaira,51,"7' 3""",853.5830000000001,118,208
151,T144,T119,Kelly Kraft,67,"7' 3""",1171.417,161,179
152,T144,T157,Danny Lee,66,"7' 3""",1421.9170000000001,196,90
153,T144,T143,Chez Reavie,67,"7' 3""",977.0,134,100
154,T144,T143,Sam Ryder,52,"7' 3""",998.1669999999999,137,43
155,T144,T129,Nick Taylor,70,"7' 3""",1530.25,210,113
156,T157,T164,Ryan Armour,66,"7' 4""",1063.917,145,5
157,T157,T176,Ben Crane,41,"7' 4""",606.0,83,75
158,T157,T157,Tom Hoge,70,"7' 4""",1100.583,150,148
159,T157,T152,Francesco Molinari,41,"7' 4""",626.8330000000001,85,26
160,T157,T152,Adam Scott,41,"7' 4""",580.75,79,24
161,T162,T157,Kiradech Aphibarnrat,49,"7' 5""",671.6669999999999,91,31
162,T162,T157,Joel Dahmen,78,"7' 5""",1236.75,166,142
163,T162,T164,Joey Garber,44,"7' 5""",626.9169999999999,85,68
164,T162,T152,Scott Langley,60,"7' 5""",1220.667,165,100
165,T162,T157,Nate Lashley,44,"7' 5""",689.3330000000001,93,40
166,T162,T157,Ryan Moore,54,"7' 5""",1066.083,144,131
167,T162,T164,Alex Prugh,54,"7' 5""",839.5830000000001,113,198
168,T162,T157,Jordan Spieth,57,"7' 5""",1087.667,146,50
169,T162,T152,Chase Wright,53,"7' 5""",973.1669999999999,131,146
170,T171,T182,Dominic Bozzelli,53,"7' 6""",854.8330000000001,114,125
171,T171,T164,Jason Day,45,"7' 6""",655.9169999999999,87,129
172,T171,T176,Jim Knous,55,"7' 6""",965.0830000000001,128,155
173,T171,T182,Hank Lebioda,55,"7' 6""",811.25,108,173
174,T171,T164,Hunter Mahan,45,"7' 6""",777.5830000000001,104,177
175,T171,T164,Jon Rahm,51,"7' 6""",740.0,99,71
176,T177,T174,Ryan Blaum,67,"7' 7""",1365.0829999999999,181,108
177,T177,T174,James Hahn,34,"7' 7""",347.5,46,171
178,T179,T176,Jason Dufner,56,"7' 8""",954.6669999999999,124,197
179,T179,T176,Max Homa,61,"7' 8""",1329.1670000000001,173,86
180,T179,T176,Adam Long,52,"7' 8""",1037.583,136,109
181,T179,T176,Curtis Luck,51,"7' 8""",952.9169999999999,124,87
182,T179,T164,Seth Reeves,52,"7' 8""",1030.0,135,191
183,T179,T193,Danny Willett,47,"7' 8""",914.25,119,163
184,T185,T164,Keegan Bradley,65,"7' 9""",864.9169999999999,112,111
185,T185,T182,Scott Brown,66,"7' 9""",1193.917,154,99
186,T185,T185,Kramer Hickok,59,"7' 9""",1127.5,145,117
187,T185,T185,Sebastián Muñoz,58,"7' 9""",1046.167,135,157
188,T185,999,Martin Piller,30,"7' 9""",442.5,57,67
189,T190,T185,Kyle Jones,49,"7' 10""",941.5830000000001,120,122
190,T190,T185,Kevin Kisner,65,"7' 10""",1078.25,137,73
191,T190,T185,Brendan Steele,50,"7' 10""",927.5,119,194
192,T193,T190,Tony Finau,61,"7' 11""",1089.417,137,64
193,T193,T190,Grayson Murray,36,"7' 11""",708.9169999999999,90,205
194,T193,T190,Patrick Rodgers,44,"7' 11""",902.25,114,154
195,T193,T196,Aaron Wise,52,"7' 11""",831.0,105,201
196,197,195,John Senden,39,"8' 1""",608.75,75,156
197,T198,T196,Emiliano Grillo,65,"8' 2""",1131.75,138,170
198,T198,T196,Haotong Li,32,"8' 2""",448.25,55,100
199,T198,T196,Kyle Stanley,53,"8' 2""",853.3330000000001,105,141
200,T198,T193,Shawn Stefani,57,"8' 2""",850.3330000000001,104,82
201,202,T200,Bronson Burgoon,37,"8' 4""",811.6669999999999,97,175
202,T203,T200,John Chin,38,"8' 5""",529.4169999999999,63,192
203,T203,205,Jim Herman,37,"8' 5""",793.6669999999999,94,183
204,T203,207,Sepp Straka,48,"8' 5""",875.8330000000001,104,195
205,T206,T203,Lucas Bjerregaard,37,"8' 6""",578.1669999999999,68,203
206,T206,T203,Justin Harding,31,"8' 6""",347.417,41,184
207,T206,T200,Whee Kim,57,"8' 6""",866.25,102,164
208,209,206,Cameron Champ,58,"8' 8""",1264.667,146,207
