,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,2,John Senden,39,80.0,12,15
1,2,5,David Hearn,41,78.95,15,19
2,3,4,Jimmy Walker,61,74.51,38,51
3,4,6,Stewart Cink,33,72.41,21,29
4,5,7,Sangmoon Bae,42,72.0,18,25
5,6,T11,Bud Cauley,61,70.97,44,62
6,T7,8,Chris Kirk,47,70.59,24,34
7,T7,999,Shane Lowry,30,70.59,12,17
8,9,T9,Michael Thompson,56,70.37,38,54
9,T10,T11,James Hahn,34,70.0,7,10
10,T10,13,Brian Harman,67,70.0,35,50
11,T12,T14,Tyrrell Hatton,46,68.75,22,32
12,T12,T14,Cameron Smith,55,68.75,22,32
13,T14,T16,Aaron Baddeley,51,68.42,26,38
14,T14,T16,Billy Horschel,73,68.42,26,38
15,16,T20,Brooks Koepka,49,68.18,15,22
16,T17,T9,Matt Kuchar,65,67.86,19,28
17,T17,18,Brandt Snedeker,68,67.86,38,56
18,19,19,Jason Day,45,67.74,21,31
19,20,T20,Graeme McDowell,61,67.35,33,49
20,T21,T20,Danny Lee,66,66.67,38,57
21,T21,T20,Haotong Li,32,66.67,14,21
22,T21,999,Tyrone Van Aswegen,30,66.67,8,12
23,T21,33,Harold Varner III,62,66.67,32,48
24,25,24,Anirban Lahiri,54,66.0,33,50
25,26,25,Ernie Els,43,65.63,21,32
26,T27,3,Dustin Johnson,47,65.22,15,23
27,T27,31,Ben Silverman,54,65.22,30,46
28,29,26,Matt Wallace,31,65.0,13,20
29,30,27,Sam Ryder,52,64.71,33,51
30,31,29,Roberto Castro,54,64.52,20,31
31,32,28,Zach Johnson,50,63.64,21,33
32,T33,32,Louis Oosthuizen,43,63.33,19,30
33,T33,T64,Bubba Watson,47,63.33,19,30
34,35,42,Seamus Power,58,63.16,24,38
35,36,30,Webb Simpson,53,63.04,29,46
36,37,34,Ian Poulter,49,62.5,20,32
37,38,41,Tom Hoge,70,62.22,28,45
38,T39,T35,Tommy Fleetwood,43,62.07,18,29
39,T39,T35,Pat Perez,52,62.07,18,29
40,41,39,Brandon Harkins,67,61.9,39,63
41,42,40,Russell Knox,65,61.54,24,39
42,43,43,Keith Mitchell,64,60.98,25,41
43,44,44,Joel Dahmen,78,60.78,31,51
44,45,38,Dominic Bozzelli,53,60.53,23,38
45,46,T68,Danny Willett,47,60.47,26,43
46,47,45,Si Woo Kim,65,60.38,32,53
47,T48,T46,Jason Kokrak,68,60.0,24,40
48,T48,37,Kelly Kraft,67,60.0,27,45
49,T48,T46,Charl Schwartzel,34,60.0,9,15
50,51,50,Vaughn Taylor,69,59.38,38,64
51,52,51,Troy Merritt,42,59.26,16,27
52,53,T58,Carlos Ortiz,60,59.18,29,49
53,54,T85,J.J. Henry,42,59.09,13,22
54,55,T46,Ryan Armour,66,58.93,33,56
55,56,52,Brian Stuard,76,58.7,27,46
56,T57,T53,Francesco Molinari,41,58.62,17,29
57,T57,T53,D.A. Points,33,58.62,17,29
58,59,55,Patrick Reed,53,58.54,24,41
59,T60,T56,Kyoung-Hoon Lee,72,58.49,31,53
60,T60,T56,Rory Sabbatini,71,58.49,31,53
61,T60,T58,Roger Sloan,62,58.49,31,53
62,T63,T46,Jonathan Byrd,43,58.33,14,24
63,T63,T58,Rickie Fowler,54,58.33,28,48
64,T65,T72,Stephan Jaeger,59,58.14,25,43
65,T65,62,Michael Kim,51,58.14,25,43
66,67,83,Scott Piercy,70,57.89,22,38
67,T68,T64,Sergio Garcia,39,57.69,15,26
68,T68,T64,Andrew Putnam,57,57.69,15,26
69,70,78,Joaquin Niemann,68,57.63,34,59
70,71,67,Charles Howell III,64,57.58,19,33
71,72,70,Byeong Hun An,54,57.45,27,47
72,T73,71,Harris English,72,57.14,40,70
73,T73,T72,Hunter Mahan,45,57.14,16,28
74,T73,T72,Hideki Matsuyama,59,57.14,24,42
75,T73,T72,Tiger Woods,31,57.14,12,21
76,77,76,Peter Uihlein,65,56.86,29,51
77,78,T68,Daniel Berger,48,56.82,25,44
78,79,T58,Chris Stroud,54,56.76,21,37
79,80,77,Martin Kaymer,38,56.41,22,39
80,81,79,J.B. Holmes,54,56.25,18,32
81,T82,80,Hudson Swafford,59,56.0,28,50
82,T82,T94,Aaron Wise,52,56.0,14,25
83,T84,81,Kiradech Aphibarnrat,49,55.88,19,34
84,T84,63,Rory McIlroy,50,55.88,19,34
85,86,82,Brian Gay,79,55.77,29,52
86,T87,T108,J.J. Spaun,68,55.56,20,36
87,T87,T108,D.J. Trahan,33,55.56,10,18
88,T89,T102,Matt Every,38,55.17,16,29
89,T89,93,Peter Malnati,64,55.17,32,58
90,T89,84,Adam Scott,41,55.17,16,29
91,T92,T85,Chesson Hadley,58,55.0,22,40
92,T92,T85,John Huh,35,55.0,11,20
93,94,91,Marc Leishman,52,54.76,23,42
94,95,92,Lucas Glover,62,54.55,30,55
95,96,T116,Ollie Schniederjans,63,54.35,25,46
96,97,T126,Talor Gooch,37,54.29,19,35
97,98,T94,Jordan Spieth,57,54.17,26,48
98,99,98,Emiliano Grillo,65,54.05,20,37
99,100,T94,Julián Etulain,55,54.0,27,50
100,101,T112,Martin Laird,60,53.85,21,39
101,102,99,Beau Hossler,66,53.7,29,54
102,T103,122,Austin Cook,50,53.66,22,41
103,T103,T100,Bill Haas,58,53.66,22,41
104,105,T126,Shawn Stefani,57,53.57,15,28
105,106,T100,Jonas Blixt,66,53.49,23,43
106,T107,T104,Rafa Cabrera Bello,57,53.33,24,45
107,T107,T116,Wyndham Clark,61,53.33,24,45
108,109,107,Matthew Fitzpatrick,42,53.13,17,32
109,110,106,Sungjae Im,88,53.03,35,66
110,T111,T108,Patton Kizzire,58,52.94,18,34
111,T111,T108,Luke List,52,52.94,27,51
112,T111,T160,Chris Thompson,34,52.94,9,17
113,114,T112,Martin Trainer,51,52.63,20,38
114,115,114,Ryan Moore,54,52.5,21,40
115,116,115,J.T. Poston,76,52.44,43,82
116,117,T85,Justin Thomas,49,52.17,12,23
117,T118,T85,Ben Crane,41,52.0,13,25
118,T118,T170,Brady Schnell,38,52.0,13,25
119,T118,119,Nick Watney,67,52.0,26,50
120,121,120,Matt Jones,67,51.92,27,52
121,T122,125,Scott Langley,60,51.85,28,54
122,T122,169,Cameron Tringale,52,51.85,14,27
123,124,T104,Anders Albertson,48,51.61,16,31
124,125,90,Jim Furyk,53,51.52,17,33
125,126,121,Patrick Cantlay,49,51.35,19,37
126,127,T126,Dylan Frittelli,55,51.28,20,39
127,128,T123,Ryan Blaum,67,51.22,21,41
128,129,118,Sam Saunders,53,51.06,24,47
129,130,T126,Corey Conners,62,51.02,25,49
130,T131,T126,Lucas Bjerregaard,37,50.0,9,18
131,T131,T126,Paul Casey,51,50.0,16,32
132,T131,T102,Cameron Davis,54,50.0,16,32
133,T131,144,Cody Gribble,52,50.0,18,36
134,T131,T150,Adam Hadwin,66,50.0,33,66
135,T131,139,Kramer Hickok,59,50.0,21,42
136,T131,T150,Sebastián Muñoz,58,50.0,22,44
137,T131,T126,Grayson Murray,36,50.0,17,34
138,T131,T126,C.T. Pan,64,50.0,17,34
139,T131,T126,Justin Rose,42,50.0,12,24
140,T131,T126,Kyle Stanley,53,50.0,18,36
141,T131,T94,Sepp Straka,48,50.0,14,28
142,T131,T123,Kevin Tway,62,50.0,21,42
143,T144,T147,Trey Mullinax,67,48.98,24,49
144,T144,138,José de Jesús Rodríguez,51,48.98,24,49
145,146,T162,Scott Stallings,63,48.89,22,45
146,147,140,Xander Schauffele,55,48.72,19,39
147,T148,T142,Tyler Duncan,66,48.65,18,37
148,T148,141,Gary Woodland,63,48.65,18,37
149,T148,T142,Chase Wright,53,48.65,18,37
