,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
90,T83,T95,Peter Malnati,64,"3' 5""",317.83299999999997,93,32
91,T83,T62,Graeme McDowell,61,"3' 5""",217.167,63,33
92,T83,T81,Keith Mitchell,64,"3' 5""",203.5,59,176
93,T83,T81,John Senden,39,"3' 5""",102.583,30,156
94,T95,T95,Sam Burns,66,"3' 6""",313.0,89,135
95,T95,T126,J.B. Holmes,54,"3' 6""",173.833,50,138
96,T95,T95,Matt Jones,67,"3' 6""",229.25,65,38
97,T95,T95,Kevin Kisner,65,"3' 6""",306.91700000000003,88,73
98,T95,T95,Adam Long,52,"3' 6""",299.0,85,109
99,T95,T105,Denny McCarthy,63,"3' 6""",216.0,61,10
100,T95,T95,Louis Oosthuizen,43,"3' 6""",160.667,46,62
101,T95,T95,Andrew Putnam,57,"3' 6""",167.833,48,123
102,T95,T95,Patrick Reed,53,"3' 6""",207.167,59,96
103,T95,T105,Scott Stallings,63,"3' 6""",280.91700000000003,80,159
104,T95,T81,Sepp Straka,48,"3' 6""",166.5,48,195
105,T95,T95,Martin Trainer,51,"3' 6""",211.0,60,161
106,T95,T81,Cameron Tringale,52,"3' 6""",201.0,57,49
107,T95,T119,Peter Uihlein,65,"3' 6""",209.5,60,139
108,T109,T105,Jim Furyk,53,"3' 7""",228.833,64,8
109,T109,T119,David Hearn,41,"3' 7""",130.333,36,93
110,T109,T81,Kyle Jones,49,"3' 7""",216.417,61,122
111,T109,T105,Haotong Li,32,"3' 7""",149.083,42,100
112,T109,T105,Hunter Mahan,45,"3' 7""",175.333,49,177
113,T109,999,Martin Piller,30,"3' 7""",88.583,25,67
114,T109,T105,J.T. Poston,76,"3' 7""",447.583,124,25
115,T109,T105,Justin Rose,42,"3' 7""",194.917,54,30
116,T109,T105,Cameron Smith,55,"3' 7""",236.5,66,90
117,T109,T105,Brendan Steele,50,"3' 7""",238.583,66,194
118,T109,T105,Kevin Streelman,63,"3' 7""",299.5,83,93
119,T109,T105,Vaughn Taylor,69,"3' 7""",349.75,97,52
120,T109,T119,D.J. Trahan,33,"3' 7""",75.417,21,28
121,T109,T105,Matt Wallace,31,"3' 7""",144.5,40,126
122,T123,T119,Alex Cejka,41,"3' 8""",259.33299999999997,71,152
123,T123,T119,Stewart Cink,33,"3' 8""",113.5,31,188
124,T123,T135,Matt Every,38,"3' 8""",140.667,38,202
125,T123,T119,Brandon Harkins,67,"3' 8""",282.0,77,199
126,T123,T126,Tom Hoge,70,"3' 8""",358.917,97,148
127,T123,T119,Sam Ryder,52,"3' 8""",254.333,70,43
128,T123,T105,Brady Schnell,38,"3' 8""",208.333,57,57
129,T130,T126,Ryan Blaum,67,"3' 9""",322.25,85,108
130,T130,T126,Keegan Bradley,65,"3' 9""",304.5,82,111
131,T130,T126,Patrick Cantlay,49,"3' 9""",206.333,55,1
132,T130,T126,Cameron Champ,58,"3' 9""",285.58299999999997,76,207
133,T130,T142,Jim Knous,55,"3' 9""",219.167,59,155
134,T130,T126,Phil Mickelson,41,"3' 9""",175.583,47,165
135,T130,T53,Rod Pampling,40,"3' 9""",162.833,43,172
136,T130,T126,Xander Schauffele,55,"3' 9""",211.667,57,45
137,T130,T126,Adam Scott,41,"3' 9""",130.917,35,24
138,T130,T142,Justin Thomas,49,"3' 9""",211.583,56,79
139,T130,T135,Chase Wright,53,"3' 9""",238.25,63,146
140,T141,T142,Austin Cook,50,"3' 10""",227.833,60,173
141,T141,T153,Ben Crane,41,"3' 10""",133.583,35,75
142,T141,T135,Bryson DeChambeau,45,"3' 10""",193.583,51,61
143,T141,T135,Michael Kim,51,"3' 10""",192.583,50,206
144,T141,T135,Danny Lee,66,"3' 10""",365.167,96,90
145,T141,T135,Marc Leishman,52,"3' 10""",206.0,54,18
146,T147,T158,Dominic Bozzelli,53,"3' 11""",193.333,49,125
147,T147,T142,Sergio Garcia,39,"3' 11""",240.833,61,143
148,T147,T142,Mackenzie Hughes,58,"3' 11""",279.58299999999997,71,54
149,T147,T142,John Huh,35,"3' 11""",201.75,51,78
150,T147,T181,Matt Kuchar,65,"3' 11""",244.167,62,9
151,T147,T142,Luke List,52,"3' 11""",274.91700000000003,70,181
152,T147,T162,Alex Noren,49,"3' 11""",206.0,53,180
153,T147,T142,Rory Sabbatini,71,"3' 11""",358.5,91,19
154,T147,T142,Ben Silverman,54,"3' 11""",256.75,66,109
155,T147,T158,Jimmy Walker,61,"3' 11""",319.91700000000003,81,34
156,T157,T162,Scott Brown,66,"4' 0""",366.417,91,99
157,T157,T153,Rickie Fowler,54,"4' 0""",262.41700000000003,65,47
158,T157,T158,Brice Garnett,63,"4' 0""",213.167,53,196
159,T157,T181,Adam Hadwin,66,"4' 0""",374.917,94,120
160,T157,T169,Whee Kim,57,"4' 0""",196.5,49,164
161,T157,T153,Kyoung-Hoon Lee,72,"4' 0""",308.25,77,149
162,T157,T135,Henrik Stenson,46,"4' 0""",232.583,58,42
163,T157,T153,Chris Stroud,54,"4' 0""",303.66700000000003,76,69
164,T157,T142,Hudson Swafford,59,"4' 0""",294.25,74,186
165,T157,T153,Michael Thompson,56,"4' 0""",362.583,90,22
166,T157,T158,Nick Watney,67,"4' 0""",293.0,74,137
167,T168,T162,John Chin,38,"4' 1""",150.25,37,192
168,T168,T169,Curtis Luck,51,"4' 1""",245.917,60,87
169,T168,T169,Shawn Stefani,57,"4' 1""",237.417,58,82
170,T171,T162,Joel Dahmen,78,"4' 2""",399.25,96,142
171,T171,T162,Billy Horschel,73,"4' 2""",265.08299999999997,63,77
172,T171,T162,Freddie Jacobson,37,"4' 2""",146.167,35,193
173,T171,T162,D.A. Points,33,"4' 2""",120.333,29,131
174,T171,T184,Harold Varner III,62,"4' 2""",421.333,102,100
175,T176,T169,Abraham Ancer,69,"4' 3""",380.833,89,48
176,T176,T169,J.J. Henry,42,"4' 3""",156.583,37,58
177,T176,T169,Beau Hossler,66,"4' 3""",366.75,87,168
178,T176,T169,Sung Kang,67,"4' 3""",396.833,93,50
179,T176,T169,Russell Knox,65,"4' 3""",385.0,90,41
180,T176,T169,Kelly Kraft,67,"4' 3""",367.917,86,179
181,T176,T169,Seth Reeves,52,"4' 3""",239.667,56,191
182,T176,T169,Jhonattan Vegas,60,"4' 3""",291.33299999999997,68,114
183,T176,T29,Johnson Wagner,45,"4' 3""",164.833,39,158
184,T185,T189,Talor Gooch,37,"4' 4""",226.75,52,97
185,T185,T181,Ian Poulter,49,"4' 4""",232.083,54,144
186,T185,T194,Bubba Watson,47,"4' 4""",279.33299999999997,65,21
187,T188,T184,Tyrrell Hatton,46,"4' 5""",193.333,44,209
188,T188,T202,Brooks Koepka,49,"4' 5""",237.167,54,84
189,T188,T184,Kyle Stanley,53,"4' 5""",258.25,58,141
190,T191,T189,Bronson Burgoon,37,"4' 6""",207.583,46,175
191,T191,T189,Jason Day,45,"4' 6""",184.667,41,129
192,T191,T189,Grayson Murray,36,"4' 6""",218.75,49,205
193,T194,T194,Emiliano Grillo,65,"4' 7""",295.41700000000003,64,170
194,T194,T194,Chesson Hadley,58,"4' 7""",295.5,65,145
