,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
102,T100,T104,Joel Dahmen,78,"7' 10""",1226.167,156,142
103,T100,T104,Tyrrell Hatton,46,"7' 10""",572.0830000000001,73,209
104,T100,T104,Max Homa,61,"7' 10""",1072.333,137,86
105,T100,T104,Matt Jones,67,"7' 10""",974.5830000000001,125,38
106,T100,T104,Martin Kaymer,38,"7' 10""",629.5830000000001,80,121
107,T100,T104,Luke List,52,"7' 10""",888.8330000000001,113,181
108,T100,T61,Graeme McDowell,61,"7' 10""",777.4169999999999,99,33
109,T100,T31,Seth Reeves,52,"7' 10""",752.75,96,191
110,T111,T115,Justin Harding,31,"7' 11""",230.5,29,184
111,T111,T115,Billy Horschel,73,"7' 11""",870.25,110,77
112,T111,T115,Beau Hossler,66,"7' 11""",1057.0,134,168
113,T111,T115,Haotong Li,32,"7' 11""",529.0,67,100
114,T111,T129,Denny McCarthy,63,"7' 11""",920.4169999999999,116,10
115,T111,T115,Francesco Molinari,41,"7' 11""",540.0830000000001,68,26
116,T111,T115,"Ted Potter, Jr.",56,"7' 11""",833.3330000000001,105,200
117,T111,T115,Rory Sabbatini,71,"7' 11""",1143.667,144,19
118,T111,T85,Roger Sloan,62,"7' 11""",914.1669999999999,116,166
119,T111,T115,Jordan Spieth,57,"7' 11""",1061.417,134,50
120,T121,T129,Bronson Burgoon,37,"8' 0""",550.0,69,175
121,T121,T138,Brandon Harkins,67,"8' 0""",918.3330000000001,115,199
122,T121,T129,Kramer Hickok,59,"8' 0""",704.3330000000001,88,117
123,T121,T138,Kyle Jones,49,"8' 0""",664.8330000000001,83,122
124,T121,T129,Satoshi Kodaira,51,"8' 0""",661.8330000000001,83,208
125,T121,T94,Hank Lebioda,55,"8' 0""",839.8330000000001,105,173
126,T121,T61,Brady Schnell,38,"8' 0""",530.1669999999999,66,57
127,T121,T129,Adam Scott,41,"8' 0""",591.0830000000001,74,24
128,T121,T85,Hudson Swafford,59,"8' 0""",883.8330000000001,111,186
129,T121,T115,Justin Thomas,49,"8' 0""",696.4169999999999,87,79
130,T121,T104,Chris Thompson,34,"8' 0""",454.667,57,167
131,T132,T138,Kiradech Aphibarnrat,49,"8' 1""",629.6669999999999,78,31
132,T132,T147,Brian Harman,67,"8' 1""",951.1669999999999,118,140
133,T132,T138,Patton Kizzire,58,"8' 1""",926.6669999999999,115,159
134,T132,T138,Kelly Kraft,67,"8' 1""",1146.167,142,179
135,T132,T78,Scott Langley,60,"8' 1""",968.5830000000001,120,100
136,T132,T53,Nate Lashley,44,"8' 1""",605.5,75,40
137,T132,T129,Joaquin Niemann,68,"8' 1""",1005.6669999999999,124,123
138,T132,T138,C.T. Pan,64,"8' 1""",772.5,96,37
139,T132,T168,J.J. Spaun,68,"8' 1""",779.25,96,131
140,T141,T61,Keegan Bradley,65,"8' 2""",815.6669999999999,100,111
141,T141,T138,Matt Every,38,"8' 2""",400.0,49,202
142,T141,T115,Joey Garber,44,"8' 2""",554.75,68,68
143,T141,T147,James Hahn,34,"8' 2""",350.417,43,171
144,T141,T147,Brendan Steele,50,"8' 2""",852.1669999999999,104,194
145,T141,T147,Kevin Streelman,63,"8' 2""",808.25,99,93
146,T141,T115,Nick Taylor,70,"8' 2""",1358.0,166,113
147,T141,T147,Jhonattan Vegas,60,"8' 2""",1066.75,131,114
148,T149,T153,Bryson DeChambeau,45,"8' 3""",796.3330000000001,97,61
149,T149,T183,Harris English,72,"8' 3""",986.3330000000001,120,70
150,T149,T153,Andrew Landry,56,"8' 3""",780.9169999999999,95,119
151,T149,T153,Keith Mitchell,64,"8' 3""",801.1669999999999,97,176
152,T153,T168,Lucas Bjerregaard,37,"8' 4""",534.3330000000001,64,203
153,T153,T159,Tommy Fleetwood,43,"8' 4""",557.8330000000001,67,7
154,T153,T115,Talor Gooch,37,"8' 4""",699.5,84,97
155,T153,T94,Bill Haas,58,"8' 4""",923.5,111,89
156,T153,T159,Sung Kang,67,"8' 4""",1172.25,140,50
157,T153,T129,Sam Saunders,53,"8' 4""",1035.167,124,55
158,T159,T129,Dylan Frittelli,55,"8' 5""",1004.5830000000001,119,34
159,T159,T162,Sergio Garcia,39,"8' 5""",760.25,90,143
160,T159,T168,Whee Kim,57,"8' 5""",634.0830000000001,75,164
161,T159,T168,Trey Mullinax,67,"8' 5""",1172.5,139,100
162,T159,T162,J.T. Poston,76,"8' 5""",1333.25,158,25
163,T159,T138,Ben Silverman,54,"8' 5""",777.5,92,109
164,T159,T162,Matt Wallace,31,"8' 5""",513.0,61,126
165,T166,T168,Rafa Cabrera Bello,57,"8' 6""",756.5830000000001,89,65
166,T166,T177,Zach Johnson,50,"8' 6""",880.5830000000001,104,38
167,T166,T115,Ryan Palmer,56,"8' 6""",757.9169999999999,89,112
168,T166,T162,Seamus Power,58,"8' 6""",867.75,102,105
169,T166,T153,Shawn Stefani,57,"8' 6""",746.0,88,82
