,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
160,T161,T106,Daniel Berger,48,"10' 5""",830.6669999999999,80,127
161,T161,T147,Seth Reeves,52,"10' 5""",696.9169999999999,67,191
162,T161,T161,Jhonattan Vegas,60,"10' 5""",675.25,65,114
163,T164,T166,Ryan Blaum,67,"10' 6""",988.6669999999999,94,108
164,T164,T166,Brooks Koepka,49,"10' 6""",367.417,35,84
165,T164,T158,Kelly Kraft,67,"10' 6""",932.0,89,179
166,T164,T166,Chez Reavie,67,"10' 6""",652.0830000000001,62,100
167,T164,T166,Jordan Spieth,57,"10' 6""",769.3330000000001,73,50
168,T164,T181,Richy Werenski,63,"10' 6""",852.5830000000001,81,118
169,T170,T161,Anders Albertson,48,"10' 7""",584.1669999999999,55,59
170,T170,T173,Satoshi Kodaira,51,"10' 7""",582.1669999999999,55,208
171,T170,T173,Denny McCarthy,63,"10' 7""",741.1669999999999,70,10
172,T170,T177,Carlos Ortiz,60,"10' 7""",770.4169999999999,73,153
173,T170,T173,"Ted Potter, Jr.",56,"10' 7""",1065.333,101,200
174,T170,T179,Aaron Wise,52,"10' 7""",498.75,47,201
175,T176,T161,Brice Garnett,63,"10' 8""",768.3330000000001,72,196
176,T176,T177,Max Homa,61,"10' 8""",1005.3330000000001,94,86
177,T176,T185,Mackenzie Hughes,58,"10' 8""",789.0830000000001,74,54
178,T176,T166,Martin Laird,60,"10' 8""",766.1669999999999,72,116
179,T176,T181,Adam Schenk,80,"10' 8""",882.9169999999999,83,90
180,T181,T185,Harris English,72,"10' 9""",1030.417,96,70
181,T181,T173,Brian Gay,79,"10' 9""",1031.25,96,60
182,T183,T166,Keegan Bradley,65,"10' 10""",683.8330000000001,63,111
183,T183,T181,Tony Finau,61,"10' 10""",874.25,81,64
184,T183,T188,Fabián Gómez,44,"10' 10""",488.25,45,79
185,T183,T190,Alex Prugh,54,"10' 10""",434.917,40,198
186,T183,T181,Adam Scott,41,"10' 10""",475.083,44,24
187,T188,T185,Jason Day,45,"10' 11""",609.9169999999999,56,129
188,T188,T192,Alex Noren,49,"10' 11""",721.1669999999999,66,180
189,T188,T179,Ryan Palmer,56,"10' 11""",641.8330000000001,59,112
190,191,T188,John Chin,38,"11' 0""",428.667,39,192
191,T192,T192,Jim Knous,55,"11' 1""",553.25,50,155
192,T192,T154,Henrik Stenson,46,"11' 1""",488.25,44,42
193,194,T190,Justin Harding,31,"11' 3""",179.417,16,184
194,T195,T192,Abraham Ancer,69,"11' 4""",804.25,71,48
195,T195,T192,Pat Perez,52,"11' 4""",621.0830000000001,55,73
196,T195,999,Martin Piller,30,"11' 4""",306.58299999999997,27,67
197,T198,196,Kiradech Aphibarnrat,49,"11' 5""",721.25,63,31
198,T198,202,Sepp Straka,48,"11' 5""",615.25,54,195
199,200,201,Johnson Wagner,45,"11' 6""",563.5,49,158
200,T201,T197,Lucas Bjerregaard,37,"11' 7""",371.417,32,203
201,T201,T197,Troy Merritt,42,"11' 7""",531.5,46,130
202,203,199,John Huh,35,"11' 8""",515.0,44,78
203,204,200,Andrew Landry,56,"11' 10""",698.5830000000001,59,119
204,205,203,Ryan Moore,54,"12' 8""",823.5830000000001,65,131
205,206,205,Jim Herman,37,"12' 9""",586.6669999999999,46,183
206,T207,204,Cameron Champ,58,"12' 11""",827.3330000000001,64,207
207,T207,T206,Joey Garber,44,"12' 11""",581.5,45,68
208,T207,T206,J.J. Henry,42,"12' 11""",580.1669999999999,45,58
