,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Patrick Cantlay,49,57.14,16,28
1,2,2,John Senden,39,52.63,10,19
2,3,4,Brian Stuard,76,48.15,26,54
3,4,3,Sergio Garcia,39,47.62,10,21
4,5,T7,Wes Roach,45,45.16,14,31
5,6,6,Justin Rose,42,44.19,19,43
6,7,T7,Rod Pampling,40,43.9,18,41
7,T8,5,Dustin Johnson,47,42.86,9,21
8,T8,T7,Patrick Rodgers,44,42.86,18,42
9,10,10,Kevin Na,54,42.5,17,40
10,11,12,Chez Reavie,67,42.11,16,38
11,12,13,Louis Oosthuizen,43,41.94,13,31
12,T13,T14,Ernie Els,43,41.67,15,36
13,T13,T14,Lucas Glover,62,41.67,20,48
14,T13,T14,Ryan Moore,54,41.67,15,36
15,16,17,Sung Kang,67,41.51,22,53
16,17,21,Denny McCarthy,63,41.38,24,58
17,18,18,Billy Horschel,73,40.91,18,44
18,19,19,Adam Scott,41,40.74,11,27
19,T20,T22,Tommy Fleetwood,43,40.0,10,25
20,T20,T22,Justin Harding,31,40.0,6,15
21,T20,T22,D.A. Points,33,40.0,12,30
22,T20,T22,Jhonattan Vegas,60,40.0,14,35
23,T24,T22,Jim Furyk,53,39.39,13,33
24,T24,T22,Matt Kuchar,65,39.39,13,33
25,26,11,David Hearn,41,39.29,11,28
26,27,20,Adam Hadwin,66,38.78,19,49
27,28,29,Patrick Reed,53,38.64,17,44
28,29,T30,Matt Jones,67,38.46,15,39
29,T30,T32,Alex Prugh,54,37.93,11,29
30,T30,T32,Xander Schauffele,55,37.93,11,29
31,32,34,Keegan Bradley,65,37.78,17,45
32,33,28,Roberto Díaz,51,37.14,13,35
33,T34,35,Kiradech Aphibarnrat,49,36.96,17,46
34,T34,36,Dylan Frittelli,55,36.96,17,46
35,T34,T46,Robert Streb,60,36.96,17,46
36,T34,48,Peter Uihlein,65,36.96,17,46
37,T38,T70,Nate Lashley,44,36.36,8,22
38,T38,T30,Ben Silverman,54,36.36,16,44
39,T38,52,Justin Thomas,49,36.36,12,33
40,41,39,John Huh,35,36.0,9,25
41,T42,37,Ryan Armour,66,35.85,19,53
42,T42,40,Charles Howell III,64,35.85,19,53
43,T44,41,Marc Leishman,52,35.71,15,42
44,T44,999,Martin Piller,30,35.71,10,28
45,46,T44,Joaquin Niemann,68,35.19,19,54
46,47,49,Chesson Hadley,58,34.78,16,46
47,48,43,Sam Saunders,53,34.69,17,49
48,49,51,Martin Laird,60,34.43,21,61
49,T50,53,Stewart Cink,33,34.29,12,35
50,T50,42,Ben Crane,41,34.29,12,35
51,T52,T70,Zach Johnson,50,34.09,15,44
52,T52,54,Cameron Smith,55,34.09,15,44
53,54,55,Bud Cauley,61,34.0,17,50
54,T55,50,Jonas Blixt,66,33.33,18,54
55,T55,38,Scott Brown,66,33.33,13,39
56,T55,T56,Tony Finau,61,33.33,14,42
57,T55,T93,Hank Lebioda,55,33.33,11,33
58,T55,T56,Adam Svensson,51,33.33,8,24
59,T55,T56,Matt Wallace,31,33.33,11,33
60,61,62,J.T. Poston,76,32.79,20,61
61,T62,63,Branden Grace,62,32.56,14,43
62,T62,T70,Kramer Hickok,59,32.56,14,43
63,T62,T46,Shawn Stefani,57,32.56,14,43
64,65,T64,Charley Hoffman,58,32.5,13,40
65,T66,T44,Cameron Davis,54,32.43,12,37
66,T66,66,Russell Knox,65,32.43,12,37
67,T66,67,Josh Teater,47,32.43,12,37
68,69,T56,Joey Garber,44,32.14,9,28
69,70,68,Andrew Putnam,57,32.0,16,50
70,71,69,C.T. Pan,64,31.91,15,47
71,72,T70,Pat Perez,52,31.58,12,38
72,T73,T101,Sebastián Muñoz,58,31.43,11,35
73,T73,T89,Bubba Watson,47,31.43,11,35
74,75,77,Rory Sabbatini,71,31.25,15,48
75,76,79,Patton Kizzire,58,30.95,13,42
76,T77,T82,Jason Kokrak,68,30.77,16,52
77,T77,T82,Hunter Mahan,45,30.77,12,39
78,T77,T56,Brady Schnell,38,30.77,8,26
79,T80,T86,Aaron Baddeley,51,30.61,15,49
80,T80,T86,Bronson Burgoon,37,30.61,15,49
81,82,T126,José de Jesús Rodríguez,51,30.56,11,36
82,83,T64,Julián Etulain,55,30.43,14,46
83,T84,80,Trey Mullinax,67,30.36,17,56
84,T84,88,Jordan Spieth,57,30.36,17,56
85,T86,T89,Anirban Lahiri,54,30.0,15,50
86,T86,T70,Curtis Luck,51,30.0,12,40
87,88,92,Andrew Landry,56,29.73,11,37
88,T89,T93,Rafa Cabrera Bello,57,29.63,8,27
89,T89,T82,John Chin,38,29.63,8,27
90,T91,109,Brian Gay,79,29.58,21,71
91,T91,81,Martin Trainer,51,29.58,21,71
92,93,76,Seamus Power,58,29.31,17,58
93,94,T70,Kyle Jones,49,29.27,12,41
94,T95,T98,Alex Cejka,41,29.17,7,24
95,T95,95,Kevin Tway,62,29.17,14,48
96,T97,T101,Bryson DeChambeau,45,29.03,9,31
97,T97,T101,Ian Poulter,49,29.03,9,31
98,T99,T104,Keith Mitchell,64,28.89,13,45
99,T99,T104,Kevin Streelman,63,28.89,13,45
100,101,T89,Bill Haas,58,28.85,15,52
101,T102,T82,Rory McIlroy,50,28.57,8,28
102,T102,100,Richy Werenski,63,28.57,16,56
103,T104,T110,Stephan Jaeger,59,28.3,15,53
104,T104,106,"Ted Potter, Jr.",56,28.3,15,53
105,106,T107,Si Woo Kim,65,28.26,13,46
106,107,78,Jonathan Byrd,43,28.13,9,32
107,T108,T110,Matthew Fitzpatrick,42,28.0,7,25
108,T108,T110,Brendan Steele,50,28.0,14,50
109,T108,T152,Chris Thompson,34,28.0,7,25
110,T111,97,Austin Cook,50,27.91,12,43
111,T111,114,Michael Thompson,56,27.91,12,43
112,T113,115,James Hahn,34,27.78,5,18
113,T113,96,Russell Henley,56,27.78,10,36
114,T115,T140,Brooks Koepka,49,27.59,8,29
115,T115,116,Charl Schwartzel,34,27.59,8,29
116,117,122,Chris Stroud,54,27.45,14,51
117,T118,T118,Haotong Li,32,27.27,9,33
118,T118,T118,Webb Simpson,53,27.27,9,33
119,T118,133,Henrik Stenson,46,27.27,9,33
120,121,T107,Nick Taylor,70,27.08,13,48
121,122,156,Daniel Berger,48,27.03,10,37
122,123,121,Sungjae Im,88,26.98,17,63
123,124,T110,Matt Every,38,26.92,7,26
124,125,117,Chase Wright,53,26.83,11,41
125,126,T177,J.J. Henry,42,26.67,8,30
126,127,T118,Scott Langley,60,26.53,13,49
127,128,T126,Sam Ryder,52,26.47,9,34
128,T129,125,Sangmoon Bae,42,26.32,5,19
129,T129,T128,Adam Long,52,26.32,10,38
130,T129,T134,Seth Reeves,52,26.32,10,38
131,T132,T134,Dominic Bozzelli,53,26.19,11,42
132,T132,131,Rickie Fowler,54,26.19,11,42
133,134,T98,Lucas Bjerregaard,37,25.93,7,27
134,135,T134,Satoshi Kodaira,51,25.71,9,35
135,136,T137,Freddie Jacobson,37,25.64,10,39
136,137,T123,Aaron Wise,52,25.58,11,43
137,138,132,Adam Schenk,80,25.35,18,71
138,T139,T128,Anders Albertson,48,25.0,10,40
139,T139,163,Tom Hoge,70,25.0,15,60
140,T139,T137,Carlos Ortiz,60,25.0,10,40
141,T139,T140,Vaughn Taylor,69,25.0,13,52
142,T143,139,Graeme McDowell,61,24.44,11,45
143,T143,T123,J.J. Spaun,68,24.44,11,45
144,T145,T142,Byeong Hun An,54,24.39,10,41
145,T145,T142,Kyoung-Hoon Lee,72,24.39,10,41
146,T147,T144,Abraham Ancer,69,24.32,9,37
147,T147,T144,Troy Merritt,42,24.32,9,37
148,T147,T144,Scott Piercy,70,24.32,9,37
149,T147,T144,Gary Woodland,63,24.32,9,37
150,151,148,Ryan Blaum,67,24.19,15,62
151,152,T164,Talor Gooch,37,24.14,7,29
152,153,999,Shane Lowry,30,24.0,6,25
153,154,151,Max Homa,61,23.91,11,46
154,T155,T152,Martin Kaymer,38,23.81,10,42
155,T155,T128,Jim Knous,55,23.81,10,42
156,T155,T152,Tiger Woods,31,23.81,5,21
157,158,155,Sam Burns,66,23.61,17,72
158,T159,T149,Danny Lee,66,23.33,14,60
159,T159,T149,Johnson Wagner,45,23.33,7,30
160,161,162,Harold Varner III,62,23.08,12,52
161,162,T164,Mackenzie Hughes,58,22.92,11,48
162,T163,T160,Emiliano Grillo,65,22.86,8,35
163,T163,T160,Francesco Molinari,41,22.86,8,35
164,165,171,Hudson Swafford,59,22.64,12,53
165,166,194,Roberto Castro,54,22.5,9,40
166,167,175,Harris English,72,22.41,13,58
167,T168,T164,Paul Casey,51,22.22,4,18
168,T168,196,J.B. Holmes,54,22.22,6,27
169,T168,202,Whee Kim,57,22.22,8,36
170,T168,T164,Luke List,52,22.22,10,45
171,T168,T164,Hideki Matsuyama,59,22.22,6,27
172,173,T158,Wyndham Clark,61,22.06,15,68
173,174,169,Joel Dahmen,78,22.0,11,50
174,T175,T158,Brice Garnett,63,21.95,9,41
175,T175,170,Beau Hossler,66,21.95,18,82
176,T175,T181,Ryan Palmer,56,21.95,9,41
177,178,157,Danny Willett,47,21.74,10,46
178,179,174,Kelly Kraft,67,21.67,13,60
179,180,176,Brandon Harkins,67,21.21,14,66
180,181,T177,Nick Watney,67,21.15,11,52
181,182,173,Jason Dufner,56,21.05,8,38
182,183,192,Brandt Snedeker,68,20.83,10,48
183,184,184,Ollie Schniederjans,63,20.69,12,58
184,T185,T197,Tyler Duncan,66,20.45,9,44
185,T185,172,Jimmy Walker,61,20.45,9,44
186,187,186,Scott Stallings,63,20.41,10,49
187,T188,T177,Jon Rahm,51,20.0,7,35
188,T188,T177,Kyle Stanley,53,20.0,7,35
189,T190,T181,Tyrrell Hatton,46,19.44,7,36
190,T190,T181,Chris Kirk,47,19.44,7,36
191,192,185,Cameron Champ,58,19.05,8,42
192,T193,T187,Phil Mickelson,41,18.52,5,27
193,T193,999,Tyrone Van Aswegen,30,18.52,5,27
194,T195,189,Peter Malnati,64,18.18,12,66
195,T195,T56,D.J. Trahan,33,18.18,2,11
196,197,190,Michael Kim,51,18.03,11,61
197,198,191,Roger Sloan,62,18.0,9,50
198,199,T187,Sepp Straka,48,17.14,6,35
199,200,195,Kevin Kisner,65,16.67,5,30
200,201,201,Alex Noren,49,16.28,7,43
201,202,193,Jim Herman,37,16.13,5,31
202,T203,T197,Fabián Gómez,44,15.38,4,26
203,T203,T204,Cameron Tringale,52,15.38,6,39
204,205,199,Brian Harman,67,13.46,7,52
205,206,203,Grayson Murray,36,12.82,5,39
206,207,T204,Corey Conners,62,12.12,4,33
207,208,206,Jason Day,45,11.54,3,26
208,209,207,Cody Gribble,52,11.32,6,53
