,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Patrick Cantlay,49,77.78,14,18
1,2,2,Lucas Bjerregaard,37,76.19,16,21
2,3,3,Haotong Li,32,75.0,12,16
3,4,4,Tiger Woods,31,72.73,8,11
4,5,999,Martin Piller,30,70.59,24,34
5,6,5,Jordan Spieth,57,68.97,40,58
6,7,6,Mackenzie Hughes,58,68.75,33,48
7,8,7,Justin Rose,42,68.18,15,22
8,T9,T8,Bronson Burgoon,37,67.86,19,28
9,T9,T8,Marc Leishman,52,67.86,19,28
10,11,10,Russell Henley,56,67.57,25,37
11,12,T11,Ryan Armour,66,67.19,43,64
12,T13,T11,Lucas Glover,62,66.67,44,66
13,T13,T11,Matt Kuchar,65,66.67,32,48
14,15,14,Jim Knous,55,65.52,19,29
15,16,16,Si Woo Kim,65,65.0,26,40
16,T17,17,Chesson Hadley,58,64.81,35,54
17,T17,T24,Jimmy Walker,61,64.81,35,54
18,T19,T19,Francesco Molinari,41,64.0,16,25
19,T19,T19,Jon Rahm,51,64.0,16,25
20,21,21,Ernie Els,43,63.89,23,36
21,22,T22,Rickie Fowler,54,63.83,30,47
22,T23,T24,Abraham Ancer,69,63.27,31,49
23,T23,T22,Peter Uihlein,65,63.27,31,49
24,25,53,Ben Crane,41,63.16,24,38
25,26,27,Rory Sabbatini,71,62.69,42,67
26,T27,T28,Adam Scott,41,62.5,20,32
27,T27,T28,Kyle Stanley,53,62.5,20,32
28,29,26,Adam Svensson,51,62.16,23,37
29,30,15,Julián Etulain,55,61.7,29,47
30,31,30,Matt Wallace,31,61.54,16,26
31,32,18,Matt Every,38,61.29,19,31
32,33,35,Jim Furyk,53,61.22,30,49
33,T34,T31,Justin Harding,31,61.11,11,18
34,T34,T31,Beau Hossler,66,61.11,44,72
35,T34,33,Cameron Tringale,52,61.11,22,36
36,37,T38,Martin Laird,60,60.94,39,64
37,38,999,Tyrone Van Aswegen,30,60.71,17,28
38,T39,34,Kiradech Aphibarnrat,49,60.47,26,43
39,T39,T50,Curtis Luck,51,60.47,26,43
40,41,37,Brian Gay,79,60.42,58,96
41,42,T65,Webb Simpson,53,60.38,32,53
42,43,T38,Chris Stroud,54,60.34,35,58
43,T44,T38,Jason Day,45,60.0,12,20
44,T44,T38,Russell Knox,65,60.0,27,45
45,T44,T38,Hideki Matsuyama,59,60.0,27,45
46,T44,T38,Pat Perez,52,60.0,27,45
47,T44,T75,Wes Roach,45,60.0,21,35
48,49,T44,Danny Willett,47,59.38,19,32
49,50,T47,Matt Jones,67,59.09,39,66
50,51,49,Billy Horschel,73,59.02,36,61
51,52,52,Phil Mickelson,41,58.82,20,34
52,53,T47,Sungjae Im,88,58.57,41,70
53,T54,T56,Rory McIlroy,50,58.33,14,24
54,T54,36,Nick Watney,67,58.33,35,60
55,56,T50,Bubba Watson,47,58.0,29,50
56,T57,T54,Brian Harman,67,57.81,37,64
57,T57,T54,Martin Trainer,51,57.81,37,64
58,59,T56,Jonathan Byrd,43,57.78,26,45
59,60,T56,Martin Kaymer,38,57.14,20,35
