,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,1,Brandt Snedeker,68,"6' 9""",535.25,79,34
1,2,T2,Dustin Johnson,47,"7' 2""",429.083,60,15
2,T3,T4,Ryan Armour,66,"7' 5""",494.583,67,5
3,T3,T6,Charles Howell III,64,"7' 5""",588.0830000000001,79,81
4,5,8,Kramer Hickok,59,"7' 7""",437.833,58,117
5,T6,T2,Matt Every,38,"7' 8""",321.83299999999997,42,202
6,T6,T4,Zach Johnson,50,"7' 8""",458.5,60,38
7,T6,T10,Patrick Reed,53,"7' 8""",610.0,80,96
8,T9,T10,Dylan Frittelli,55,"7' 9""",593.8330000000001,77,34
9,T9,T6,Jim Furyk,53,"7' 9""",433.167,56,8
10,T11,T12,Beau Hossler,66,"7' 10""",779.0,99,168
11,T11,T12,Kevin Na,54,"7' 10""",525.0830000000001,67,136
12,T11,T12,Cameron Smith,55,"7' 10""",354.25,45,90
13,T11,9,Jimmy Walker,61,"7' 10""",551.0,70,34
14,T15,T15,Lucas Glover,62,"7' 11""",675.0,85,3
15,T15,T15,Louis Oosthuizen,43,"7' 11""",299.41700000000003,38,62
16,T15,T15,Charl Schwartzel,34,"7' 11""",206.833,26,84
17,T18,T15,Julián Etulain,55,"8' 0""",473.333,59,56
18,T18,T20,Hideki Matsuyama,59,"8' 0""",533.5,67,11
19,T18,T20,Troy Merritt,42,"8' 0""",390.25,49,130
20,T18,T20,Justin Rose,42,"8' 0""",342.417,43,30
21,T18,T20,Rory Sabbatini,71,"8' 0""",787.9169999999999,99,19
22,T18,T20,Xander Schauffele,55,"8' 0""",393.917,49,45
23,T18,T29,Justin Thomas,49,"8' 0""",431.667,54,79
24,T18,T29,Peter Uihlein,65,"8' 0""",566.0830000000001,71,139
25,T18,T20,Matt Wallace,31,"8' 0""",264.66700000000003,33,126
26,T27,T29,Byeong Hun An,54,"8' 1""",540.9169999999999,67,189
27,T27,T29,Jason Kokrak,68,"8' 1""",639.0830000000001,79,75
28,T27,T29,Ian Poulter,49,"8' 1""",389.583,48,144
29,T30,T35,Bryson DeChambeau,45,"8' 2""",532.4169999999999,65,61
30,T30,T44,Stephan Jaeger,59,"8' 2""",553.4169999999999,68,29
31,T30,T35,Francesco Molinari,41,"8' 2""",352.667,43,26
32,T30,T20,Nick Watney,67,"8' 2""",619.3330000000001,76,137
