,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Aaron Baddeley,51,0.205,112,23.0
1,2,3,Matt Wallace,31,0.218,55,12.0
2,3,2,Dustin Johnson,47,0.221,68,15.0
3,4,5,Pat Perez,52,0.22399999999999998,85,19.0
4,5,6,Kevin Tway,62,0.228,114,26.0
5,6,19,Jonathan Byrd,43,0.22899999999999998,83,19.0
6,7,4,Bud Cauley,61,0.233,163,38.0
7,8,11,Harris English,72,0.23800000000000002,164,39.0
8,9,8,Stephan Jaeger,59,0.242,120,29.0
9,T10,10,Brooks Koepka,49,0.24600000000000002,65,16.0
10,T10,18,Graeme McDowell,61,0.24600000000000002,126,31.0
11,T12,12,Francesco Molinari,41,0.261,69,18.0
12,T12,999,Tyrone Van Aswegen,30,0.261,46,12.0
13,14,13,Andrew Putnam,57,0.262,84,22.0
14,T15,14,Rickie Fowler,54,0.264,125,33.0
15,T15,9,Scott Piercy,70,0.264,125,33.0
16,T15,T20,Seamus Power,58,0.264,129,34.0
17,T15,15,Brandt Snedeker,68,0.264,148,39.0
18,T19,T20,Roberto Castro,54,0.267,116,31.0
19,T19,16,Billy Horschel,73,0.267,120,32.0
20,21,17,Stewart Cink,33,0.26899999999999996,52,14.0
21,22,7,Jim Furyk,53,0.27,89,24.0
22,23,26,Brian Gay,79,0.273,150,41.0
23,24,23,Jordan Spieth,57,0.282,124,35.0
24,25,999,Shane Lowry,30,0.28300000000000003,60,17.0
25,26,T24,Tommy Fleetwood,43,0.284,74,21.0
26,27,T27,Charles Howell III,64,0.287,94,27.0
27,28,29,Beau Hossler,66,0.28800000000000003,125,36.0
28,T29,T30,Hideki Matsuyama,59,0.29,107,31.0
29,T29,T30,Rory Sabbatini,71,0.29,145,42.0
30,T31,32,Ernie Els,43,0.29100000000000004,79,23.0
31,T31,T57,Nate Lashley,44,0.29100000000000004,79,23.0
32,T33,T24,Sangmoon Bae,42,0.293,82,24.0
33,T33,34,Marc Leishman,52,0.293,92,27.0
34,T35,T27,Peter Malnati,64,0.295,176,52.0
35,T35,35,Cameron Smith,55,0.295,95,28.0
36,T35,40,Robert Streb,60,0.295,139,41.0
37,38,36,Justin Thomas,49,0.297,64,19.0
38,T39,39,Webb Simpson,53,0.298,121,36.0
39,T39,33,Henrik Stenson,46,0.298,84,25.0
40,41,T37,Charl Schwartzel,34,0.3,40,12.0
41,42,T42,Jimmy Walker,61,0.301,136,41.0
42,43,41,Xander Schauffele,55,0.305,82,25.0
43,T44,T50,Dylan Frittelli,55,0.306,108,33.0
44,T44,T42,Lucas Glover,62,0.306,124,38.0
45,T44,T42,Martin Kaymer,38,0.306,111,34.0
46,T47,T46,C.T. Pan,64,0.308,133,41.0
47,T47,T46,Brian Stuard,76,0.308,146,45.0
48,T47,T37,Bubba Watson,47,0.308,78,24.0
49,50,T66,Danny Lee,66,0.31,155,48.0
50,51,48,Si Woo Kim,65,0.311,132,41.0
51,52,T50,Bryson DeChambeau,45,0.316,117,37.0
52,T53,56,Brian Harman,67,0.318,148,47.0
53,T53,T52,Chris Kirk,47,0.318,107,34.0
54,T53,T52,Haotong Li,32,0.318,44,14.0
55,T53,T60,Harold Varner III,62,0.318,132,42.0
56,57,T42,Wes Roach,45,0.32,75,24.0
57,T58,T69,Wyndham Clark,61,0.321,134,43.0
58,T58,71,Fabián Gómez,44,0.321,81,26.0
59,T58,49,Bill Haas,58,0.321,134,43.0
60,T61,T57,Rafa Cabrera Bello,57,0.324,111,36.0
61,T61,T57,J.J. Henry,42,0.324,74,24.0
62,T61,T54,Denny McCarthy,63,0.324,142,46.0
63,T64,T60,Russell Knox,65,0.325,114,37.0
64,T64,T60,Kevin Na,54,0.325,77,25.0
65,T64,T60,Sam Ryder,52,0.325,114,37.0
66,67,T66,Michael Thompson,56,0.326,132,43.0
67,68,68,Vaughn Taylor,69,0.327,168,55.0
68,69,T69,Adam Scott,41,0.32799999999999996,64,21.0
69,70,T54,Dominic Bozzelli,53,0.33,94,31.0
70,T71,T60,Sungjae Im,88,0.331,169,56.0
71,T71,T73,Ryan Moore,54,0.331,124,41.0
72,T71,T84,J.J. Spaun,68,0.331,121,40.0
73,T71,T73,Kevin Streelman,63,0.331,148,49.0
74,T75,T75,Patrick Cantlay,49,0.33299999999999996,84,28.0
