,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
181,T177,T177,Jhonattan Vegas,60,0.6,55,33.0
182,T183,175,Alex Prugh,54,0.605,38,23.0
183,T183,182,Cameron Smith,55,0.605,38,23.0
184,T185,T183,Paul Casey,51,0.606,33,20.0
185,T185,T183,Tyrrell Hatton,46,0.606,33,20.0
186,187,T196,Jim Herman,37,0.607,28,17.0
187,188,T164,Brooks Koepka,49,0.609,23,14.0
188,189,186,Freddie Jacobson,37,0.615,39,24.0
189,190,T187,Jason Dufner,56,0.619,42,26.0
190,191,185,Ben Silverman,54,0.623,53,33.0
191,192,T189,Ian Poulter,49,0.625,32,20.0
192,193,194,Adam Hadwin,66,0.632,38,24.0
193,194,193,Sergio Garcia,39,0.634,41,26.0
194,T195,192,Cody Gribble,52,0.644,59,38.0
195,T195,T187,Kramer Hickok,59,0.644,45,29.0
196,197,T196,Johnson Wagner,45,0.65,40,26.0
197,198,191,Brice Garnett,63,0.662,68,45.0
198,199,T196,Gary Woodland,63,0.667,39,26.0
199,200,195,Harold Varner III,62,0.672,64,43.0
200,201,T196,Kevin Tway,62,0.68,50,34.0
201,202,200,Robert Streb,60,0.69,42,29.0
202,T203,T201,David Hearn,41,0.6920000000000001,26,18.0
203,T203,T201,Whee Kim,57,0.6920000000000001,39,27.0
204,205,203,Tyler Duncan,66,0.706,51,36.0
205,206,204,Justin Thomas,49,0.727,33,24.0
206,207,205,Brendan Steele,50,0.742,31,23.0
207,208,206,John Senden,39,0.75,32,24.0
208,209,207,"Ted Potter, Jr.",56,0.7559999999999999,45,34.0
