,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
179,T177,181,Tom Hoge,70,8.0,53,666,+0.283
180,T177,T167,John Huh,35,8.0,30,373,+0.233
181,T177,T167,Xander Schauffele,55,8.0,39,489,+0.128
182,T183,T177,Max Homa,61,8.1,54,667,+0.093
183,T183,T177,Martin Kaymer,38,8.1,38,471,+0.316
184,T183,T190,Nate Lashley,44,8.1,35,431,+0.114
185,T183,T182,Sam Saunders,53,8.1,51,633,+0.373
186,T183,T177,Adam Scott,41,8.1,27,334,+0.074
187,188,T195,Jimmy Walker,61,8.2,52,632,+0.212
188,T189,T182,Chesson Hadley,58,8.3,48,578,+0.125
189,T189,T182,J.T. Poston,76,8.3,74,890,+0.230
190,T191,T187,D.A. Points,33,8.4,22,263,+0.182
191,T191,999,Tyrone Van Aswegen,30,8.4,22,263,+0.364
192,193,189,Jon Rahm,51,8.5,39,460,+0.128
193,T194,T190,Dominic Bozzelli,53,8.6,39,455,+0.385
194,T194,T190,John Chin,38,8.6,26,304,+0.115
195,T194,198,Roger Sloan,62,8.6,57,664,+0.351
196,T197,194,Adam Long,52,8.8,54,612,+0.222
197,T197,T190,Chris Stroud,54,8.8,48,544,+0.271
198,T199,T199,Matt Every,38,8.9,31,348,+0.484
199,T199,T195,Beau Hossler,66,8.9,63,704,+0.063
200,T199,197,Ollie Schniederjans,63,8.9,57,643,-0.070
201,202,T199,J.B. Holmes,54,9.0,35,388,+0.286
202,T203,T199,Billy Horschel,73,9.4,59,631,+0.153
203,T203,T199,Cameron Smith,55,9.4,43,457,E
204,205,203,Anirban Lahiri,54,9.8,54,550,+0.296
205,206,204,Patrick Reed,53,10.0,51,512,-0.039
206,207,205,Stewart Cink,33,10.4,30,289,+0.200
207,T208,T206,Justin Rose,42,11.4,46,404,+0.022
208,T208,T206,Charl Schwartzel,34,11.4,23,202,+0.130
