,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
193,194,193,Matthew Fitzpatrick,42,7.95,357.88,45,,12.23
194,195,T180,Chris Thompson,34,7.88,275.75,35,,11.09
195,196,194,Freddie Jacobson,37,7.87,267.55,34,,12.52
196,197,T195,John Senden,39,7.78,256.83,33,,13.89
197,198,197,Kevin Na,54,7.75,271.39,35,,11.92
198,199,199,Joaquin Niemann,68,7.65,573.46,75,,14.01
199,200,999,Shane Lowry,30,7.55,158.55,21,,11.66
200,T201,200,Ollie Schniederjans,63,7.49,426.9,57,,13.83
201,T201,198,Kevin Tway,62,7.49,396.82,53,,11.17
202,203,204,Robert Streb,60,7.4,391.95,53,,10.47
203,204,201,Adam Scott,41,7.39,162.57,22,,10.23
204,205,203,Aaron Baddeley,51,7.31,387.32,53,,11.0
205,206,202,Rod Pampling,40,7.2,381.49,53,,12.04
206,207,205,Adam Schenk,80,6.94,562.35,81,,11.97
207,208,206,Cameron Champ,58,6.86,274.5,40,,10.77
208,209,207,Peter Uihlein,65,6.52,417.4,64,,11.37
