,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
97,98,94,Jordan Spieth,57,"99' 8""","4882' 2""",49,,"72' 3"""
98,99,120,Alex Cejka,41,"99' 6""",2089',21,,"48' 2"""
99,T100,T80,Whee Kim,57,"99' 4""","4171' 6""",42,,"45' 2"""
100,T100,95,Jhonattan Vegas,60,"99' 4""",4767',48,,"51' 1"""
101,102,T97,Martin Kaymer,38,"98' 11""",5639',57,,"56' 8"""
102,103,T145,Justin Thomas,49,"98' 9""","4146' 3""",42,,"61' 9"""
103,104,99,Kiradech Aphibarnrat,49,"98' 8""","3355' 8""",34,,"64' 3"""
104,T105,100,Kevin Kisner,65,"98' 7""","4535' 4""",46,,"64' 1"""
105,T105,118,Henrik Stenson,46,"98' 7""",1872',19,,"61' 9"""
106,T105,96,Chris Stroud,54,"98' 7""","6309' 4""",64,,"64' 7"""
107,108,101,Haotong Li,32,"98' 5""","1870' 4""",19,,"72' 0"""
108,109,122,D.J. Trahan,33,"98' 4""",3934',40,,"67' 9"""
109,110,T102,Cameron Champ,58,"98' 3""","3928' 9""",40,,"47' 1"""
110,111,T115,Martin Trainer,51,"98' 2""",6480',66,,"57' 3"""
111,T112,104,Marc Leishman,52,"98' 1""","3433' 7""",35,,"58' 11"""
112,T112,T113,Scott Stallings,63,"98' 1""","6670' 7""",68,,"37' 3"""
113,T114,T97,Brandon Harkins,67,"98' 0""",8032',82,,"67' 7"""
114,T114,105,John Huh,35,"98' 0""","1372' 6""",14,,"85' 3"""
115,T114,151,Jim Knous,55,"98' 0""","5783' 2""",59,,"66' 11"""
116,117,106,Kevin Streelman,63,"97' 10""",5871',60,,"73' 11"""
117,T118,T107,Ryan Blaum,67,"97' 9""","6649' 5""",68,,"73' 2"""
118,T118,126,Kyle Jones,49,"97' 9""","5963' 5""",61,,"78' 3"""
119,T120,T109,Max Homa,61,"97' 8""","5567' 0""",57,,"59' 4"""
120,T120,T109,Patrick Rodgers,44,"97' 8""",3711',38,,"63' 8"""
121,122,T102,Tyler Duncan,66,"97' 6""",7504',77,,"66' 1"""
122,123,T111,Chris Thompson,34,"97' 5""","3410' 2""",35,,"70' 8"""
123,T124,T115,Tom Hoge,70,"97' 4""","8270' 9""",85,,"67' 7"""
124,T124,117,Cameron Smith,55,"97' 4""","2237' 9""",23,,"72' 11"""
125,T126,138,Jonas Blixt,66,"97' 3""","8753' 6""",90,,"57' 9"""
126,T126,T128,Hank Lebioda,55,"97' 3""","4571' 7""",47,,"70' 3"""
127,T126,135,Sebastián Muñoz,58,"97' 3""",6128',63,,"63' 1"""
128,129,119,Emiliano Grillo,65,"97' 2""","5344' 4""",55,,"67' 4"""
129,T130,134,Scott Brown,66,"96' 11""","8819' 9""",91,,"60' 11"""
130,T130,132,Peter Malnati,64,"96' 11""","8628' 0""",89,,"63' 5"""
131,132,123,Rafa Cabrera Bello,57,"96' 9""","3870' 0""",40,,"70' 2"""
132,T133,T145,Brian Harman,67,"96' 8""","3674' 1""",38,,"73' 4"""
133,T133,121,J.J. Henry,42,"96' 8""","4930' 9""",51,,"77' 11"""
134,T135,T124,Si Woo Kim,65,"96' 7""",5021',52,,"61' 11"""
135,T135,158,Jimmy Walker,61,"96' 7""","6568' 7""",68,,"59' 5"""
136,137,T128,Michael Thompson,56,"96' 2""","5675' 7""",59,,"67' 8"""
137,138,131,Nate Lashley,44,"95' 11""","5180' 9""",54,,"63' 3"""
138,T139,133,C.T. Pan,64,"95' 10""","4215' 2""",44,,"46' 2"""
139,T139,T128,Nick Taylor,70,"95' 10""","7477' 1""",78,,"65' 4"""
140,141,T111,Daniel Berger,48,"95' 9""","6987' 2""",73,,"55' 0"""
141,T142,136,J.T. Poston,76,"95' 7""",8700',91,,"48' 7"""
142,T142,141,Shawn Stefani,57,"95' 7""","3726' 3""",39,,"66' 4"""
143,144,154,Adam Hadwin,66,"95' 5""","4579' 7""",48,,"61' 1"""
144,T145,137,Anirban Lahiri,54,"95' 3""","4858' 2""",51,,"66' 11"""
145,T145,139,Nick Watney,67,"95' 3""","5808' 2""",61,,"51' 7"""
146,T147,164,Brady Schnell,38,"95' 2""","2759' 6""",29,,"72' 9"""
147,T147,999,Tyrone Van Aswegen,30,"95' 2""","3236' 2""",34,,"66' 6"""
148,149,140,Chez Reavie,67,"94' 7""","4444' 2""",47,,"66' 5"""
149,150,143,Louis Oosthuizen,43,"93' 10""","1501' 5""",16,,"73' 2"""
150,151,144,Jason Dufner,56,"93' 6""","4394' 3""",47,,"52' 7"""
151,152,142,Zach Johnson,50,"93' 3""","4942' 7""",53,,"58' 2"""
152,153,147,Matt Jones,67,"93' 2""",4842',52,,"65' 5"""
153,154,148,Charl Schwartzel,34,"92' 11""","2043' 4""",22,,"70' 9"""
154,T155,161,Ben Crane,41,"92' 8""","4355' 6""",47,,"73' 7"""
155,T155,149,Kelly Kraft,67,"92' 8""","5561' 2""",60,,"59' 8"""
156,157,150,Adam Scott,41,"92' 6""","2034' 7""",22,,"63' 2"""
157,158,T159,Matt Kuchar,65,"92' 4""","5722' 3""",62,,"67' 10"""
158,159,153,Rory Sabbatini,71,"91' 11""","8364' 5""",91,,"59' 7"""
159,T160,152,Roberto Castro,54,"91' 8""","5777' 1""",63,,"61' 9"""
160,T160,165,Kevin Tway,62,"91' 8""",4856',53,,"42' 6"""
161,T162,156,Ernie Els,43,"91' 6""",2745',30,,"58' 10"""
162,T162,155,Ben Silverman,54,"91' 6""","8233' 6""",90,,"65' 4"""
163,T162,180,Peter Uihlein,65,"91' 6""","5945' 0""",65,,"56' 1"""
164,165,166,Seth Reeves,52,"91' 4""","3104' 1""",34,,"38' 4"""
165,166,T159,John Senden,39,"91' 2""","3009' 4""",33,,"62' 6"""
166,167,167,Sungjae Im,88,"91' 1""","18' 4""",110,,"48' 0"""
167,T168,T162,Paul Casey,51,"91' 0""","2912' 6""",32,,"69' 6"""
168,T168,T162,Branden Grace,62,"91' 0""","4275' 2""",47,,"48' 7"""
169,170,179,Brice Garnett,63,"90' 2""","5680' 9""",63,,"56' 9"""
170,171,168,Andrew Putnam,57,"90' 0""","3331' 0""",37,,"50' 5"""
171,172,T169,Russell Knox,65,"89' 11""","6114' 6""",68,,"49' 10"""
172,173,171,Curtis Luck,51,"89' 9""","4399' 6""",49,,"53' 1"""
173,174,T172,Chris Kirk,47,"89' 8""","3408' 3""",38,,"58' 9"""
174,175,174,Lucas Glover,62,"89' 6""","5012' 3""",56,,"56' 9"""
175,176,175,Abraham Ancer,69,"89' 4""",6161',69,,"39' 5"""
176,177,T169,Seamus Power,58,"89' 3""","6423' 7""",72,,"54' 4"""
177,178,176,Sam Ryder,52,"88' 10""","4797' 5""",54,,"65' 3"""
178,179,177,Charles Howell III,64,"88' 9""","3018' 0""",34,,"50' 8"""
179,180,178,Stewart Cink,33,"88' 8""","2837' 8""",32,,"59' 9"""
180,181,T172,Johnson Wagner,45,"88' 7""","3013' 2""",34,,"59' 11"""
181,182,191,John Chin,38,"88' 4""",1677',19,,"53' 7"""
182,183,188,Fabián Gómez,44,"87' 6""","5600' 1""",64,,"52' 2"""
183,184,181,Kevin Na,54,"87' 4""",3056',35,,"55' 10"""
184,185,999,Shane Lowry,30,"87' 3""","1833' 1""",21,,"47' 10"""
185,T186,T182,Justin Harding,31,"87' 2""","1831' 0""",21,,"58' 4"""
186,T186,T182,D.A. Points,33,"87' 2""","1220' 9""",14,,"62' 5"""
187,T188,T184,Aaron Baddeley,51,"87' 1""","4616' 6""",53,,"58' 0"""
188,T188,T184,Kyoung-Hoon Lee,72,"87' 1""","7578' 6""",87,,"57' 5"""
189,190,186,Patrick Reed,53,"86' 6""","3718' 3""",43,,"55' 2"""
190,191,187,"Ted Potter, Jr.",56,"86' 1""","5425' 5""",63,,"55' 10"""
191,192,194,Adam Svensson,51,"85' 8""",4026',47,,"61' 1"""
192,193,T189,Joaquin Niemann,68,"85' 7""","6418' 6""",75,,"27' 5"""
193,194,T189,Satoshi Kodaira,51,"85' 6""","2051' 3""",24,,"50' 2"""
194,195,193,Matthew Fitzpatrick,42,"84' 8""","3808' 7""",45,,"60' 0"""
195,196,192,Anders Albertson,48,"84' 4""","4301' 3""",51,,"47' 10"""
196,197,197,Robert Streb,60,"84' 2""","4461' 8""",53,,"52' 8"""
197,198,196,José de Jesús Rodríguez,51,"83' 6""","4845' 1""",58,,"54' 10"""
198,199,195,Kyle Stanley,53,"83' 1""",3986',48,,"45' 8"""
199,200,199,Jim Herman,37,"82' 5""",3050',37,,"56' 2"""
200,201,198,Roberto Díaz,51,"81' 0""","4456' 2""",55,,"40' 1"""
201,202,201,Jim Furyk,53,"79' 10""","5586' 9""",70,,"49' 10"""
202,203,200,Ian Poulter,49,"78' 4""","3212' 4""",41,,"58' 8"""
203,204,203,Russell Henley,56,"77' 4""","4641' 6""",60,,"53' 10"""
204,205,202,Rod Pampling,40,"76' 7""","4136' 3""",54,,"44' 5"""
205,206,204,Freddie Jacobson,37,"75' 7""","2571' 0""",34,,"47' 8"""
206,T207,206,Ryan Armour,66,"75' 4""","3540' 5""",47,,"41' 8"""
207,T207,205,Ryan Moore,54,"75' 4""","4971' 6""",66,,"2' 4"""
208,209,207,Scott Langley,60,"73' 11""","4432' 9""",60,,"41' 4"""
