,Driving_Pct._300-320_All_Drives_RANK THIS WEEK,Driving_Pct._300-320_All_Drives_RANK LAST WEEK,Driving_Pct._300-320_All_Drives_PLAYER NAME,Driving_Pct._300-320_All_Drives_ROUNDS,Driving_Pct._300-320_All_Drives_%,Driving_Pct._300-320_All_Drives_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300-320_All_Drives_RELATIVE TO PAR
0,1,1,Luke List,52,33.89,204,602,-0.172
1,2,2,Keith Mitchell,64,32.75,188,574,-0.133
2,3,3,Jason Kokrak,68,30.89,228,738,-0.096
3,4,4,Grayson Murray,36,30.66,111,362,-0.009
4,5,9,J.B. Holmes,54,30.61,120,392,-0.033
5,6,6,Wyndham Clark,61,30.58,200,654,-0.195
6,7,5,Phil Mickelson,41,30.48,128,420,+0.008
7,8,8,Trey Mullinax,67,29.67,219,738,-0.155
8,9,10,Patrick Cantlay,49,29.65,137,462,-0.168
9,10,12,Martin Trainer,51,29.57,165,558,-0.073
10,11,7,Rory McIlroy,50,29.5,154,522,-0.169
11,12,11,Ollie Schniederjans,63,29.12,191,656,-0.073
12,13,18,Ryan Palmer,56,28.94,158,546,-0.146
13,14,13,Tony Finau,61,28.92,166,574,-0.133
14,15,14,Rickie Fowler,54,28.89,182,630,-0.203
15,16,15,Adam Scott,41,28.87,97,336,-0.227
16,17,16,Jhonattan Vegas,60,28.57,188,658,-0.160
17,18,17,Byeong Hun An,54,28.21,154,546,-0.143
18,19,19,Joaquin Niemann,68,27.76,201,724,-0.104
19,20,33,Jim Knous,55,27.71,143,516,-0.119
20,21,29,Alex Prugh,54,27.69,139,502,-0.094
21,22,20,Sam Burns,66,27.66,208,752,-0.144
22,23,27,Peter Uihlein,65,27.42,164,598,-0.134
23,24,24,Cameron Davis,54,27.33,141,516,-0.135
24,25,23,Gary Woodland,63,27.32,165,604,-0.085
25,26,21,Seth Reeves,52,27.29,137,502,-0.058
26,27,25,Hideki Matsuyama,59,27.24,164,602,-0.201
27,28,26,Tommy Fleetwood,43,27.2,99,364,-0.192
28,29,28,Adam Schenk,80,27.09,227,838,-0.141
29,T30,T36,Alex Noren,49,27.06,125,462,-0.088
30,T30,22,Kevin Tway,62,27.06,171,632,-0.129
31,T32,30,Sergio Garcia,39,26.8,104,388,-0.212
32,T32,32,Sepp Straka,48,26.8,119,444,-0.101
33,34,31,Jon Rahm,51,26.62,123,462,-0.228
34,35,34,Brendan Steele,50,26.16,135,516,-0.067
35,36,35,Beau Hossler,66,25.98,185,712,-0.076
36,37,45,Brandon Harkins,67,25.95,177,682,-0.158
37,38,44,Brooks Koepka,49,25.94,110,424,-0.245
38,39,T36,Justin Rose,42,25.86,105,406,-0.133
39,40,51,Carlos Ortiz,60,25.67,172,670,-0.087
40,41,59,Lucas Bjerregaard,37,25.65,79,308,-0.089
41,42,39,Chesson Hadley,58,25.51,149,584,-0.134
42,43,40,Cody Gribble,52,25.45,142,558,-0.085
43,T44,38,Nick Watney,67,25.37,173,682,-0.116
44,T44,55,Aaron Wise,52,25.37,136,536,-0.162
45,46,41,Sung Kang,67,25.2,186,738,-0.145
46,47,43,Sebastián Muñoz,58,24.91,139,558,-0.173
47,48,42,Harold Varner III,62,24.86,180,724,-0.094
48,49,46,Xander Schauffele,55,24.7,122,494,-0.033
49,T50,47,Charley Hoffman,58,24.69,120,486,-0.092
50,T50,49,Jimmy Walker,61,24.69,159,644,-0.101
51,52,48,Matt Wallace,31,24.68,76,308,-0.105
52,53,50,Scott Stallings,63,24.63,168,682,-0.161
53,54,53,Patrick Rodgers,44,24.53,130,530,-0.208
54,55,54,Jason Day,45,24.43,86,352,-0.140
55,56,60,Corey Conners,62,24.42,147,602,-0.150
56,57,56,Haotong Li,32,24.29,68,280,-0.088
57,58,52,Bubba Watson,47,24.21,122,504,-0.131
58,59,67,D.J. Trahan,33,24.06,64,266,-0.234
59,60,57,Max Homa,61,23.73,159,670,-0.094
60,61,58,Charles Howell III,64,23.6,143,606,-0.140
61,62,65,Harris English,72,23.51,190,808,-0.263
62,63,62,Hunter Mahan,45,23.48,108,460,-0.185
63,64,64,Keegan Bradley,65,23.42,148,632,-0.142
64,65,63,Danny Lee,66,23.37,179,766,-0.067
65,66,83,Dustin Johnson,47,23.32,111,476,-0.270
66,67,79,Matt Every,38,23.14,81,350,-0.099
67,68,61,Martin Laird,60,23.03,158,686,-0.215
68,69,66,Chase Wright,53,22.98,125,544,-0.176
69,70,82,Justin Thomas,49,22.92,110,480,-0.318
70,71,84,Mackenzie Hughes,58,22.71,139,612,-0.173
71,72,999,Shane Lowry,30,22.45,66,294,-0.061
72,73,69,Si Woo Kim,65,22.16,121,546,-0.182
73,74,68,Daniel Berger,48,22.13,127,574,-0.134
74,75,71,Paul Casey,51,22.12,96,434,-0.083
75,76,81,Sam Saunders,53,22.03,141,640,-0.078
76,77,72,Adam Long,52,21.92,135,616,-0.067
77,78,T96,Danny Willett,47,21.78,115,528,-0.191
78,79,70,John Chin,38,21.75,67,308,-0.209
79,80,73,Branden Grace,62,21.72,106,488,-0.123
80,81,74,Joel Dahmen,78,21.67,169,780,-0.059
81,82,75,Bryson DeChambeau,45,21.64,116,536,-0.207
82,83,77,Sungjae Im,88,21.62,205,948,-0.249
83,T84,88,Dylan Frittelli,55,21.57,132,612,-0.167
84,T84,76,Matt Jones,67,21.57,135,626,-0.289
85,86,78,Cameron Champ,58,21.45,145,676,-0.110
86,87,80,Kevin Streelman,63,21.35,158,740,-0.215
87,88,85,Hudson Swafford,59,21.19,139,656,-0.317
88,T89,91,Anders Albertson,48,21.01,100,476,-0.210
89,T89,86,James Hahn,34,21.01,50,238,-0.300
90,91,87,Bud Cauley,61,20.95,155,740,-0.239
91,92,103,Josh Teater,47,20.74,90,434,-0.211
92,93,114,Hank Lebioda,55,20.66,112,542,-0.188
93,94,89,Marc Leishman,52,20.65,102,494,-0.118
