,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Cameron Champ,58,58.25,48611.9,83461
1,2,2,Bubba Watson,47,56.69,36729.0,64794
2,3,3,Rory McIlroy,50,56.63,38002.4,67102
3,4,4,Luke List,52,56.2,43866.2,78060
4,T5,T5,Keith Mitchell,64,55.81,38809.8,69535
5,T5,7,Ollie Schniederjans,63,55.81,46129.1,82661
6,7,T5,Seth Reeves,52,55.78,35804.5,64191
7,8,8,Grayson Murray,36,55.51,27391.3,49342
8,T9,13,Dustin Johnson,47,55.48,33460.5,60314
9,T9,9,Gary Woodland,63,55.48,41929.4,75576
10,11,10,Jhonattan Vegas,60,55.43,47946.0,86491
11,12,T11,Trey Mullinax,67,55.28,50276.8,90947
12,13,T14,Kevin Tway,62,55.25,42324.0,76609
13,14,T14,Brooks Koepka,49,55.24,27205.4,49248
14,15,19,J.B. Holmes,54,55.19,29298.6,53085
15,16,T16,Justin Thomas,49,55.16,30567.8,55421
16,17,T11,Sam Burns,66,55.15,52842.2,95807
17,18,T16,Wyndham Clark,61,55.1,46565.0,84508
18,19,18,Patrick Rodgers,44,55.04,37899.9,68864
19,T20,23,Cameron Davis,54,55.0,37098.3,67449
20,T20,T21,Aaron Wise,52,55.0,37689.5,68532
21,22,20,Byeong Hun An,54,54.98,38062.0,69233
22,23,T21,Phil Mickelson,41,54.94,30701.9,55885
23,24,24,Martin Trainer,51,54.91,41308.0,75231
24,25,25,Bryson DeChambeau,45,54.71,37011.0,67644
25,26,26,Patrick Cantlay,49,54.67,33005.6,60374
26,27,27,Tony Finau,61,54.64,40245.6,73657
27,28,28,Tommy Fleetwood,43,54.6,25448.0,46604
28,T29,T29,Hideki Matsuyama,59,54.59,41453.3,75937
29,T29,T29,Xander Schauffele,55,54.59,34255.2,62755
30,31,31,Jason Day,45,54.58,26811.2,49122
31,32,32,Jason Kokrak,68,54.56,53689.8,98414
32,33,33,Brandon Harkins,67,54.54,47590.7,87251
33,34,34,Harris English,72,54.41,55284.2,101612
34,35,T38,Ryan Palmer,56,54.37,34179.5,62868
35,36,36,Harold Varner III,62,54.33,49923.6,91893
36,T37,41,Lucas Bjerregaard,37,54.31,19093.6,35155
37,T37,35,Matt Wallace,31,54.31,19980.3,36791
38,39,37,Justin Rose,42,54.23,29072.7,53607
39,40,T38,Jon Rahm,51,54.22,34405.0,63456
40,41,43,Jimmy Walker,61,54.2,40601.5,74917
41,42,40,Brendan Steele,50,54.18,39587.6,73061
42,43,52,D.J. Trahan,33,54.16,18718.2,34561
43,44,T44,Nick Watney,67,54.12,46839.3,86546
44,45,46,Alex Prugh,54,54.1,34927.3,64565
45,46,42,Rickie Fowler,54,54.05,43853.5,81138
46,T47,49,Adam Schenk,80,54.02,58619.7,108515
47,T47,T44,Adam Scott,41,54.02,22626.9,41887
48,49,999,Shane Lowry,30,53.99,17994.6,33328
49,50,47,Marc Leishman,52,53.96,34716.5,64338
50,51,56,Alex Noren,49,53.95,28907.1,53584
51,52,48,Max Homa,61,53.94,44853.4,83148
52,53,50,Charles Howell III,64,53.91,41176.9,76374
53,54,51,Stewart Cink,33,53.87,18405.9,34168
54,55,T57,Peter Uihlein,65,53.81,39688.4,73761
55,56,T57,Keegan Bradley,65,53.79,42583.7,79169
56,57,T60,Sepp Straka,48,53.76,31571.8,58727
57,58,T54,Carlos Ortiz,60,53.74,46336.3,86216
58,59,T54,Joaquin Niemann,68,53.73,48254.5,89813
59,60,53,Hudson Swafford,59,53.71,43822.0,81593
60,61,64,Daniel Berger,48,53.67,35466.3,66081
61,T62,59,Sung Kang,67,53.59,51542.1,96183
62,T62,62,Danny Lee,66,53.59,49144.9,91705
63,64,65,Dominic Bozzelli,53,53.57,27999.0,52269
64,65,T60,Chesson Hadley,58,53.48,40202.7,75174
65,66,63,Patrick Reed,53,53.46,37154.3,69504
66,67,66,Ian Poulter,49,53.38,27357.6,51253
67,68,T69,Scott Piercy,70,53.34,44919.4,84208
68,T69,T67,Tyrrell Hatton,46,53.33,28196.5,52872
69,T69,76,Jim Knous,55,53.33,34867.6,65377
70,T69,T67,Hunter Mahan,45,53.33,34224.1,64180
71,T69,T69,Scott Stallings,63,53.33,50772.6,95209
72,T73,71,Sam Saunders,53,53.29,44686.2,83862
73,T73,T74,Chase Wright,53,53.29,35005.6,65688
74,75,78,Sergio Garcia,39,53.26,25236.5,47388
75,76,72,Paul Casey,51,53.24,29394.5,55215
76,77,73,Adam Hadwin,66,53.23,42210.5,79303
77,78,T74,Emiliano Grillo,65,53.16,36829.4,69286
78,79,82,Talor Gooch,37,53.14,27220.8,51222
79,80,84,Sebastián Muñoz,58,53.13,36423.6,68556
80,T81,77,James Hahn,34,53.09,16568.7,31210
81,T81,81,Martin Laird,60,53.09,47869.8,90165
82,83,89,John Chin,38,53.05,21413.2,40362
83,84,79,Branden Grace,62,53.04,32829.4,61901
84,T85,94,Cody Gribble,52,53.0,36774.0,69389
85,T85,83,Seamus Power,58,53.0,41296.0,77921
86,87,80,Lucas Glover,62,52.97,52708.6,99505
87,88,86,Bud Cauley,61,52.91,50908.3,96217
88,89,85,Beau Hossler,66,52.89,49461.3,93515
89,T90,T87,Troy Merritt,42,52.87,31013.4,58660
