,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
0,1,T1,Cameron Davis,54,42.31,44,104,+4.09
1,2,T1,Rickie Fowler,54,41.0,41,100,+3.85
2,3,23,Lucas Bjerregaard,37,40.91,18,44,+3.61
3,4,T3,Jason Kokrak,68,40.18,45,112,+4.00
4,5,T3,Harold Varner III,62,39.17,47,120,+3.83
5,6,6,Phil Mickelson,41,38.24,26,68,+4.00
6,7,7,Luke List,52,37.76,37,98,+3.65
7,8,8,Justin Harding,31,37.5,9,24,+3.89
8,9,20,Brandon Harkins,67,37.3,47,126,+3.68
9,10,T10,Wyndham Clark,61,37.29,44,118,+4.09
10,11,9,Jhonattan Vegas,60,37.07,43,116,+3.88
11,T12,T10,Bryson DeChambeau,45,36.84,28,76,+3.61
12,T12,19,Rory McIlroy,50,36.84,28,76,+4.07
13,14,12,Adam Schenk,80,36.54,57,156,+3.95
14,T15,28,Daniel Berger,48,36.46,35,96,+3.86
15,T15,13,Gary Woodland,63,36.46,35,96,+3.89
16,T17,T14,Hideki Matsuyama,59,36.36,32,88,+3.38
17,T17,T14,Patrick Rodgers,44,36.36,32,88,+3.84
18,19,16,Grayson Murray,36,36.11,26,72,+3.92
19,20,17,Tommy Fleetwood,43,35.71,20,56,+4.15
20,21,18,Joaquin Niemann,68,35.48,44,124,+4.23
21,T22,22,Jim Knous,55,35.29,36,102,+3.89
22,T22,T30,Alex Noren,49,35.29,24,68,+3.83
23,24,21,Sam Burns,66,35.16,45,128,+3.93
24,25,5,Brooks Koepka,49,35.0,21,60,+3.24
25,26,27,Peter Uihlein,65,34.55,38,110,+3.79
26,27,24,Aaron Wise,52,34.44,31,90,+3.61
27,28,26,Justin Rose,42,34.38,22,64,+3.73
28,29,29,Sebastián Muñoz,58,33.93,38,112,+4.08
29,30,T30,Justin Thomas,49,33.82,23,68,+3.39
30,31,25,Sepp Straka,48,33.7,31,92,+3.84
31,32,39,Jimmy Walker,61,33.67,33,98,+3.76
32,T33,T30,Patrick Cantlay,49,33.33,24,72,+3.83
33,T33,T30,Tony Finau,61,33.33,32,96,+3.97
34,T33,54,Hank Lebioda,55,33.33,34,102,+3.56
35,T33,T35,Hudson Swafford,59,33.33,38,114,+4.18
36,37,47,Alex Prugh,54,33.0,33,100,+3.91
37,38,T30,Harris English,72,32.86,46,140,+3.96
38,39,38,Keith Mitchell,64,32.65,32,98,+3.72
39,40,40,Kevin Tway,62,32.61,30,92,+4.00
40,41,T35,Ollie Schniederjans,63,32.46,37,114,+4.16
41,42,41,Sung Kang,67,31.97,39,122,+3.54
42,T43,T42,Marc Leishman,52,31.94,23,72,+3.48
43,T43,T42,Jon Rahm,51,31.94,23,72,+3.83
44,T43,T42,Xander Schauffele,55,31.94,23,72,+3.96
45,T46,52,Ryan Palmer,56,31.82,28,88,+3.68
46,T46,45,Tiger Woods,31,31.82,14,44,+3.14
47,48,46,Adam Scott,41,31.48,17,54,+3.65
48,49,62,J.B. Holmes,54,31.43,22,70,+3.86
49,50,50,Emiliano Grillo,65,30.43,28,92,+3.61
50,T51,37,Sergio Garcia,39,30.36,17,56,+3.71
51,T51,53,Martin Laird,60,30.36,34,112,+3.50
52,53,T67,John Chin,38,30.26,23,76,+3.78
53,T54,49,Cody Gribble,52,30.21,29,96,+4.03
54,T54,51,Sam Ryder,52,30.21,29,96,+3.93
55,56,63,Carlos Ortiz,60,30.17,35,116,+3.94
56,57,73,Talor Gooch,37,29.73,22,74,+3.68
57,58,48,Seamus Power,58,29.63,32,108,+3.66
