,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
149,T150,T136,J.J. Henry,15,240,168,72
150,T150,150,C.T. Pan,19,240,174,66
151,T152,T153,Martin Kaymer,11,242,128,114
152,T152,T123,Shawn Stefani,19,242,106,136
153,154,T155,Hudson Swafford,20,243,78,165
154,155,999,Shane Lowry,10,244,56,188
155,T156,172,Anders Albertson,18,245,122,123
156,T156,T155,Patrick Reed,15,245,84,161
157,T156,T158,Brandt Snedeker,18,245,159,86
158,159,T153,Richy Werenski,20,246,136,110
159,T160,T163,Pat Perez,16,247,179,68
160,T160,165,Cameron Tringale,15,247,87,160
161,162,T133,Dominic Bozzelli,17,248,109,139
162,163,180,Bill Haas,18,251,139,112
163,T164,T167,Ryan Blaum,21,252,155,97
164,T164,T167,John Chin,14,252,78,174
165,T164,T167,Charley Hoffman,18,252,90,162
166,167,170,Alex Cejka,16,253,203,50
167,T168,162,Roberto Castro,16,254,189,65
168,T168,166,Sam Saunders,18,254,74,180
169,T170,T158,Jim Knous,17,255,66,189
170,T170,171,Danny Willett,15,255,104,151
171,T172,T158,Joey Garber,15,257,136,121
172,T172,T173,Mackenzie Hughes,19,257,80,177
173,T172,T163,Seamus Power,21,257,91,166
174,175,T177,Adam Svensson,18,260,161,99
175,176,T173,Ben Crane,13,266,199,67
176,177,176,Peter Uihlein,22,267,64,203
177,178,175,Rod Pampling,16,268,178,90
178,179,T177,Stephan Jaeger,19,269,96,173
179,180,184,Nick Taylor,20,271,130,141
180,181,182,Tom Hoge,24,277,151,126
181,182,T185,Chris Kirk,17,278,184,94
182,183,188,Robert Streb,21,279,142,137
183,184,181,Scott Stallings,20,280,94,186
184,185,T189,John Huh,13,281,189,92
185,186,187,"Ted Potter, Jr.",18,282,201,81
186,T187,179,Kelly Kraft,23,283,150,133
187,T187,T189,John Senden,13,283,183,100
188,T189,T185,Stewart Cink,12,285,114,171
189,T189,192,Anirban Lahiri,17,285,139,146
190,191,183,Jordan Spieth,16,286,84,202
191,192,T189,José de Jesús Rodríguez,17,298,156,142
192,193,195,Cody Gribble,18,303,106,197
193,194,999,Tyrone Van Aswegen,11,306,142,164
194,195,193,Julián Etulain,17,309,114,195
195,196,198,Andrew Putnam,17,312,192,120
196,197,T199,Ernie Els,14,314,187,127
197,198,194,Whee Kim,21,316,186,130
198,199,T199,D.A. Points,13,319,208,111
199,200,201,Aaron Baddeley,15,321,158,163
200,201,197,Charl Schwartzel,13,323,118,205
201,202,196,Chris Stroud,19,325,151,174
202,203,203,Freddie Jacobson,14,328,185,143
203,204,202,Peter Malnati,19,330,132,198
204,205,204,Chris Thompson,12,335,134,201
205,206,205,Jonathan Byrd,13,338,193,145
206,207,206,Curtis Luck,17,345,164,181
207,208,999,Martin Piller,10,367,197,170
208,209,207,Michael Kim,21,395,202,193
