,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
133,134,T130,Ryan Blaum,67,-0.040999999999999995,-2.186,53
134,135,132,David Hearn,41,-0.042,-0.997,24
135,136,137,Hudson Swafford,59,-0.047,-2.199,47
136,137,141,Roger Sloan,62,-0.051,-2.43,48
137,T138,133,Si Woo Kim,65,-0.057,-2.2159999999999997,39
138,T138,142,Josh Teater,47,-0.057,-1.761,31
139,140,136,Kyle Stanley,53,-0.066,-2.035,31
140,141,T143,Danny Lee,66,-0.068,-3.735,55
141,142,139,Beau Hossler,66,-0.069,-3.5060000000000002,51
142,143,140,J.J. Henry,42,-0.073,-1.969,27
143,144,148,Jimmy Walker,61,-0.096,-4.41,46
144,145,145,Rod Pampling,40,-0.098,-2.64,27
145,146,155,Danny Willett,47,-0.105,-3.989,38
146,147,138,Seamus Power,58,-0.111,-4.891,44
147,148,T143,Martin Laird,60,-0.11699999999999999,-5.746,49
148,149,153,Brandt Snedeker,68,-0.142,-6.8,48
149,150,146,Martin Trainer,51,-0.14400000000000002,-5.765,40
150,151,164,Mackenzie Hughes,58,-0.154,-6.7829999999999995,44
151,152,156,Anders Albertson,48,-0.161,-5.462999999999999,34
152,153,154,Harris English,72,-0.162,-9.368,58
153,154,150,Kyle Jones,49,-0.16399999999999998,-5.737,35
154,155,147,Talor Gooch,37,-0.168,-5.209,31
155,T156,T151,Chris Kirk,47,-0.18,-6.315,35
156,T156,T151,Kevin Na,54,-0.18,-5.925,33
157,158,149,Bud Cauley,61,-0.182,-9.62,53
158,159,157,Martin Kaymer,38,-0.204,-6.931,34
159,160,T161,Brian Stuard,76,-0.223,-12.265999999999998,55
160,161,163,Chesson Hadley,58,-0.23,-9.665,42
161,162,T161,Ollie Schniederjans,63,-0.237,-11.14,47
162,T163,T167,Nate Lashley,44,-0.243,-7.528,31
