,Driving_Pct._280-300_Measured_RANK THIS WEEK,Driving_Pct._280-300_Measured_RANK LAST WEEK,Driving_Pct._280-300_Measured_PLAYER NAME,Driving_Pct._280-300_Measured_ROUNDS,Driving_Pct._280-300_Measured_%,Driving_Pct._280-300_Measured_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._280-300_Measured_RELATIVE TO PAR
0,1,1,Nate Lashley,44,54.76,46,84,-0.20
1,2,2,Matt Wallace,31,52.27,23,44,-0.13
2,3,3,Julián Etulain,55,51.96,53,102,-0.28
3,T4,T4,Martin Kaymer,38,50.0,34,68,-0.21
4,T4,T4,C.T. Pan,64,50.0,50,100,-0.28
5,6,7,Charley Hoffman,58,48.81,41,84,+0.12
6,7,8,John Huh,35,48.57,34,70,-0.06
7,8,9,Aaron Baddeley,51,48.04,49,102,-0.12
8,9,10,Stewart Cink,33,47.83,22,46,+0.23
9,10,11,Whee Kim,57,47.78,43,90,-0.09
10,11,12,Michael Thompson,56,47.32,53,112,-0.26
11,12,13,Sungjae Im,88,46.88,75,160,-0.24
12,13,25,Curtis Luck,51,46.81,44,94,-0.14
13,14,14,Chris Kirk,47,46.67,42,90,-0.17
14,15,16,Joel Dahmen,78,46.21,61,132,-0.11
15,16,15,Kelly Kraft,67,45.76,54,118,-0.28
16,T17,17,Kiradech Aphibarnrat,49,45.59,31,68,+0.19
17,T17,T4,Rod Pampling,40,45.59,31,68,+0.16
18,19,18,Abraham Ancer,69,45.54,51,112,+0.02
19,20,T19,Bronson Burgoon,37,45.45,30,66,+0.03
20,T21,T36,Joey Garber,44,45.0,36,80,-0.28
21,T21,T22,Haotong Li,32,45.0,18,40,-0.28
22,T21,T22,Ian Poulter,49,45.0,27,60,-0.07
23,24,24,Lucas Glover,62,44.83,52,116,-0.17
24,25,T19,Hudson Swafford,59,44.74,51,114,-0.18
25,26,T38,Jim Herman,37,44.59,33,74,-0.24
26,27,21,Corey Conners,62,44.44,48,108,-0.13
27,T28,27,Russell Henley,56,44.23,46,104,-0.11
28,T28,26,Charl Schwartzel,34,44.23,23,52,-0.22
29,30,T32,Chris Thompson,34,44.12,30,68,-0.07
30,T31,T29,J.T. Poston,76,43.75,63,144,-0.19
31,T31,T29,Patrick Reed,53,43.75,35,80,-0.29
32,33,28,Dylan Frittelli,55,43.4,46,106,-0.17
33,T34,T32,Hunter Mahan,45,43.33,39,90,-0.26
34,T34,999,Martin Piller,30,43.33,26,60,-0.35
35,36,34,Patton Kizzire,58,43.18,38,88,-0.26
36,37,31,Dominic Bozzelli,53,43.14,44,102,-0.32
37,38,35,Beau Hossler,66,43.1,50,116,-0.06
38,39,T36,Marc Leishman,52,43.06,31,72,-0.32
39,40,T38,Ryan Blaum,67,42.86,54,126,-0.20
40,41,48,Matt Every,38,42.65,29,68,-0.28
41,42,42,Russell Knox,65,42.59,46,108,-0.37
42,43,44,Vaughn Taylor,69,42.54,57,134,-0.32
43,T44,T57,Keegan Bradley,65,42.39,39,92,-0.31
44,T44,T38,Zach Johnson,50,42.39,39,92,-0.21
45,T44,46,Anirban Lahiri,54,42.39,39,92,-0.21
46,47,45,Harris English,72,42.14,59,140,-0.22
47,T48,T49,Rafa Cabrera Bello,57,42.11,32,76,-0.13
48,T48,T49,Branden Grace,62,42.11,32,76,-0.09
49,50,51,Matt Jones,67,42.06,53,126,-0.28
50,51,69,Roger Sloan,62,41.94,52,124,-0.19
