,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
81,T82,T137,John Chin,38,2.458,286.4,116.53299999999999,,2.6639999999999997
82,T82,T71,Scott Stallings,63,2.458,285.3,116.087,,2.708
83,T84,T59,Roger Sloan,62,2.457,282.8,115.061,,2.713
84,T84,T137,Jimmy Walker,61,2.457,281.8,114.685,,2.803
85,86,T107,Lucas Bjerregaard,37,2.456,292.0,118.89200000000001,,2.728
86,87,T66,Hunter Mahan,45,2.455,281.5,114.633,,2.659
87,T88,90,Corey Conners,62,2.454,280.5,114.305,,2.707
88,T88,T68,Joel Dahmen,78,2.454,274.1,111.69,,2.716
89,T88,T87,Chris Stroud,54,2.454,275.0,112.04299999999999,,2.6639999999999997
90,T88,999,Tyrone Van Aswegen,30,2.454,275.4,112.238,,2.6519999999999997
91,92,T91,Nate Lashley,44,2.4530000000000003,275.3,112.21600000000001,,2.76
92,T93,T80,J.J. Henry,42,2.452,275.0,112.148,,2.661
93,T93,T74,Michael Thompson,56,2.452,271.9,110.913,,2.727
94,T95,T76,Rafa Cabrera Bello,57,2.451,274.8,112.125,,2.6710000000000003
95,T95,T87,Brandon Harkins,67,2.451,285.2,116.35799999999999,,2.7439999999999998
96,T95,T76,Jordan Spieth,57,2.451,278.0,113.428,,2.7239999999999998
97,T98,T91,Mackenzie Hughes,58,2.45,284.8,116.223,,2.638
98,T98,T78,Luke List,52,2.45,299.3,122.17200000000001,,2.682
99,T98,T80,Curtis Luck,51,2.45,278.4,113.616,,2.658
100,T101,T103,Kramer Hickok,59,2.449,279.2,114.01100000000001,,2.7689999999999997
101,T101,T80,Cameron Smith,55,2.449,274.7,112.15100000000001,,2.67
102,T103,84,Tyrrell Hatton,46,2.448,283.0,115.586,,2.679
103,T103,T94,Tom Hoge,70,2.448,274.1,111.97200000000001,,2.716
104,T103,T117,Ryan Palmer,56,2.448,285.1,116.431,,2.739
105,106,85,C.T. Pan,64,2.447,271.6,110.994,,2.6719999999999997
106,107,86,Charley Hoffman,58,2.4459999999999997,283.5,115.902,,2.745
107,T108,T87,Bryson DeChambeau,45,2.445,289.8,118.545,,2.755
108,T108,T98,Bill Haas,58,2.445,281.6,115.17299999999999,,2.688
109,T108,T126,José de Jesús Rodríguez,51,2.445,269.6,110.26,,2.7510000000000003
110,111,T117,Ben Silverman,54,2.444,271.5,111.073,,2.665
111,112,T117,Peter Malnati,64,2.443,278.2,113.86200000000001,,2.701
112,T113,93,J.T. Poston,76,2.4419999999999997,277.4,113.58200000000001,,2.738
113,T113,122,Johnson Wagner,45,2.4419999999999997,261.4,107.07,,2.787
114,115,T117,Nick Watney,67,2.44,291.6,119.541,,2.7310000000000003
115,116,96,Tony Finau,61,2.439,297.3,121.875,,2.6510000000000002
116,T117,T98,Chez Reavie,67,2.437,265.3,108.882,,2.7230000000000003
117,T117,T103,Hudson Swafford,59,2.437,286.0,117.353,,2.667
118,119,T100,Jon Rahm,51,2.436,288.8,118.55799999999999,,2.627
119,120,T103,Louis Oosthuizen,43,2.434,275.0,113.00200000000001,,2.75
120,T121,T109,Jason Kokrak,68,2.431,291.2,119.8,,2.659
