,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
132,T133,133,Wyndham Clark,61,257,98,159
133,T133,134,Brian Stuard,76,257,114,143
134,135,132,Sam Burns,66,258,86,172
135,136,127,Roberto Castro,54,262,168,94
136,137,139,Vaughn Taylor,69,263,124,139
137,138,T142,Sangmoon Bae,42,266,106,160
138,T139,136,Kiradech Aphibarnrat,49,268,70,198
139,T139,151,J.T. Poston,76,268,121,147
140,141,T149,Patrick Rodgers,44,270,134,136
141,142,T147,Chesson Hadley,58,271,128,143
142,T143,T147,Chris Kirk,47,273,182,91
143,T143,T144,C.T. Pan,64,273,150,123
144,145,T142,Roberto Díaz,51,275,124,151
145,146,T140,Peter Uihlein,65,276,177,99
146,147,T154,Max Homa,61,278,140,138
147,T148,T149,Matthew Fitzpatrick,42,281,110,171
148,T148,153,Charley Hoffman,58,281,164,117
149,150,T144,Jonas Blixt,66,283,135,148
150,151,T140,J.J. Henry,42,286,150,136
151,152,T154,Brian Gay,79,288,110,178
152,153,T157,Ernie Els,43,289,197,92
153,T154,T117,Dominic Bozzelli,53,290,162,128
154,T154,T157,Pat Perez,52,290,160,130
155,156,156,Grayson Murray,36,291,114,177
156,157,T164,Jimmy Walker,61,295,146,149
157,158,160,Patrick Reed,53,299,156,143
158,T159,T164,Patton Kizzire,58,300,126,174
159,T159,T167,Cameron Smith,55,300,136,164
160,161,152,Brady Schnell,38,301,132,169
161,162,T167,Si Woo Kim,65,302,146,156
162,T163,169,Brian Harman,67,303,100,203
163,T163,163,Nick Taylor,70,303,180,123
164,165,173,Zach Johnson,50,304,119,185
165,166,161,Ollie Schniederjans,63,305,121,184
166,167,166,Satoshi Kodaira,51,310,119,191
167,168,159,Scott Stallings,63,311,184,127
168,T169,T174,Chris Thompson,34,312,205,107
169,T169,170,Richy Werenski,63,312,159,153
170,171,172,John Huh,35,319,185,134
171,172,162,Kyle Jones,49,321,138,183
172,173,181,Robert Streb,60,322,183,139
173,174,179,Brandt Snedeker,68,324,156,168
174,175,T174,Tom Hoge,70,330,181,149
175,176,171,Sam Saunders,53,331,168,163
176,177,183,Scott Langley,60,334,140,194
177,178,T176,Matt Wallace,31,337,129,208
178,179,T185,Mackenzie Hughes,58,338,172,166
179,180,180,Ben Crane,41,343,176,167
180,T181,178,Whee Kim,57,344,198,146
181,T181,999,Shane Lowry,30,344,155,189
182,183,184,"Ted Potter, Jr.",56,347,186,161
183,184,T176,Joey Garber,44,348,172,176
184,T185,188,Ryan Blaum,67,350,164,186
185,T185,196,Bill Haas,58,350,163,187
186,T185,999,Tyrone Van Aswegen,30,350,194,156
187,188,T185,Martin Kaymer,38,351,152,199
188,189,182,Jordan Spieth,57,352,191,161
189,T190,189,Stephan Jaeger,59,354,179,175
190,T190,T185,Martin Trainer,51,354,149,205
191,T192,190,Aaron Baddeley,51,355,200,155
192,T192,193,Alex Cejka,41,355,167,188
193,194,T191,Julián Etulain,55,368,195,173
