,Driving_Pct._240-260_All_Drives_RANK THIS WEEK,Driving_Pct._240-260_All_Drives_RANK LAST WEEK,Driving_Pct._240-260_All_Drives_PLAYER NAME,Driving_Pct._240-260_All_Drives_ROUNDS,Driving_Pct._240-260_All_Drives_%,Driving_Pct._240-260_All_Drives_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._240-260_All_Drives_RELATIVE TO PAR
0,1,2,Scott Langley,60,23.73,159,670,+0.088
1,2,1,Ben Crane,41,23.54,89,378,+0.079
2,3,3,David Hearn,41,20.06,67,334,+0.134
3,4,5,Brian Stuard,76,19.97,153,766,+0.007
4,5,6,D.A. Points,33,19.7,52,264,+0.135
5,6,4,Brian Gay,79,19.43,157,808,+0.070
6,7,7,Jim Furyk,53,17.54,100,570,-0.040
7,8,9,Alex Cejka,41,17.38,65,374,+0.108
8,9,8,Brady Schnell,38,17.31,63,364,-0.032
9,10,11,Johnson Wagner,45,17.19,77,448,+0.156
10,11,12,Michael Kim,51,17.07,84,492,+0.131
11,12,10,Ryan Armour,66,17.01,116,682,+0.034
12,13,13,Andrew Putnam,57,16.93,86,508,-0.070
13,14,999,Tyrone Van Aswegen,30,16.92,45,266,+0.200
14,15,16,Fabián Gómez,44,16.19,68,420,+0.162
15,16,14,Freddie Jacobson,37,16.17,54,334,+0.278
16,17,22,J.J. Henry,42,15.61,59,378,+0.203
17,18,15,Kyle Jones,49,15.57,76,488,+0.184
18,19,999,Martin Piller,30,15.55,37,238,+0.108
19,20,17,Satoshi Kodaira,51,15.51,76,490,+0.237
20,21,21,Jonathan Byrd,43,15.31,60,392,-0.017
21,22,18,Nate Lashley,44,14.98,65,434,+0.062
22,23,19,C.T. Pan,64,14.73,86,584,+0.105
23,24,20,Vaughn Taylor,69,14.6,118,808,+0.102
24,25,23,John Huh,35,14.55,55,378,+0.200
25,26,27,Anirban Lahiri,54,14.21,79,556,+0.177
26,27,28,Michael Thompson,56,14.18,99,698,-0.051
27,28,34,D.J. Trahan,33,13.91,37,266,+0.108
28,T29,26,Graeme McDowell,61,13.85,77,556,+0.104
29,T29,29,Kevin Na,54,13.85,64,462,+0.047
30,T31,T38,Talor Gooch,37,13.82,60,434,+0.050
31,T31,T24,Ben Silverman,54,13.82,81,586,+0.173
32,33,T24,Dominic Bozzelli,53,13.64,63,462,+0.222
33,T34,T30,Kevin Kisner,65,13.55,81,598,-0.086
34,T34,T30,Pat Perez,52,13.55,55,406,+0.055
35,36,33,Aaron Baddeley,51,13.35,71,532,+0.042
36,37,41,Roberto Díaz,51,13.32,61,458,E
37,38,40,Shawn Stefani,57,13.28,72,542,+0.306
38,39,35,Ernie Els,43,13.19,48,364,+0.104
39,T40,32,Roberto Castro,54,13.13,73,556,+0.055
40,T40,36,Patton Kizzire,58,13.13,68,518,+0.147
41,42,37,Ryan Moore,54,13.0,78,600,+0.141
42,43,T38,Andrew Landry,56,12.96,78,602,+0.141
43,44,43,Henrik Stenson,46,12.71,60,472,+0.067
44,45,52,Martin Laird,60,12.68,87,686,+0.195
45,46,46,Brice Garnett,63,12.67,73,576,+0.151
46,47,T77,Cameron Tringale,52,12.66,60,474,E
47,48,44,Mackenzie Hughes,58,12.42,76,612,+0.158
48,T49,45,Russell Henley,56,12.37,74,598,+0.108
49,T49,47,Chez Reavie,67,12.37,69,558,+0.101
50,51,48,"Ted Potter, Jr.",56,12.25,74,604,+0.149
51,52,49,Francesco Molinari,41,12.23,45,368,E
52,53,51,Jonas Blixt,66,12.15,88,724,+0.114
53,54,54,Tom Hoge,70,12.09,81,670,+0.111
54,55,53,Troy Merritt,42,12.02,56,466,-0.054
55,T56,50,Robert Streb,60,11.89,73,614,-0.027
56,T56,55,Kevin Streelman,63,11.89,88,740,-0.034
57,58,64,Tyler Duncan,66,11.84,76,642,+0.132
58,59,T69,Hank Lebioda,55,11.81,64,542,+0.078
59,T60,T65,Scott Brown,66,11.79,79,670,+0.038
60,T60,56,Ian Poulter,49,11.79,50,424,+0.040
61,62,58,Brandt Snedeker,68,11.61,78,672,+0.077
62,63,42,Sangmoon Bae,42,11.6,42,362,+0.119
63,T64,60,Bronson Burgoon,37,11.58,47,406,-0.085
64,T64,85,Wes Roach,45,11.58,47,406,-0.021
65,66,59,Matt Kuchar,65,11.54,78,676,+0.026
66,67,61,Richy Werenski,63,11.52,82,712,+0.232
67,68,91,Jimmy Walker,61,11.49,74,644,+0.095
68,69,62,Chris Kirk,47,11.48,56,488,+0.268
69,T70,71,Alex Noren,49,11.47,53,462,+0.189
70,T70,63,Sam Ryder,52,11.47,64,558,+0.109
71,72,T65,Jason Dufner,56,11.4,62,544,+0.081
72,73,67,John Senden,39,11.38,38,334,+0.105
73,74,T69,Emiliano Grillo,65,11.32,65,574,+0.046
74,75,T83,Curtis Luck,51,11.26,50,444,+0.260
75,76,100,Adam Schenk,80,11.1,93,838,+0.065
76,77,103,Harold Varner III,62,11.05,80,724,E
77,78,68,Chris Stroud,54,10.97,61,556,+0.213
78,79,98,Webb Simpson,53,10.92,69,632,-0.058
79,80,73,Austin Cook,50,10.91,53,486,E
80,81,999,Shane Lowry,30,10.88,32,294,-0.094
81,82,72,J.J. Spaun,68,10.87,70,644,+0.014
82,T83,T80,Kelly Kraft,67,10.86,71,654,+0.085
83,T83,74,José de Jesús Rodríguez,51,10.86,53,488,+0.057
84,85,76,Ryan Blaum,67,10.84,80,738,+0.175
85,86,107,Whee Kim,57,10.83,47,434,E
86,T87,57,Joey Garber,44,10.77,39,362,+0.051
87,T87,T77,Patrick Reed,53,10.77,56,520,+0.161
