,Driving_Pct._240-260_All_Drives_RANK THIS WEEK,Driving_Pct._240-260_All_Drives_RANK LAST WEEK,Driving_Pct._240-260_All_Drives_PLAYER NAME,Driving_Pct._240-260_All_Drives_ROUNDS,Driving_Pct._240-260_All_Drives_%,Driving_Pct._240-260_All_Drives_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._240-260_All_Drives_RELATIVE TO PAR
88,89,79,Adam Long,52,10.71,66,616,+0.152
89,T90,T80,Matt Jones,67,10.7,67,626,-0.015
90,T90,T80,Peter Malnati,64,10.7,79,738,+0.215
91,T90,T89,Denny McCarthy,63,10.7,70,654,-0.071
92,T90,104,Peter Uihlein,65,10.7,64,598,+0.063
93,94,97,Sepp Straka,48,10.59,47,444,+0.128
94,95,T83,Charl Schwartzel,34,10.58,22,208,+0.409
95,T96,86,Kramer Hickok,59,10.53,60,570,+0.100
96,T96,87,Zach Johnson,50,10.53,60,570,+0.033
97,98,93,Hudson Swafford,59,10.52,69,656,+0.174
98,99,99,Bill Haas,58,10.47,67,640,+0.119
99,100,T89,Wyndham Clark,61,10.4,68,654,+0.279
100,101,T136,Chris Thompson,34,10.39,32,308,+0.125
101,T102,92,Scott Piercy,70,10.37,73,704,+0.110
102,T102,75,Josh Teater,47,10.37,45,434,+0.111
103,104,94,Matthew Fitzpatrick,42,10.34,42,406,+0.048
104,105,T95,Marc Leishman,52,10.32,51,494,-0.098
105,106,101,Julián Etulain,55,10.31,53,514,-0.075
106,107,88,Roger Sloan,62,10.18,68,668,+0.147
107,108,106,Stephan Jaeger,59,10.14,58,572,+0.241
108,109,128,Rod Pampling,40,10.11,38,376,+0.132
109,110,123,Daniel Berger,48,10.1,58,574,-0.052
110,111,105,Chesson Hadley,58,9.93,58,584,+0.034
111,112,T162,Brooks Koepka,49,9.91,42,424,+0.095
112,T113,153,Cameron Davis,54,9.88,51,516,E
113,T113,102,Adam Svensson,51,9.88,51,516,E
114,115,108,Russell Knox,65,9.82,67,682,+0.090
115,116,110,Rafa Cabrera Bello,57,9.8,49,500,-0.020
116,117,126,Harris English,72,9.78,79,808,+0.025
117,118,111,Sung Kang,67,9.76,72,738,-0.097
118,T119,T113,Kiradech Aphibarnrat,49,9.74,45,462,+0.111
119,T119,125,John Chin,38,9.74,30,308,+0.167
120,T119,T113,Cameron Smith,55,9.74,45,462,+0.267
121,122,115,Paul Casey,51,9.68,42,434,-0.071
122,123,116,Kyoung-Hoon Lee,72,9.64,62,643,-0.065
123,124,117,Hideki Matsuyama,59,9.63,58,602,+0.034
124,125,118,Billy Horschel,73,9.62,61,634,+0.082
125,126,122,Jim Herman,37,9.57,36,376,+0.278
126,127,109,Carlos Ortiz,60,9.55,64,670,+0.141
127,128,119,Tiger Woods,31,9.52,28,294,-0.036
128,129,120,J.T. Poston,76,9.51,85,894,+0.047
129,130,121,Lucas Glover,62,9.49,70,738,+0.029
130,131,112,Danny Willett,47,9.47,50,528,+0.180
131,132,132,Chase Wright,53,9.38,51,544,+0.235
132,133,124,Jordan Spieth,57,9.37,59,630,+0.102
133,T134,127,Jim Knous,55,9.3,48,516,+0.146
134,T134,T134,Ollie Schniederjans,63,9.3,61,656,+0.148
135,136,139,Brandon Harkins,67,9.24,63,682,+0.111
136,137,130,Scott Stallings,63,9.09,62,682,+0.177
137,138,129,Adam Hadwin,66,9.03,58,642,+0.034
138,139,131,Justin Harding,31,8.93,15,168,+0.400
139,140,133,Branden Grace,62,8.81,43,488,+0.116
140,141,T134,Kyle Stanley,53,8.76,38,434,+0.211
141,T142,T154,Sam Saunders,53,8.75,56,640,-0.036
142,T142,168,Justin Thomas,49,8.75,42,480,+0.024
143,144,T136,Louis Oosthuizen,43,8.73,29,332,-0.103
144,145,149,Seamus Power,58,8.63,53,614,-0.038
145,146,175,Sebastián Muñoz,58,8.6,48,558,+0.042
146,T147,T171,Keegan Bradley,65,8.54,54,632,+0.185
147,T147,140,Jason Kokrak,68,8.54,63,738,+0.032
148,T149,T141,Max Homa,61,8.51,57,670,+0.123
149,T149,T141,Jhonattan Vegas,60,8.51,56,658,+0.018
150,151,143,Matt Wallace,31,8.44,26,308,-0.192
151,152,144,Cameron Champ,58,8.43,57,676,+0.088
152,153,145,Charles Howell III,64,8.42,51,606,-0.118
153,154,146,Bryson DeChambeau,45,8.4,45,536,+0.044
154,155,147,Sam Burns,66,8.38,63,752,+0.095
155,156,148,Tyrrell Hatton,46,8.37,35,418,+0.229
156,157,T154,Danny Lee,66,8.36,64,766,+0.281
157,158,150,Brendan Steele,50,8.33,43,516,+0.256
158,159,138,Matt Every,38,8.29,29,350,-0.069
159,160,160,Nick Taylor,70,8.27,68,822,+0.132
160,161,169,Cody Gribble,52,8.24,46,558,+0.304
161,T162,151,Sungjae Im,88,8.23,78,948,-0.013
162,T162,181,Kevin Tway,62,8.23,52,632,+0.212
163,164,152,Joel Dahmen,78,8.21,64,780,+0.047
164,165,174,Anders Albertson,48,8.19,39,476,+0.256
165,166,161,Dylan Frittelli,55,8.17,50,612,+0.080
166,167,156,Xander Schauffele,55,8.1,40,494,+0.025
167,168,T157,Si Woo Kim,65,8.06,44,546,+0.045
168,169,T157,Sergio Garcia,39,7.99,31,388,+0.355
169,170,T164,Dustin Johnson,47,7.98,38,476,-0.053
170,171,159,Tommy Fleetwood,43,7.97,29,364,E
171,172,167,Nick Watney,67,7.92,54,682,+0.241
172,173,T171,Brian Harman,67,7.89,54,684,+0.130
173,174,T162,Stewart Cink,33,7.88,23,292,E
174,175,166,Keith Mitchell,64,7.84,45,574,-0.067
175,176,193,Seth Reeves,52,7.77,39,502,+0.205
176,177,170,Patrick Rodgers,44,7.74,41,530,+0.146
177,178,177,Corey Conners,62,7.64,46,602,-0.022
178,179,173,Hunter Mahan,45,7.61,35,460,+0.086
179,180,179,Bud Cauley,61,7.57,56,740,+0.054
180,181,176,Martin Kaymer,38,7.56,36,476,+0.250
181,182,T164,Lucas Bjerregaard,37,7.47,23,308,+0.217
182,183,178,Grayson Murray,36,7.46,27,362,+0.111
183,184,180,Jason Day,45,7.39,26,352,-0.192
184,T185,T182,Abraham Ancer,69,7.14,49,686,+0.204
185,T185,T182,Rickie Fowler,54,7.14,45,630,+0.067
186,T185,T182,James Hahn,34,7.14,17,238,E
187,T185,T182,Luke List,52,7.14,43,602,+0.163
188,T185,T182,Adam Scott,41,7.14,24,336,+0.042
189,190,187,Gary Woodland,63,7.12,43,604,-0.116
190,191,188,Aaron Wise,52,7.09,38,536,+0.342
191,192,189,Rory Sabbatini,71,7.05,53,752,+0.075
192,193,190,Charley Hoffman,58,7.0,34,486,+0.029
193,194,191,Haotong Li,32,6.79,19,280,+0.105
194,195,192,Byeong Hun An,54,6.78,37,546,+0.135
195,196,194,Justin Rose,42,6.65,27,406,+0.037
196,197,196,Phil Mickelson,41,6.43,27,420,-0.185
197,198,195,Alex Prugh,54,6.37,32,502,+0.063
198,199,199,Joaquin Niemann,68,6.35,46,724,+0.174
199,200,197,Beau Hossler,66,6.18,44,712,+0.182
200,201,198,Tony Finau,61,6.1,35,574,+0.171
201,202,200,Ryan Palmer,56,6.04,33,546,+0.182
202,203,204,Rory McIlroy,50,5.94,31,522,-0.065
203,204,206,Trey Mullinax,67,5.42,40,738,+0.175
204,T205,T202,Patrick Cantlay,49,5.41,25,462,-0.080
205,T205,T202,Jon Rahm,51,5.41,25,462,+0.080
206,207,205,Martin Trainer,51,5.38,30,558,+0.267
207,T208,201,J.B. Holmes,54,5.36,21,392,+0.048
208,T208,207,Bubba Watson,47,5.36,27,504,E
