,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
173,T173,T168,Adam Long,52,+.165
174,175,T172,Brian Gay,79,+.169
175,176,171,Tyrrell Hatton,46,+.170
176,177,T172,Freddie Jacobson,37,+.171
177,178,175,Kelly Kraft,67,+.172
178,T179,179,Jim Herman,37,+.175
179,T179,174,Francesco Molinari,41,+.175
180,T181,186,Zach Johnson,50,+.181
181,T181,177,Brendan Steele,50,+.181
182,183,178,Satoshi Kodaira,51,+.182
183,T184,181,Ben Crane,41,+.196
184,T184,187,"Ted Potter, Jr.",56,+.196
185,186,195,Martin Laird,60,+.198
186,T187,194,Brice Garnett,63,+.200
187,T187,T183,Whee Kim,57,+.200
188,T187,T188,Andrew Landry,56,+.200
189,T187,T188,John Senden,39,+.200
190,191,198,Alex Noren,49,+.204
191,192,200,Seamus Power,58,+.207
192,193,170,Matt Every,38,+.209
193,T194,191,Michael Kim,51,+.213
194,T194,176,Seth Reeves,52,+.213
195,196,T192,Justin Harding,31,+.214
196,197,185,Talor Gooch,37,+.217
197,198,201,Kyle Jones,49,+.218
198,T199,196,Kiradech Aphibarnrat,49,+.222
199,T199,199,Kramer Hickok,59,+.222
200,T199,190,Scott Langley,60,+.222
201,202,197,Louis Oosthuizen,43,+.224
202,T203,202,John Chin,38,+.250
203,T203,T192,Joey Garber,44,+.250
204,205,203,James Hahn,34,+.276
205,206,205,Ryan Blaum,67,+.302
206,207,204,Hank Lebioda,55,+.319
207,208,206,Kyle Stanley,53,+.326
208,209,207,Rod Pampling,40,+.438
