,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
199,200,193,Peter Malnati,64,17.49,128,732,E
200,201,999,Shane Lowry,30,17.59,51,290,-0.06
201,202,194,Martin Trainer,51,17.65,96,544,+0.05
202,203,204,Cameron Davis,54,17.75,90,507,-0.14
203,204,202,Chesson Hadley,58,17.82,103,578,+0.17
204,205,203,J.B. Holmes,54,18.04,70,388,-0.06
205,206,206,Aaron Baddeley,51,18.53,98,529,E
206,207,205,Robert Streb,60,18.69,114,610,+0.10
207,208,201,Jim Knous,55,19.22,98,510,+0.06
208,209,207,Phil Mickelson,41,20.92,86,411,+0.16
