,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
198,199,199,Brian Gay,79,59.97,219738.0,366408
199,200,T200,Henrik Stenson,46,59.96,130806.0,218156
200,201,T202,Ben Crane,41,59.94,101776.5,169800
201,202,196,John Senden,39,59.93,92773.2,154799
202,203,T200,David Hearn,41,59.91,90844.5,151640
203,204,198,Ryan Moore,54,59.73,164816.7,275959
204,205,T202,Ryan Armour,66,59.48,184954.3,310977
205,206,206,Jim Furyk,53,59.23,153397.2,259003
206,207,204,Brian Stuard,76,59.15,206502.8,349124
207,208,205,D.A. Points,33,58.92,71045.4,120579
208,209,207,Scott Langley,60,58.47,177248.0,303165
