,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
191,T192,T185,Whee Kim,57,266.8,10137.2,38,,232.6
192,T192,184,Kyle Stanley,53,266.8,12807.8,48,,233.9
193,194,189,Chez Reavie,67,265.3,11940.3,45,,243.8
194,T195,193,Roberto Díaz,51,264.7,14295.1,54,,234.4
195,T195,190,Kevin Na,54,264.7,9265.6,35,,237.2
196,197,201,Ben Crane,41,264.4,11898.2,45,,227.9
197,198,192,Ian Poulter,49,263.8,10286.7,39,,237.4
198,199,194,Freddie Jacobson,37,263.0,7627.8,29,,244.8
199,200,197,Andrew Putnam,57,262.3,9181.4,35,,229.7
200,201,198,Brian Stuard,76,262.2,11537.7,44,,237.9
201,202,200,Russell Henley,56,262.1,15200.3,58,,236.6
202,203,202,Johnson Wagner,45,261.4,8104.8,31,,237.7
203,204,199,D.A. Points,33,261.2,3656.4,14,,226.6
204,205,206,Jim Furyk,53,257.1,17479.6,68,,211.7
205,206,203,Ryan Armour,66,257.0,11310.1,44,,226.0
206,207,204,Ryan Moore,54,255.7,15856.0,62,,210.0
207,208,205,Satoshi Kodaira,51,254.1,5843.5,23,,219.6
208,209,207,Scott Langley,60,251.4,14329.8,57,,205.5
