,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
85,T86,97,Sangmoon Bae,42,184.6,6644.0,36,,169.4
86,T86,T80,Daniel Berger,48,184.6,13474.2,73,,160.8
87,T88,T86,Aaron Baddeley,51,184.5,9780.2,53,,168.0
88,T88,T93,Danny Lee,66,184.5,13102.5,71,,165.3
89,90,T88,Haotong Li,32,184.3,3501.1,19,,167.0
90,T91,95,Sungjae Im,88,184.2,20258.4,110,,155.2
91,T91,T90,Charl Schwartzel,34,184.2,4053.3,22,,155.9
92,T91,T86,Josh Teater,47,184.2,9761.0,53,,166.2
93,T91,T65,Harold Varner III,62,184.2,8840.7,48,,155.0
94,T91,T90,Tiger Woods,31,184.2,2394.9,13,,173.0
95,96,98,Graeme McDowell,61,184.0,10854.9,59,,166.7
96,T97,92,J.T. Poston,76,183.9,16738.8,91,,143.1
97,T97,T114,Danny Willett,47,183.9,5885.9,32,,168.9
98,T99,T88,Cody Gribble,52,183.8,9556.6,52,,120.4
99,T99,T103,Robert Streb,60,183.8,9743.7,53,,164.4
100,101,T93,Lucas Glover,62,183.7,10288.3,56,,169.0
101,T102,T99,Peter Malnati,64,183.6,16339.3,89,,162.7
102,T102,T108,J.J. Spaun,68,183.6,9548.0,52,,163.1
103,104,96,Pat Perez,52,183.5,4771.9,26,,167.9
104,T105,T103,Corey Conners,62,183.1,12267.8,67,,171.8
105,T105,T99,Jordan Spieth,57,183.1,8970.3,49,,158.3
106,107,101,Branden Grace,62,183.0,8601.6,47,,146.9
107,108,102,James Hahn,34,182.9,1829.4,10,,165.9
108,T109,T103,Kiradech Aphibarnrat,49,182.7,6213.4,34,,159.1
109,T109,T103,John Senden,39,182.7,6030.6,33,,168.4
110,T109,T112,Shawn Stefani,57,182.7,7124.8,39,,157.9
111,112,107,Francesco Molinari,41,182.5,6388.5,35,,164.7
112,113,T108,Si Woo Kim,65,182.4,9485.7,52,,163.9
113,114,T112,Julián Etulain,55,182.3,7474.3,41,,167.6
114,115,110,Kramer Hickok,59,182.2,10020.7,55,,151.6
115,116,111,Billy Horschel,73,182.1,10382.5,57,,155.9
116,117,T125,Sam Saunders,53,181.7,7814.4,43,,162.3
117,T118,T153,Joey Garber,44,181.6,6901.4,38,,165.7
118,T118,T116,Russell Knox,65,181.6,12351.9,68,,160.7
119,T118,T116,Hunter Mahan,45,181.6,6174.6,34,,159.9
120,T118,121,Henrik Stenson,46,181.6,3450.4,19,,156.8
121,T122,132,Adam Hadwin,66,181.5,8711.2,48,,145.4
122,T122,118,Kevin Streelman,63,181.5,10889.1,60,,160.0
123,124,130,Jimmy Walker,61,181.4,12337.2,68,,152.3
124,125,T119,Denny McCarthy,63,181.3,11605.3,64,,161.7
125,T126,T122,Sung Kang,67,181.2,7249.4,40,,158.0
126,T126,T119,Curtis Luck,51,181.2,8880.6,49,,151.5
127,T126,T122,Troy Merritt,42,181.2,6523.0,36,,164.3
128,T129,T125,Bud Cauley,61,181.0,13393.0,74,,168.5
129,T129,124,Adam Long,52,181.0,7962.9,44,,164.0
130,131,T127,Scott Piercy,70,180.9,9951.0,55,,142.1
131,132,T127,Justin Harding,31,180.7,3795.1,21,,166.3
132,133,131,Patrick Reed,53,180.4,7758.8,43,,149.3
133,T134,999,Martin Piller,30,180.2,3603.3,20,,171.2
134,T134,T127,Chris Stroud,54,180.2,11530.7,64,,155.7
135,T136,133,Rafa Cabrera Bello,57,180.1,7203.3,40,,168.5
136,T136,T143,Nick Taylor,70,180.1,14044.5,78,,166.4
137,T138,T139,Jonathan Byrd,43,180.0,9178.2,51,,163.8
138,T138,134,Joel Dahmen,78,180.0,11879.5,66,,164.3
139,140,T135,Cameron Smith,55,179.9,4138.3,23,,160.4
140,T141,T137,Kevin Na,54,179.7,6288.7,35,,161.6
141,T141,T137,Andrew Putnam,57,179.7,6649.3,37,,155.6
142,T143,T135,Anders Albertson,48,179.6,9158.7,51,,144.9
143,T143,T143,Scott Brown,66,179.6,16346.9,91,,155.3
144,145,T139,Jason Dufner,56,179.5,8437.8,47,,154.1
145,T146,T141,"Ted Potter, Jr.",56,179.3,11298.1,63,,151.5
146,T146,165,Wes Roach,45,179.3,8067.8,45,,156.3
147,148,T143,Louis Oosthuizen,43,179.2,2867.2,16,,168.2
148,T149,T149,Tyler Duncan,66,179.1,13789.1,77,,139.9
149,T149,147,Adam Svensson,51,179.1,8418.5,47,,162.9
150,151,T141,D.J. Trahan,33,178.8,7154.0,40,,159.3
151,152,146,Richy Werenski,63,178.6,14821.4,83,,152.1
152,153,T149,Matthew Fitzpatrick,42,178.5,8031.5,45,,164.5
153,T154,152,Jonas Blixt,66,178.3,16051.0,90,,153.5
154,T154,157,Roberto Castro,54,178.3,11232.1,63,,163.5
155,T154,151,Tom Hoge,70,178.3,15155.1,85,,160.2
156,157,T153,J.J. Henry,42,178.2,9086.7,51,,162.8
157,T158,T153,Kevin Kisner,65,178.1,8190.9,46,,164.5
158,T158,T153,Kyoung-Hoon Lee,72,178.1,15496.8,87,,159.7
159,T158,999,Tyrone Van Aswegen,30,178.1,6054.4,34,,156.3
160,161,158,Bronson Burgoon,37,177.7,3732.3,21,,152.1
161,162,T168,Brandt Snedeker,68,177.3,11344.5,64,,156.8
162,163,T159,Nate Lashley,44,177.2,9569.5,54,,152.9
163,T164,T159,Abraham Ancer,69,177.1,12218.9,69,,149.6
164,T164,T166,Rod Pampling,40,177.1,9565.4,54,,150.3
165,166,T168,Jim Herman,37,177.0,6547.4,37,,156.6
166,T167,T161,Stewart Cink,33,176.8,5658.8,32,,155.0
167,T167,163,Ben Silverman,54,176.8,15908.5,90,,158.1
168,T167,T161,Michael Thompson,56,176.8,10429.6,59,,157.7
169,170,T166,Ernie Els,43,176.4,5292.9,30,,149.6
170,171,172,Brice Garnett,63,176.3,11104.3,63,,150.0
171,172,T168,Michael Kim,51,176.2,5110.9,29,,153.4
172,173,T168,Matt Kuchar,65,176.1,10916.5,62,,158.0
173,T174,164,Austin Cook,50,175.5,8775.1,50,,144.9
174,T174,173,Anirban Lahiri,54,175.5,8949.4,51,,157.1
175,T176,183,Brian Harman,67,175.4,6665.5,38,,157.4
176,T176,T174,C.T. Pan,64,175.4,7717.6,44,,146.9
177,T176,T174,Rory Sabbatini,71,175.4,15962.4,91,,153.2
178,179,176,Freddie Jacobson,37,175.2,5957.7,34,,146.5
179,180,T177,Andrew Landry,56,175.1,7003.0,40,,165.2
180,T181,T179,Chris Kirk,47,175.0,6650.4,38,,147.9
181,T181,T179,Kyle Stanley,53,175.0,8401.1,48,,158.5
182,183,185,Webb Simpson,53,174.7,10484.0,60,,158.0
183,184,T177,Kelly Kraft,67,174.6,10477.8,60,,159.1
184,185,181,Ryan Blaum,67,174.3,11852.4,68,,155.2
185,186,182,Ian Poulter,49,174.2,7141.6,41,,156.6
186,187,184,Kyle Jones,49,173.9,10604.9,61,,154.5
187,188,186,José de Jesús Rodríguez,51,172.8,10020.2,58,,148.6
188,T189,T192,Fabián Gómez,44,171.9,11002.8,64,,149.9
189,T189,T187,Chez Reavie,67,171.9,8079.0,47,,158.7
190,T189,T187,Vaughn Taylor,69,171.9,8939.1,52,,150.9
191,192,T189,Whee Kim,57,171.8,7213.6,42,,133.1
192,193,191,Zach Johnson,50,171.4,9082.7,53,,137.8
193,T194,T189,Brian Gay,79,171.3,7878.7,46,,159.1
194,T194,T192,Russell Henley,56,171.3,10275.0,60,,153.9
195,196,T192,John Huh,35,170.6,2388.0,14,,157.0
196,197,197,David Hearn,41,170.1,4591.6,27,,160.6
197,198,195,Alex Cejka,41,169.5,3558.9,21,,137.6
198,199,196,Brian Stuard,76,169.4,7453.3,44,,152.7
199,200,206,Brady Schnell,38,168.9,4899.2,29,,155.4
200,201,198,Roberto Díaz,51,168.5,9268.7,55,,132.9
201,T202,203,Ben Crane,41,168.2,7906.8,47,,149.7
202,T202,201,Jim Furyk,53,168.2,11772.4,70,,150.8
203,204,199,Satoshi Kodaira,51,167.8,4027.6,24,,147.5
204,205,200,Ryan Armour,66,167.0,7848.7,47,,143.2
205,T206,204,D.A. Points,33,166.0,2323.9,14,,135.8
206,T206,202,Johnson Wagner,45,166.0,5642.4,34,,144.8
207,208,205,Ryan Moore,54,165.6,10927.3,66,,2.8
208,209,207,Scott Langley,60,162.5,9751.3,60,,140.3
