,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
199,200,196,Emiliano Grillo,65,+.209
200,201,197,C.T. Pan,64,+.212
201,202,207,Tyler Duncan,66,+.213
202,203,199,Freddie Jacobson,37,+.218
203,204,201,Pat Perez,52,+.228
204,205,202,Bronson Burgoon,37,+.236
205,206,203,Andrew Landry,56,+.243
206,207,206,Henrik Stenson,46,+.262
207,208,205,Kyle Stanley,53,+.269
208,209,204,Ben Crane,41,+.314
