,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,1,Cameron Champ,58,44.64,50.0,112,-0.40
1,2,3,Rory McIlroy,50,38.16,29.0,76,-0.24
2,3,4,Grayson Murray,36,36.11,26.0,72,-0.38
3,T4,5,Luke List,52,35.71,35.0,98,-0.20
4,T4,6,Trey Mullinax,67,35.71,45.0,126,-0.31
5,6,10,Dustin Johnson,47,34.72,25.0,72,-0.48
6,7,2,Lucas Bjerregaard,37,34.09,15.0,44,-0.07
7,T8,9,Tony Finau,61,33.33,32.0,96,-0.19
8,T8,T7,Bubba Watson,47,33.33,24.0,72,-0.29
9,10,T7,Seth Reeves,52,33.0,33.0,100,-0.21
10,11,11,Patrick Cantlay,49,31.94,23.0,72,-0.13
11,12,13,Ollie Schniederjans,63,31.58,36.0,114,-0.56
12,13,12,Gary Woodland,63,31.25,30.0,96,-0.27
13,14,14,Jon Rahm,51,30.56,22.0,72,-0.14
14,15,15,Wyndham Clark,61,29.66,35.0,118,-0.57
15,16,16,Phil Mickelson,41,29.41,20.0,68,-0.25
16,17,17,Jason Day,45,28.57,16.0,56,-0.31
17,18,18,Haotong Li,32,27.5,11.0,40,-0.27
18,19,19,J.B. Holmes,54,27.14,19.0,70,E
19,20,20,Byeong Hun An,54,26.92,21.0,78,+0.10
20,21,T22,Brooks Koepka,49,26.67,16.0,60,-0.38
21,22,21,Sam Burns,66,26.56,34.0,128,-0.35
22,23,T22,Kevin Tway,62,26.09,24.0,92,-0.46
23,24,T22,Jhonattan Vegas,60,25.0,29.0,116,-0.52
24,25,25,Martin Trainer,51,24.51,25.0,102,-0.40
25,26,26,Cameron Davis,54,24.04,25.0,104,-0.24
26,27,27,Xander Schauffele,55,23.61,17.0,72,-0.47
27,28,31,Sergio Garcia,39,23.21,13.0,56,-0.23
28,29,28,Rickie Fowler,54,23.0,23.0,100,-0.13
29,30,29,Paul Casey,51,22.73,15.0,66,-0.47
30,31,30,Justin Rose,42,21.88,14.0,64,-0.43
31,32,32,Louis Oosthuizen,43,20.83,10.0,48,-0.20
32,33,38,Sepp Straka,48,20.65,19.0,92,-0.32
33,34,34,Hideki Matsuyama,59,20.45,18.0,88,-0.22
34,35,35,Keith Mitchell,64,20.41,20.0,98,-0.60
35,T36,36,Brendan Steele,50,20.0,16.0,80,-0.31
36,T36,37,Harold Varner III,62,20.0,24.0,120,-0.46
37,38,33,Brandon Harkins,67,19.84,25.0,126,-0.36
38,39,999,Shane Lowry,30,19.57,9.0,46,-0.22
39,40,39,Jason Kokrak,68,18.75,21.0,112,-0.33
40,41,40,Max Homa,61,18.64,22.0,118,-0.55
41,42,43,Aaron Wise,52,17.78,16.0,90,-0.38
42,43,T45,D.J. Trahan,33,17.74,11.0,62,-0.73
43,44,41,Justin Thomas,49,17.65,12.0,68,-0.25
44,45,44,Danny Lee,66,17.5,21.0,120,-0.43
45,46,T45,Keegan Bradley,65,17.39,16.0,92,-0.50
46,47,51,Nick Watney,67,17.27,19.0,110,-0.47
47,48,42,Alex Prugh,54,17.0,17.0,100,-0.24
48,49,T45,Tyrrell Hatton,46,16.67,10.0,60,-0.30
49,50,48,Charles Howell III,64,16.33,16.0,98,-0.19
50,51,49,Cameron Smith,55,16.18,11.0,68,-0.27
51,52,52,Patrick Rodgers,44,15.91,14.0,88,-0.71
52,53,53,Bryson DeChambeau,45,15.79,12.0,76,-0.17
53,54,50,Carlos Ortiz,60,15.52,18.0,116,-0.56
