,Driving_Pct._280-300_All_Drives_RANK THIS WEEK,Driving_Pct._280-300_All_Drives_RANK LAST WEEK,Driving_Pct._280-300_All_Drives_PLAYER NAME,Driving_Pct._280-300_All_Drives_ROUNDS,Driving_Pct._280-300_All_Drives_%,Driving_Pct._280-300_All_Drives_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._280-300_All_Drives_RELATIVE TO PAR
0,1,3,Sungjae Im,88,38.19,362,948,-0.086
1,2,4,Joel Dahmen,78,38.08,297,780,-0.108
2,3,1,Chris Thompson,34,37.99,117,308,-0.060
3,4,5,Beau Hossler,66,37.92,270,712,-0.007
4,5,7,James Hahn,34,37.39,89,238,+0.034
5,6,8,Si Woo Kim,65,37.36,204,546,-0.132
6,7,2,John Chin,38,37.34,115,308,+0.052
7,8,9,J.J. Spaun,68,37.27,240,644,-0.042
8,9,11,Brian Harman,67,37.13,254,684,-0.020
9,10,6,Dylan Frittelli,55,36.93,226,612,-0.062
10,11,13,J.T. Poston,76,36.69,328,894,-0.049
11,12,10,Nick Taylor,70,36.62,301,822,-0.060
12,13,12,Kramer Hickok,59,36.49,208,570,-0.024
13,14,14,Matt Every,38,36.29,127,350,-0.142
14,T15,37,Sangmoon Bae,42,36.19,131,362,-0.069
15,T15,15,Julián Etulain,55,36.19,186,514,-0.038
16,T15,21,Joey Garber,44,36.19,131,362,+0.008
17,18,18,Ryan Blaum,67,36.18,267,738,-0.064
18,19,22,Daniel Berger,48,36.06,207,574,-0.058
19,20,19,Tiger Woods,31,36.05,106,294,-0.113
20,21,25,Richy Werenski,63,35.81,255,712,-0.110
21,22,23,Russell Knox,65,35.78,244,682,-0.164
22,23,17,Peter Malnati,64,35.77,264,738,-0.106
23,24,16,Kelly Kraft,67,35.63,233,654,-0.064
24,25,27,Michael Thompson,56,35.53,248,698,-0.129
25,26,28,Kiradech Aphibarnrat,49,35.5,164,462,-0.043
26,27,24,Nate Lashley,44,35.48,154,434,-0.136
27,28,29,Matt Wallace,31,35.39,109,308,+0.018
28,29,T41,Scott Brown,66,35.37,237,670,-0.093
29,30,T30,Roger Sloan,62,35.33,236,668,-0.051
30,31,34,Bronson Burgoon,37,35.22,143,406,+0.042
31,32,35,Tommy Fleetwood,43,35.16,128,364,-0.055
32,33,36,Justin Harding,31,35.12,59,168,+0.051
33,34,T30,Bill Haas,58,35.0,224,640,-0.031
34,35,39,Shawn Stefani,57,34.87,189,542,-0.021
35,36,38,Abraham Ancer,69,34.84,239,686,-0.059
36,37,26,Stephan Jaeger,59,34.79,199,572,-0.030
37,38,40,John Senden,39,34.73,116,334,-0.086
38,39,43,Martin Kaymer,38,34.66,165,476,+0.006
39,40,T41,Bud Cauley,61,34.59,256,740,-0.078
40,41,T51,Adam Hadwin,66,34.58,222,642,-0.032
41,T42,32,Anders Albertson,48,34.45,164,476,-0.006
42,T42,44,Tyrrell Hatton,46,34.45,144,418,-0.035
43,44,48,José de Jesús Rodríguez,51,34.43,168,488,-0.071
44,45,33,Sebastián Muñoz,58,34.41,192,558,-0.099
45,46,46,Kyle Stanley,53,34.33,149,434,+0.040
46,47,47,Rory Sabbatini,71,34.31,258,752,-0.128
47,48,45,Roberto Díaz,51,34.28,157,458,-0.153
48,49,49,Vaughn Taylor,69,34.16,276,808,-0.170
49,T50,T51,John Huh,35,34.13,129,378,-0.078
50,T50,50,Ben Silverman,54,34.13,200,586,-0.115
51,52,53,Adam Svensson,51,34.11,176,516,-0.063
52,53,56,Corey Conners,62,34.05,205,602,-0.034
53,54,T66,Rod Pampling,40,34.04,128,376,+0.047
54,55,54,Jason Dufner,56,34.01,185,544,-0.059
55,56,57,Kyoung-Hoon Lee,72,33.9,218,643,-0.032
56,57,T82,Zach Johnson,50,33.86,193,570,-0.114
57,58,T66,Hudson Swafford,59,33.84,222,656,+0.045
58,59,59,Adam Long,52,33.77,208,616,-0.010
59,60,55,Sam Saunders,53,33.75,216,640,-0.009
60,61,60,Charley Hoffman,58,33.74,164,486,-0.018
