,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
180,181,193,John Chin,14,"32' 3""",4189.0,130
181,182,190,Peter Uihlein,22,"32' 4""",9152.833,283
182,T183,T179,Cameron Champ,19,"32' 5""",9273.583,286
183,T183,T191,Jim Knous,17,"32' 5""",7351.0830000000005,227
184,T185,T179,Matt Every,12,"32' 6""",3708.5,114
185,T185,181,Chris Stroud,19,"32' 6""",7837.0,241
186,T185,T182,Kevin Tway,19,"32' 6""",9231.333,284
187,188,T182,Luke List,16,"32' 11""",8428.917,256
188,189,184,Sam Burns,22,"33' 0""",10421.917,316
189,T190,T185,Jason Day,14,"33' 1""",4132.333,125
190,T190,T185,Grayson Murray,14,"33' 1""",5419.8330000000005,164
191,192,T185,Danny Lee,20,"33' 2""",11018.667,332
192,193,188,Hideki Matsuyama,15,"33' 3""",7113.5830000000005,214
193,194,189,Tony Finau,17,"33' 4""",8193.083,246
194,195,T191,Chesson Hadley,20,"33' 6""",8443.417,252
195,196,T194,Trey Mullinax,20,"33' 8""",11527.333,342
196,197,T194,Michael Kim,21,"33' 9""",7601.0,225
197,198,196,Jimmy Walker,17,"34' 0""",9548.0,281
198,199,198,Ollie Schniederjans,22,"34' 5""",10911.833,317
199,200,197,Bill Haas,18,"34' 8""",8247.583,238
200,201,200,Cameron Davis,18,"35' 2""",7598.75,216
201,202,201,Stewart Cink,12,"35' 7""",4697.667,132
202,203,202,Charl Schwartzel,13,"35' 11""",4060.083,113
203,204,199,Seamus Power,21,"36' 0""",8899.667,247
204,205,203,Wyndham Clark,20,"36' 6""",10834.25,297
205,206,205,Cody Gribble,18,"37' 2""",8808.083,237
206,207,206,J.B. Holmes,18,"37' 10""",6956.75,184
207,208,204,Phil Mickelson,13,"37' 11""",7590.5830000000005,200
208,209,207,Martin Trainer,19,"39' 8""",10588.5,267
