,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
108,T109,T112,Sam Burns,66,1.493,95.52799999999999,64,,1.422
109,T109,T114,Brian Gay,79,1.493,68.678,46,,1.436
110,T109,T109,Kramer Hickok,59,1.493,82.101,55,,1.411
111,T109,T112,Ollie Schniederjans,63,1.493,86.586,58,,1.386
112,T109,T123,Nick Taylor,70,1.493,116.434,78,,1.395
113,T114,T96,Brian Harman,67,1.492,56.696999999999996,38,,1.444
114,T114,T123,J.B. Holmes,54,1.492,58.172,39,,1.389
115,T116,T118,Roberto Castro,54,1.4909999999999999,93.925,63,,1.421
116,T116,T114,Kyle Jones,49,1.4909999999999999,90.959,61,,1.4369999999999998
117,T116,T118,Jason Kokrak,68,1.4909999999999999,90.936,61,,1.435
118,T116,T123,Graeme McDowell,61,1.4909999999999999,87.994,59,,1.436
119,T116,T114,Ryan Palmer,56,1.4909999999999999,104.376,70,,1.419
120,T116,T118,Adam Scott,41,1.4909999999999999,32.797,22,,1.4509999999999998
121,T116,T118,Brendan Steele,50,1.4909999999999999,105.846,71,,1.425
122,T116,T75,Bubba Watson,47,1.4909999999999999,26.842,18,,1.46
123,T124,T123,Daniel Berger,48,1.49,108.749,73,,1.415
124,T124,T123,Jonas Blixt,66,1.49,134.086,90,,1.4280000000000002
125,T124,T75,John Chin,38,1.49,28.303,19,,1.426
126,T124,T131,Wyndham Clark,61,1.49,65.558,44,,1.436
127,T124,T123,Jim Herman,37,1.49,55.141999999999996,37,,1.4240000000000002
128,T124,T123,Beau Hossler,66,1.49,108.766,73,,1.432
129,T124,T131,Stephan Jaeger,59,1.49,80.475,54,,1.432
130,T124,T123,Kyoung-Hoon Lee,72,1.49,129.653,87,,1.439
131,T124,T114,Roger Sloan,62,1.49,117.71700000000001,79,,1.3869999999999998
132,T124,T138,J.J. Spaun,68,1.49,77.46600000000001,52,,1.44
133,T134,T131,Tyrrell Hatton,46,1.489,50.608999999999995,34,,1.4469999999999998
134,T134,T131,Max Homa,61,1.489,84.90100000000001,57,,1.395
135,T134,T131,Hideki Matsuyama,59,1.489,69.96300000000001,47,,1.449
136,T134,T131,Matt Wallace,31,1.489,17.865,12,,1.44
137,T138,T138,Julián Etulain,55,1.4880000000000002,60.995,41,,1.4280000000000002
138,T138,T138,Luke List,52,1.4880000000000002,92.26299999999999,62,,1.415
139,T138,T138,Peter Malnati,64,1.4880000000000002,132.465,89,,1.429
140,T138,T131,Hudson Swafford,59,1.4880000000000002,113.074,76,,1.44
141,T142,T142,Cameron Champ,58,1.4869999999999999,59.461000000000006,40,,1.435
142,T142,T142,Matthew Fitzpatrick,42,1.4869999999999999,66.911,45,,1.4180000000000001
143,T142,T142,Lucas Glover,62,1.4869999999999999,83.258,56,,1.419
144,T142,T142,Marc Leishman,52,1.4869999999999999,52.04600000000001,35,,1.42
145,T146,T146,Billy Horschel,73,1.486,84.71600000000001,57,,1.426
146,T146,T146,Matt Jones,67,1.486,77.278,52,,1.413
147,T146,T118,Alex Noren,49,1.486,90.67,61,,1.435
148,T146,T146,Chez Reavie,67,1.486,69.865,47,,1.401
149,T150,T150,Stewart Cink,33,1.485,47.507,32,,1.439
150,T150,T158,Nate Lashley,44,1.485,80.192,54,,1.416
151,T150,T150,Keith Mitchell,64,1.485,90.598,61,,1.426
152,T150,T150,Patrick Rodgers,44,1.485,56.417,38,,1.449
153,T150,T150,Henrik Stenson,46,1.485,28.206,19,,1.4069999999999998
154,T155,T146,Mackenzie Hughes,58,1.484,130.628,88,,1.431
155,T155,T154,"Ted Potter, Jr.",56,1.484,93.49600000000001,63,,1.409
156,T155,T154,Xander Schauffele,55,1.484,43.033,29,,1.4469999999999998
157,T155,T154,Brandt Snedeker,68,1.484,94.98899999999999,64,,1.409
158,159,T158,Peter Uihlein,65,1.483,96.40799999999999,65,,1.406
159,T160,T160,Tony Finau,61,1.482,91.881,62,,1.431
160,T160,T160,Emiliano Grillo,65,1.482,81.525,55,,1.425
161,T160,T160,Kevin Kisner,65,1.482,68.165,46,,1.439
162,T160,T160,Russell Knox,65,1.482,100.809,68,,1.3969999999999998
163,T160,T166,Alex Prugh,54,1.482,78.572,53,,1.4569999999999999
164,T160,T160,Jon Rahm,51,1.482,41.501000000000005,28,,1.44
165,T166,T160,Seth Reeves,52,1.4809999999999999,50.336999999999996,34,,1.392
166,T166,T166,Sam Ryder,52,1.4809999999999999,79.967,54,,1.4140000000000001
167,T166,T166,Rory Sabbatini,71,1.4809999999999999,134.78799999999998,91,,1.386
