,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
195,196,196,Peter Uihlein,65,387,192,195
196,197,192,Martin Kaymer,38,388,190,198
197,198,T193,Haotong Li,32,392,192,200
198,199,195,Pat Perez,52,395,195,200
199,200,199,Charl Schwartzel,34,397,201,196
200,201,198,Kevin Na,54,398,206,192
201,202,197,Talor Gooch,37,401,196,205
202,203,201,Adam Scott,41,404,200,204
203,T204,202,Freddie Jacobson,37,405,205,200
204,T204,203,Adam Schenk,80,405,198,207
205,206,204,Satoshi Kodaira,51,410,207,203
206,207,205,Tiger Woods,31,412,203,209
207,208,206,Patrick Reed,53,414,208,206
208,209,207,Andrew Putnam,57,416,209,207
