,Driving_Pct._260-280_Measured_RANK THIS WEEK,Driving_Pct._260-280_Measured_RANK LAST WEEK,Driving_Pct._260-280_Measured_PLAYER NAME,Driving_Pct._260-280_Measured_ROUNDS,Driving_Pct._260-280_Measured_%,Driving_Pct._260-280_Measured_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_Measured_TOTAL DRVS - OVERALL,Driving_Pct._260-280_Measured_RELATIVE TO PAR
0,1,1,D.A. Points,33,50.0,33,66,-0.03
1,2,2,Brian Stuard,76,46.88,60,128,-0.15
2,3,5,Scott Langley,60,45.69,53,116,-0.28
3,4,3,Brian Gay,79,45.52,61,134,-0.05
4,5,4,Ryan Armour,66,44.83,52,116,-0.02
5,6,6,Alex Cejka,41,44.59,33,74,-0.03
6,7,7,Jim Furyk,53,41.67,40,96,-0.25
7,8,8,Andrew Putnam,57,40.0,32,80,-0.19
8,9,9,Johnson Wagner,45,39.53,34,86,-0.06
9,10,11,Matthew Fitzpatrick,42,37.1,23,62,E
10,11,10,Henrik Stenson,46,36.76,25,68,E
11,12,14,Vaughn Taylor,69,35.82,48,134,-0.17
12,T13,12,Austin Cook,50,35.53,27,76,-0.11
13,T13,15,Pat Perez,52,35.53,27,76,+0.04
14,15,13,Brian Harman,67,35.09,40,114,E
15,16,17,Freddie Jacobson,37,34.29,24,70,E
16,17,16,Jonathan Byrd,43,34.15,28,82,-0.32
17,18,19,Ryan Moore,54,33.7,31,92,-0.13
18,19,18,Tyler Duncan,66,33.59,43,128,E
19,20,T26,Brandt Snedeker,68,33.33,34,102,+0.12
20,21,20,Kevin Kisner,65,33.0,33,100,-0.27
21,22,24,Kyle Jones,49,32.98,31,94,+0.06
22,23,21,Rafa Cabrera Bello,57,32.89,25,76,+0.04
23,24,22,Kyle Stanley,53,32.81,21,64,-0.05
24,25,T26,José de Jesús Rodríguez,51,32.35,33,102,-0.06
25,26,34,Fabián Gómez,44,31.82,28,88,-0.11
26,27,35,Adam Svensson,51,31.63,31,98,E
27,T28,T28,Anirban Lahiri,54,31.52,29,92,-0.10
28,T28,T28,"Ted Potter, Jr.",56,31.52,29,92,-0.24
29,30,32,Chez Reavie,67,31.25,30,96,-0.20
30,T31,31,Whee Kim,57,31.11,28,90,-0.11
31,T31,33,Chris Kirk,47,31.11,28,90,-0.04
32,33,30,David Hearn,41,31.08,23,74,-0.09
33,34,23,Roberto Castro,54,31.0,31,100,+0.03
34,35,36,Satoshi Kodaira,51,30.56,22,72,+0.14
35,36,42,Ben Crane,41,30.49,25,82,-0.36
36,37,25,Joey Garber,44,30.0,24,80,+0.04
37,38,40,Tom Hoge,70,29.84,37,124,+0.03
38,39,45,Ben Silverman,54,29.63,32,108,-0.03
39,40,44,Martin Kaymer,38,29.41,20,68,-0.05
40,41,41,Zach Johnson,50,29.35,27,92,-0.11
41,42,38,Brice Garnett,63,29.25,31,106,-0.03
42,43,T52,Brady Schnell,38,28.95,22,76,-0.09
43,44,50,Josh Teater,47,28.89,26,90,-0.15
44,45,47,James Hahn,34,28.85,15,52,-0.13
45,46,T55,Kelly Kraft,67,28.81,34,118,+0.09
46,47,48,Russell Knox,65,28.7,31,108,-0.16
47,48,43,Graeme McDowell,61,28.3,30,106,-0.37
48,49,39,Scott Brown,66,28.23,35,124,-0.29
49,50,46,Denny McCarthy,63,27.97,33,118,-0.12
50,51,T52,Roberto Díaz,51,27.66,26,94,-0.27
51,52,T55,Ernie Els,43,27.27,18,66,E
52,53,57,Jason Dufner,56,27.17,25,92,+0.04
53,54,59,Andrew Landry,56,27.08,26,96,-0.19
54,55,58,Richy Werenski,63,27.05,33,122,-0.18
55,56,60,John Senden,39,27.03,20,74,-0.25
56,57,61,Rory Sabbatini,71,26.87,36,134,-0.22
57,58,51,Robert Streb,60,26.79,30,112,+0.17
58,59,49,Wes Roach,45,26.74,23,86,-0.17
59,60,T62,Jonas Blixt,66,26.56,34,128,+0.18
60,61,54,Nick Taylor,70,26.52,35,132,-0.06
61,T62,64,Aaron Baddeley,51,26.47,27,102,+0.04
62,T62,T62,Rod Pampling,40,26.47,18,68,+0.11
63,64,T73,Russell Henley,56,25.96,27,104,-0.11
64,65,T73,Matt Kuchar,65,25.93,28,108,-0.32
65,66,68,Michael Thompson,56,25.89,29,112,+0.03
66,67,69,Kyoung-Hoon Lee,72,25.78,33,128,-0.03
67,68,T70,John Huh,35,25.71,18,70,+0.06
68,69,66,Kramer Hickok,59,25.42,30,118,-0.13
69,70,72,Ryan Blaum,67,25.4,32,126,-0.13
70,T71,T73,Anders Albertson,48,25.0,23,92,E
71,T71,67,Bill Haas,58,25.0,27,108,+0.11
72,T71,83,Adam Hadwin,66,25.0,27,108,-0.07
73,T71,T73,Justin Harding,31,25.0,6,24,+0.33
74,T71,65,J.J. Henry,42,25.0,19,76,+0.05
75,76,78,Michael Kim,51,24.36,19,78,+0.21
76,77,T70,Jim Herman,37,24.32,18,74,-0.06
77,78,80,Kevin Na,54,24.24,16,66,+0.13
78,79,T73,Peter Malnati,64,24.17,29,120,-0.07
79,80,81,Abraham Ancer,69,24.11,27,112,+0.07
80,81,84,Chris Stroud,54,24.0,24,100,-0.21
81,82,90,Webb Simpson,53,23.91,22,92,E
82,83,85,Cameron Smith,55,23.53,16,68,+0.06
83,T84,86,Tyrrell Hatton,46,23.33,14,60,+0.36
84,T84,999,Martin Piller,30,23.33,14,60,-0.21
85,86,82,J.J. Spaun,68,23.21,26,112,-0.27
86,87,79,Danny Willett,47,23.17,19,82,+0.11
87,T88,T87,Billy Horschel,73,23.0,23,100,+0.17
88,T88,T87,C.T. Pan,64,23.0,23,100,-0.09
89,90,89,Louis Oosthuizen,43,22.92,11,48,+0.27
90,T91,97,Matt Every,38,22.06,15,68,E
91,T91,94,Troy Merritt,42,22.06,15,68,-0.13
92,93,T95,Adam Long,52,22.0,22,100,-0.14
93,94,999,Shane Lowry,30,21.74,10,46,+0.10
94,95,T98,Ian Poulter,49,21.67,13,60,-0.31
95,96,91,Scott Piercy,70,21.55,25,116,+0.20
96,97,100,Kevin Streelman,63,21.31,26,122,-0.27
97,98,101,Bronson Burgoon,37,21.21,14,66,+0.29
98,T99,T102,Francesco Molinari,41,21.15,11,52,+0.18
99,T99,T102,Charl Schwartzel,34,21.15,11,52,E
100,101,T92,John Chin,38,21.05,16,76,E
101,102,106,Jordan Spieth,57,21.0,21,100,+0.05
102,103,107,Kiradech Aphibarnrat,49,20.59,14,68,+0.14
103,104,108,Joel Dahmen,78,20.45,27,132,+0.04
