,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
154,155,128,Julián Etulain,55,-0.321,-0.36200000000000004,-0.133,0.175,37
155,156,152,Ernie Els,43,-0.332,-0.46399999999999997,-0.23,0.36200000000000004,26
156,157,T156,Harris English,72,-0.33299999999999996,-0.162,-0.29100000000000004,0.11900000000000001,58
157,158,163,Alex Cejka,41,-0.35700000000000004,0.017,-0.016,-0.358,27
158,159,T156,Tyler Duncan,66,-0.371,0.122,-0.20800000000000002,-0.285,46
159,160,169,Peter Uihlein,65,-0.374,-0.252,-0.188,0.065,43
160,161,175,Rod Pampling,40,-0.382,-0.098,-0.595,0.311,27
161,162,178,Jonathan Byrd,43,-0.38299999999999995,-0.615,-0.035,0.266,28
162,163,151,Brice Garnett,63,-0.384,0.146,-0.26,-0.26899999999999996,41
163,164,159,John Senden,39,-0.406,-0.34,0.04,-0.106,24
164,165,162,Ryan Blaum,67,-0.44299999999999995,-0.040999999999999995,-0.33299999999999996,-0.068,53
165,166,164,Sam Burns,66,-0.457,0.22399999999999998,-0.294,-0.387,54
166,167,186,Chris Thompson,34,-0.49,-0.252,-0.105,-0.133,22
167,T168,165,Roberto Díaz,51,-0.49200000000000005,-0.013000000000000001,-0.396,-0.083,33
168,T168,153,J.J. Henry,42,-0.49200000000000005,-0.073,-0.221,-0.19699999999999998,27
169,170,168,Chase Wright,53,-0.527,0.028999999999999998,-0.33399999999999996,-0.222,39
170,171,167,Wyndham Clark,61,-0.5329999999999999,0.037000000000000005,-0.636,0.066,47
171,172,170,Jim Herman,37,-0.5579999999999999,0.113,-0.24,-0.431,27
172,173,177,David Hearn,41,-0.561,-0.042,-0.21899999999999997,-0.301,24
173,174,999,Tyrone Van Aswegen,30,-0.5870000000000001,-0.86,0.38299999999999995,-0.109,19
174,175,172,Patton Kizzire,58,-0.588,-0.507,-0.044000000000000004,-0.037000000000000005,37
175,T176,182,Sangmoon Bae,42,-0.603,0.001,-0.33,-0.27399999999999997,26
176,T176,166,Johnson Wagner,45,-0.603,-0.25,-0.033,-0.319,32
177,178,173,Ollie Schniederjans,63,-0.604,-0.237,-0.35100000000000003,-0.016,47
178,179,171,Brian Gay,79,-0.618,-0.248,-0.461,0.091,58
179,180,187,José de Jesús Rodríguez,51,-0.628,-0.243,-0.426,0.042,35
180,181,176,Hunter Mahan,45,-0.642,0.42100000000000004,-0.615,-0.44799999999999995,33
181,182,174,Brady Schnell,38,-0.682,-0.28,-0.182,-0.22,26
182,183,181,John Huh,35,-0.708,-0.377,-0.043,-0.28800000000000003,27
183,184,183,Stewart Cink,33,-0.738,-0.677,-0.303,0.242,21
184,185,185,Beau Hossler,66,-0.778,-0.069,-0.593,-0.11699999999999999,51
185,186,179,Chris Stroud,54,-0.784,-0.62,-0.156,-0.008,40
186,187,188,Grayson Murray,36,-0.809,0.063,-0.631,-0.24100000000000002,26
187,188,184,Seamus Power,58,-0.82,-0.111,-0.872,0.163,44
188,189,180,Kelly Kraft,67,-0.825,-0.381,-0.187,-0.257,47
189,190,189,Kyle Jones,49,-0.861,-0.16399999999999998,-0.647,-0.05,35
190,191,190,Anirban Lahiri,54,-0.873,-0.45899999999999996,-0.237,-0.17800000000000002,40
191,192,192,"Ted Potter, Jr.",56,-0.932,-0.271,-0.233,-0.428,43
192,193,195,Scott Langley,60,-0.9940000000000001,-0.675,-0.465,0.145,48
193,194,202,Joey Garber,44,-1.0090000000000001,0.031,-0.905,-0.134,26
194,195,198,Ben Crane,41,-1.0190000000000001,-0.746,-0.157,-0.11599999999999999,27
195,196,191,Seth Reeves,52,-1.0490000000000002,0.369,-1.0759999999999998,-0.342,36
196,197,194,Justin Harding,31,-1.062,0.215,-1.173,-0.10400000000000001,12
197,198,193,Dominic Bozzelli,53,-1.075,-0.27699999999999997,-0.6920000000000001,-0.105,33
198,199,196,Martin Trainer,51,-1.1540000000000001,-0.14400000000000002,-1.147,0.138,40
199,200,203,Cody Gribble,52,-1.161,-0.431,-0.574,-0.156,40
200,201,197,Satoshi Kodaira,51,-1.206,-0.382,-0.299,-0.526,35
201,202,199,Charl Schwartzel,34,-1.317,-1.526,-0.025,0.23399999999999999,15
202,203,200,Whee Kim,57,-1.319,-1.146,0.042,-0.214,31
203,T204,204,John Chin,38,-1.328,-0.344,-0.67,-0.314,22
204,T204,201,Freddie Jacobson,37,-1.328,-0.732,-0.242,-0.353,24
205,206,205,Curtis Luck,51,-1.554,-0.573,-0.764,-0.217,32
206,207,206,D.A. Points,33,-1.656,-0.721,-0.47600000000000003,-0.45899999999999996,19
207,208,207,Michael Kim,51,-1.661,-1.546,-0.33,0.215,35
208,209,999,Martin Piller,30,-1.794,-0.6509999999999999,-1.227,0.085,17
