,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
174,T175,T177,Tom Hoge,24,"26' 10""",10188.75,380
175,T175,172,Denny McCarthy,20,"26' 10""",10612.5,395
176,T175,171,Gary Woodland,17,"26' 10""",9707.667,362
177,178,T186,Henrik Stenson,12,"26' 11""",8799.5,327
178,T179,T175,Ian Poulter,13,"27' 1""",7358.75,272
179,T179,T175,Jordan Spieth,16,"27' 1""",8644.5,319
180,181,T177,Patton Kizzire,18,"27' 3""",8049.5,295
181,T182,182,Keegan Bradley,18,"27' 4""",11124.917,407
182,T182,179,Grayson Murray,14,"27' 4""",4782.667,175
183,T184,T192,Justin Thomas,13,"27' 6""",7169.9169999999995,261
184,T184,191,Peter Uihlein,22,"27' 6""",7693.6669999999995,280
185,186,T186,Aaron Wise,16,"27' 7""",8695.25,315
186,T187,T180,Pat Perez,16,"27' 8""",6883.5830000000005,249
187,T187,T199,Wes Roach,14,"27' 8""",6968.25,252
188,T187,185,Bubba Watson,13,"27' 8""",7600.5830000000005,275
189,T190,T186,Brooks Koepka,13,"27' 9""",6681.5830000000005,241
190,T190,T192,Brady Schnell,14,"27' 9""",6417.4169999999995,231
191,T190,T186,Cameron Tringale,15,"27' 9""",7074.5830000000005,255
192,T193,T183,Keith Mitchell,19,"27' 10""",9574.667,344
193,T193,T196,Hudson Swafford,20,"27' 10""",10102.75,363
194,195,T196,Johnson Wagner,14,"27' 11""",8020.5830000000005,287
195,T196,T186,Charles Howell III,19,"28' 0""",10131.583,362
196,T196,999,Tyrone Van Aswegen,11,"28' 0""",3805.917,136
197,T196,T199,Jimmy Walker,17,"28' 0""",9221.5,329
198,T199,T192,Justin Harding,9,"28' 2""",3549.333,126
199,T199,T192,Patrick Reed,15,"28' 2""",7936.1669999999995,282
200,201,198,Whee Kim,21,"28' 6""",6831.0,240
201,T202,999,Martin Piller,10,"29' 0""",3912.167,135
202,T202,201,Patrick Rodgers,14,"29' 0""",8406.417,290
203,T204,202,Troy Merritt,12,"29' 2""",9196.0,315
204,T204,205,Kevin Tway,19,"29' 2""",9278.417,318
205,206,203,Seamus Power,21,"29' 7""",9932.167,336
206,207,204,Ollie Schniederjans,22,"30' 1""",8742.75,291
207,208,206,Ernie Els,14,"31' 3""",6277.5,201
208,209,207,Michael Kim,21,"31' 7""",7730.3330000000005,245
