,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Hudson Swafford,73,-.364
1,2,2,Abraham Ancer,98,-.361
2,3,3,Hunter Mahan,67,-.333
3,4,4,Jamie Lovemark,92,-.237
4,5,5,Tyrrell Hatton,58,-.167
5,6,6,Jonas Blixt,67,-.158
6,7,7,Billy Horschel,86,-.154
7,8,8,Matt Kuchar,88,-.133
8,9,9,Henrik Stenson,60,-.125
9,10,10,Chris Kirk,108,-.121
10,T11,T11,Keith Mitchell,99,-.071
11,T11,T11,Adam Scott,78,-.071
12,13,13,Seamus Power,86,-.065
13,T14,T14,Ian Poulter,73,-.059
14,T14,T14,Rory Sabbatini,91,-.059
15,16,16,Ben Silverman,90,-.053
16,17,17,Keegan Bradley,98,-.043
17,18,18,Patrick Cantlay,87,-.038
18,19,19,Kevin Streelman,94,-.037
19,20,20,Ryan Armour,109,-.036
20,21,21,Brian Stuard,103,-.034
21,22,22,Justin Thomas,91,-.031
22,23,23,Brooks Koepka,64,-.024
23,T24,T24,Matt Atkins,56,E
24,T24,T24,Bud Cauley,55,E
25,T24,T24,Stewart Cink,87,E
26,T24,T24,Robert Garrigus,80,E
27,T24,T24,Lanto Griffin,80,E
28,T24,T24,Dustin Johnson,77,E
29,T24,T24,Russell Knox,94,E
30,T24,T24,Luke List,98,E
31,T24,T24,Hideki Matsuyama,75,E
32,T24,T24,Trey Mullinax,75,E
33,T24,T24,C.T. Pan,104,E
34,T24,T24,Justin Rose,70,E
35,T24,T24,Conrad Shindler,60,E
36,T24,T24,Cameron Smith,85,E
37,T24,T24,Brandt Snedeker,84,E
38,T24,T24,Kyle Thompson,50,E
39,T24,T24,Bubba Watson,90,E
40,T24,T24,Xinjun Zhang,81,E
41,42,42,Austin Cook,107,+.034
42,43,43,Adam Schenk,86,+.036
43,44,44,Patton Kizzire,92,+.045
44,45,45,Louis Oosthuizen,62,+.048
45,46,46,Vaughn Taylor,83,+.050
46,47,47,Andrew Putnam,97,+.051
47,48,48,Jason Kokrak,99,+.054
48,T49,T49,Dominic Bozzelli,65,+.059
49,T49,T49,"Ted Potter, Jr.",87,+.059
50,51,51,Sam Saunders,80,+.061
51,52,52,Johnson Wagner,75,+.067
52,53,53,Tom Lovelady,87,+.069
53,54,54,Ollie Schniederjans,91,+.073
54,T55,T55,Corey Conners,97,+.074
55,T55,T55,Emiliano Grillo,94,+.074
56,T55,T55,Nick Taylor,94,+.074
57,T58,T58,Greg Chalmers,56,+.077
58,T58,T58,Brice Garnett,99,+.077
59,T58,T58,Retief Goosen,60,+.077
60,T58,T58,Cameron Percy,56,+.077
61,62,62,Nate Lashley,51,+.080
62,63,63,Tony Finau,105,+.081
63,T64,T64,Stephan Jaeger,81,+.083
64,T64,T64,Kelly Kraft,94,+.083
65,T64,T64,Danny Lee,88,+.083
66,T64,T64,Robert Streb,78,+.083
67,T64,T64,Nick Watney,94,+.083
68,T69,T69,Martin Laird,73,+.087
69,T69,T69,Shawn Stefani,76,+.087
70,T71,T71,Alex Cejka,77,+.091
71,T71,T71,Charles Howell III,104,+.091
72,T71,T71,Pat Perez,82,+.091
73,T74,T74,Tommy Fleetwood,73,+.095
74,T74,T74,Sean O'Hair,67,+.095
75,T76,T76,Troy Merritt,89,+.100
76,T76,T76,Phil Mickelson,90,+.100
77,T78,T78,Daniel Berger,81,+.105
78,T78,T78,Adam Hadwin,92,+.105
79,T78,T78,Brandon Harkins,101,+.105
80,81,81,Patrick Reed,94,+.108
81,T82,T82,Roberto Díaz,72,+.111
82,T82,T82,J.J. Henry,81,+.111
83,84,84,Denny McCarthy,71,+.115
84,T85,T85,Alex Noren,67,+.118
85,T85,T85,Rod Pampling,62,+.118
86,87,87,Jason Dufner,71,+.120
87,T88,T88,Bryson DeChambeau,93,+.121
88,T88,T88,Grayson Murray,72,+.121
89,T88,T88,Brendan Steele,74,+.121
90,T88,T88,Tyrone Van Aswegen,101,+.121
91,T92,T92,Rafa Cabrera Bello,75,+.125
92,T92,T92,Russell Henley,77,+.125
93,94,94,Peter Uihlein,83,+.132
94,95,95,Jimmy Walker,81,+.133
95,T96,T96,Chad Campbell,87,+.136
96,T96,T96,Paul Casey,74,+.136
97,T98,T98,Zach Johnson,94,+.139
98,T98,T98,Gary Woodland,96,+.139
99,T100,T100,Brian Harman,94,+.143
100,T100,T100,J.B. Holmes,77,+.143
101,T100,T100,Francesco Molinari,73,+.143
102,103,103,Ryan Blaum,81,+.147
103,104,104,Talor Gooch,78,+.152
104,T105,T105,Peter Malnati,87,+.154
105,T105,T105,Scott Stallings,96,+.154
106,T105,T105,Richy Werenski,98,+.154
107,108,108,Ethan Tracy,72,+.156
108,T109,T109,Jason Day,75,+.160
109,T109,T109,Sam Ryder,82,+.160
110,T109,T109,Steve Wheatcroft,60,+.160
111,112,112,Bill Haas,76,+.161
112,T113,T113,Ben Crane,65,+.167
113,T113,T113,Xander Schauffele,96,+.167
114,T113,T113,Webb Simpson,95,+.167
115,T113,T113,Daniel Summerhays,51,+.167
116,117,117,Aaron Wise,90,+.175
117,118,118,Martin Flores,92,+.179
118,119,119,Rory McIlroy,64,+.192
119,120,120,Fabián Gómez,88,+.194
120,T121,T121,Kiradech Aphibarnrat,51,+.200
121,T121,T121,Kevin Chappell,77,+.200
122,T121,T121,Joel Dahmen,93,+.200
123,T121,T121,J.T. Poston,73,+.200
124,T121,T121,Jhonattan Vegas,92,+.200
125,126,126,Marc Leishman,93,+.205
126,T127,T127,Billy Hurley III,70,+.207
127,T127,T127,Kevin Tway,110,+.207
128,T129,T129,Nicholas Lindheim,77,+.214
129,T129,T129,Scott Piercy,84,+.214
130,T129,T129,Andrew Yun,51,+.214
131,132,132,Jonathan Randolph,71,+.219
132,T133,T133,Blayne Barber,69,+.222
133,T133,T133,Zecheng Dou,53,+.222
134,135,135,Tyler Duncan,97,+.227
135,136,136,Scott Brown,102,+.231
136,137,137,Kevin Kisner,89,+.233
137,T138,T138,Bronson Burgoon,69,+.250
138,T138,T138,Cody Gribble,71,+.250
139,T138,T138,Chesson Hadley,103,+.250
140,T138,T138,David Hearn,66,+.250
141,T138,T138,Matt Jones,70,+.250
142,T138,T138,David Lingmerth,82,+.250
143,T138,T138,Ryan Moore,78,+.250
144,T138,T138,D.A. Points,63,+.250
145,T138,T138,Patrick Rodgers,97,+.250
146,T138,T138,Charl Schwartzel,65,+.250
147,148,148,Chris Stroud,81,+.258
148,149,149,Tom Hoge,101,+.259
149,150,150,Martin Piller,79,+.267
150,151,151,Brian Gay,103,+.270
151,152,152,Jonathan Byrd,70,+.273
152,T153,T153,Zac Blair,64,+.286
153,T153,T153,Beau Hossler,104,+.286
154,T155,T155,J.J. Spaun,85,+.292
155,T155,T155,Cameron Tringale,67,+.292
156,157,157,Kyle Stanley,93,+.294
157,T158,T158,Rickie Fowler,74,+.300
158,T158,T158,Satoshi Kodaira,51,+.300
159,T158,T158,Andrew Landry,82,+.300
160,T158,T158,Rob Oppenheim,74,+.300
161,162,162,Ryan Palmer,69,+.310
162,163,163,Ricky Barnes,65,+.313
163,164,164,Brett Stegmaier,67,+.316
164,165,165,Whee Kim,93,+.318
165,T166,T166,Byeong Hun An,86,+.333
166,T166,T166,Jim Furyk,50,+.333
167,T166,T166,James Hahn,85,+.333
168,169,169,John Huh,94,+.343
169,170,170,Si Woo Kim,108,+.344
170,171,171,Mackenzie Hughes,80,+.348
171,T172,T172,William McGirt,84,+.350
172,T172,T172,Chez Reavie,93,+.350
173,174,174,Harris English,84,+.360
174,T175,T175,Anirban Lahiri,82,+.364
175,T175,T175,Michael Thompson,62,+.364
176,177,177,Aaron Baddeley,84,+.367
177,178,178,Graeme McDowell,67,+.368
178,179,179,Branden Grace,67,+.381
179,180,180,Jordan Spieth,81,+.387
180,181,181,Kevin Na,91,+.400
181,182,182,Matt Every,79,+.409
182,183,183,Jon Rahm,71,+.417
183,184,184,Derek Fathauer,84,+.433
184,185,185,Harold Varner III,91,+.435
185,186,186,Ben Martin,64,+.500
186,187,187,Shane Lowry,64,+.526
187,188,188,Charley Hoffman,87,+.529
188,189,189,Wesley Bryan,69,+.571
189,190,190,Michael Kim,74,+.615
190,T191,T191,Lucas Glover,65,+.643
191,T191,T191,Tiger Woods,68,+.643
192,193,193,Sung Kang,89,+.706
