,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
126,T127,T127,Jon Curran,99,+.211
127,T127,T127,David Hearn,95,+.211
128,129,129,Retief Goosen,55,+.217
129,130,130,Billy Hurley III,66,+.222
130,131,131,Keegan Bradley,82,+.231
131,132,132,Stuart Appleby,71,+.235
132,133,133,Boo Weekley,83,+.238
133,134,134,Will MacKenzie,84,+.240
134,135,135,Ryan Palmer,86,+.243
135,T136,T136,Ernie Els,66,+.250
136,T136,T136,Robert Garrigus,69,+.250
137,138,138,Bronson Burgoon,83,+.257
138,139,139,Sean O'Hair,89,+.260
139,T140,T140,Dustin Johnson,87,+.261
140,T140,T140,Matt Jones,83,+.261
141,T142,T142,Si Woo Kim,113,+.267
142,T142,T142,Cameron Smith,73,+.267
143,T144,T144,Jason Gore,78,+.269
144,T144,T144,Greg Owen,85,+.269
145,T146,T146,Blayne Barber,84,+.273
146,T146,T146,John Huh,86,+.273
147,T146,T146,Graeme McDowell,63,+.273
148,T146,T146,Rory Sabbatini,57,+.273
149,150,150,D.H. Lee,61,+.286
150,151,151,Aaron Baddeley,93,+.294
151,T152,T152,Zach Johnson,90,+.300
152,T152,T152,Steve Wheatcroft,85,+.300
153,154,154,J.J. Henry,68,+.308
154,155,155,Steve Marino,72,+.320
155,156,156,Charl Schwartzel,73,+.321
156,T157,T157,Stewart Cink,61,+.333
157,T157,T157,Jim Furyk,52,+.333
158,T157,T157,Mark Hubbard,101,+.333
159,T157,T157,Bryce Molder,80,+.333
160,T157,T157,Jhonattan Vegas,97,+.333
161,162,162,Troy Merritt,77,+.344
162,163,163,Cameron Tringale,81,+.346
163,T164,T164,Rickie Fowler,80,+.348
164,T164,T164,Brendon Todd,66,+.348
165,166,166,Zac Blair,99,+.368
166,167,167,George McNeill,51,+.375
167,T168,T168,Hiroshi Iwata,85,+.387
168,T168,T168,Chez Reavie,90,+.387
169,170,170,Brian Stuard,66,+.400
170,171,171,Kyle Stanley,92,+.409
171,172,172,Willy Wilcox,67,+.421
172,173,173,Chad Campbell,90,+.429
173,174,174,Billy Horschel,73,+.455
174,175,175,Jason Dufner,105,+.458
175,176,176,Jonas Blixt,79,+.459
176,177,177,David Toms,62,+.462
177,178,178,Luke Guthrie,57,+.474
178,179,179,Kevin Chappell,93,+.478
179,180,180,Freddie Jacobson,86,+.485
180,T181,T181,Robert Allenby,51,+.500
181,T181,T181,Sam Saunders,69,+.500
182,T181,T181,Camilo Villegas,83,+.500
183,184,184,Steven Bowditch,71,+.529
184,185,185,Chesson Hadley,81,+.542
