,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,1,1,Bubba Watson,71,"51' 8""",16.747,27
1,2,2,Jonas Blixt,78,"51' 7""",11.752,19
2,3,3,Kevin Kisner,104,"50' 11""",14.675,24
3,4,4,Eric Axley,57,"50' 10""",7.32,12
4,5,5,Brendon de Jonge,106,"50' 3""",21.704,36
5,6,6,Brandt Snedeker,98,"49' 9""",19.099,32
6,T7,T7,Brian Stuard,97,"48' 10""",13.468,23
7,T7,T7,Johnson Wagner,68,"48' 10""",14.662,25
8,9,9,Bryce Molder,91,"48' 9""",14.046,24
9,T10,T10,Billy Hurley III,83,"48' 5""",9.291,16
10,T10,T10,Daniel Summerhays,101,"48' 5""",12.780999999999999,22
11,12,12,Phil Mickelson,70,"48' 3""",14.470999999999998,25
12,T13,T13,Oscar Fraustro,58,"48' 0""",12.094000000000001,21
13,T13,T13,Matt Kuchar,97,"48' 0""",12.095999999999998,21
14,T15,T15,Jason Day,75,"47' 10""",11.47,20
15,T15,T15,Scott Langley,94,"47' 10""",17.215999999999998,30
16,T15,T15,George McNeill,93,"47' 10""",22.394000000000002,39
17,18,18,Troy Merritt,91,"47' 9""",17.754,31
18,19,19,Ángel Cabrera,53,"47' 6""",11.979000000000001,21
19,20,20,Erik Compton,86,"47' 4""",14.761,26
20,21,21,John Senden,80,"47' 3""",14.737,26
21,22,22,Alex Prugh,84,"47' 0""",18.627,33
22,23,23,J.J. Henry,94,"46' 11""",18.577,33
23,24,24,Brice Garnett,81,"46' 10""",20.241,36
24,25,25,Andrew Putnam,68,"46' 7""",12.857999999999999,23
25,T26,T26,Chad Campbell,97,"46' 6""",22.893,41
26,T26,T26,Stewart Cink,77,"46' 6""",23.439,42
27,T26,T26,Dustin Johnson,75,"46' 6""",8.367,15
28,29,29,Billy Horschel,99,"46' 5""",20.034000000000002,36
29,T30,T30,Alex Cejka,94,"46' 4""",21.111,38
30,T30,T30,Justin Thomas,106,"46' 4""",23.365,42
31,T32,T32,Harris English,105,"46' 2""",13.857999999999999,25
32,T32,T32,Lee Westwood,56,"46' 2""",10.535,19
33,34,34,Martin Laird,77,"46' 1""",21.016,38
34,35,35,Ricky Barnes,82,"45' 10""",11.005,20
35,36,36,Spencer Levin,99,"45' 8""",20.285999999999998,37
36,T37,T37,Charley Hoffman,97,"45' 7""",16.412,30
37,T37,T37,Henrik Stenson,63,"45' 7""",13.126,24
38,T39,T39,Kevin Chappell,86,"45' 4""",17.423,32
39,T39,T39,Rickie Fowler,76,"45' 4""",7.614,14
40,T39,T39,Andres Gonzales,90,"45' 4""",15.787,29
41,42,42,Chris Stroud,84,"45' 3""",20.089000000000002,37
42,T43,T43,Jim Furyk,71,"45' 1""",12.440999999999999,23
43,T43,T43,J.B. Holmes,89,"45' 1""",18.384,34
44,T45,T45,Martin Flores,95,"45' 0""",23.755,44
45,T45,T45,Chez Reavie,56,"45' 0""",15.651,29
46,47,47,Hunter Mahan,88,"44' 11""",12.927,24
47,T48,T48,James Hahn,94,"44' 10""",15.058,28
48,T48,T48,Brendon Todd,96,"44' 10""",11.827,22
49,T50,T50,Jonathan Byrd,69,"44' 8""",16.093,30
50,T50,T50,Shawn Stefani,94,"44' 8""",19.835,37
51,T52,T52,Matt Every,73,"44' 7""",14.436,27
52,T52,T52,Francesco Molinari,56,"44' 7""",6.955,13
53,T52,T52,Jhonattan Vegas,90,"44' 7""",20.873,39
54,T55,T55,Blayne Barber,76,"44' 6""",18.677,35
55,T55,T55,Charles Howell III,105,"44' 6""",18.695999999999998,35
56,T57,T57,Robert Allenby,63,"44' 4""",17.548,33
57,T57,T57,K.J. Choi,66,"44' 4""",12.244000000000002,23
58,T57,T57,Jim Renner,68,"44' 4""",17.032,32
59,T60,T60,Tony Finau,106,"44' 3""",20.706999999999997,39
60,T60,T60,Heath Slocum,57,"44' 3""",11.157,21
61,62,62,Ernie Els,57,"44' 2""",8.482999999999999,16
62,T63,T63,Chad Collins,79,"44' 1""",13.764000000000001,26
63,T63,T63,Charl Schwartzel,67,"44' 1""",13.225,25
64,65,65,Gary Woodland,81,"44' 0""",10.564,20
65,T66,T66,Ryan Moore,81,"43' 11""",10.532,20
66,T66,T66,Mark Wilson,89,"43' 11""",20.011,38
67,68,68,Jimmy Walker,89,"43' 10""",15.253,29
68,69,69,Patrick Rodgers,57,"43' 9""",9.979,19
69,70,70,Scott Brown,97,"43' 8""",19.398,37
70,T71,T71,Daniel Berger,97,"43' 7""",25.609,49
71,T71,T71,Paul Casey,87,"43' 7""",15.17,29
72,T73,T73,Max Homa,78,"43' 6""",14.604000000000001,28
73,T73,T73,Pat Perez,96,"43' 6""",14.624,28
74,T73,T73,Jonathan Randolph,72,"43' 6""",16.183,31
75,T76,T76,Derek Ernst,75,"43' 5""",21.896,42
76,T76,T76,Ben Martin,93,"43' 5""",18.768,36
77,T76,T76,Camilo Villegas,83,"43' 5""",24.471,47
78,T79,T79,Justin Leonard,61,"43' 3""",8.828,17
79,T79,T79,David Toms,62,"43' 3""",9.342,18
80,T81,T81,Aaron Baddeley,76,"42' 11""",11.333,22
81,T81,T81,Carl Pettersson,106,"42' 11""",19.048,37
82,83,83,Geoff Ogilvy,50,"42' 10""",10.274000000000001,20
83,T84,T84,Jamie Donaldson,50,"42' 8""",5.636,11
84,T84,T84,Fabián Gómez,83,"42' 8""",16.394000000000002,32
85,T84,T84,Bill Haas,89,"42' 8""",19.442999999999998,38
86,T84,T84,Scott Pinckney,88,"42' 8""",17.908,35
87,T88,T88,Zac Blair,108,"42' 7""",15.335,30
88,T88,T88,Russell Knox,96,"42' 7""",17.875,35
89,T88,T88,Steve Wheatcroft,87,"42' 7""",17.379,34
90,91,91,Ken Duke,93,"42' 6""",23.947,47
91,92,92,John Merrick,78,"42' 5""",21.372,42
92,T93,T93,Robert Garrigus,70,"42' 4""",18.292,36
93,T93,T93,Boo Weekley,79,"42' 4""",19.816,39
94,T95,T95,Kyle Reifers,96,"42' 3""",23.328000000000003,46
95,T95,T95,Scott Stallings,60,"42' 3""",14.183,28
96,T95,T95,Willy Wilcox,58,"42' 3""",11.668,23
97,98,98,Carlos Ortiz,100,"42' 2""",20.741,41
98,T99,T99,Davis Love III,51,"42' 0""",12.104000000000001,24
99,T99,T99,Michael Putnam,87,"42' 0""",22.156999999999996,44
100,T99,T99,Andrew Svoboda,80,"42' 0""",21.689,43
101,102,102,Hideki Matsuyama,95,"41' 11""",16.089000000000002,32
102,T103,T103,Sung Joon Park,79,"41' 10""",17.555999999999997,35
103,T103,T103,Brendan Steele,88,"41' 10""",19.082,38
104,T105,T105,Kevin Na,98,"41' 8""",10.002,20
105,T105,T105,John Peterson,84,"41' 8""",13.511,27
106,T105,T105,Webb Simpson,81,"41' 8""",18.509,37
