,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Kevin Kisner,104,"50' 5""",1260.75,25
1,2,2,Bubba Watson,71,"49' 10""",1444.8329999999999,29
2,3,3,Brendon de Jonge,106,"49' 8""",1837.4170000000001,37
3,4,4,Scott Langley,94,"48' 5""",1500.1670000000001,31
4,5,5,Jonas Blixt,78,"48' 3""",1013.5,21
5,6,6,Oscar Fraustro,58,"47' 11""",1053.75,22
6,7,7,Brandt Snedeker,98,"47' 9""",1622.9170000000001,34
7,8,8,Brian Stuard,97,"47' 5""",1232.5,26
8,T9,T9,Sergio Garcia,59,"47' 2""",471.583,10
9,T9,T9,Lee Westwood,56,"47' 2""",990.5830000000001,21
10,11,11,Justin Thomas,106,"46' 11""",2204.5,47
11,T12,T12,Chad Campbell,97,"46' 10""",1968.1670000000001,42
12,T12,T12,Charley Hoffman,97,"46' 10""",1451.3329999999999,31
13,14,14,Matt Kuchar,97,"46' 9""",1168.667,25
14,T15,T15,Daniel Summerhays,101,"46' 6""",1115.417,24
15,T15,T15,Johnson Wagner,68,"46' 6""",1301.0,28
16,17,17,J.J. Henry,94,"46' 4""",1576.0,34
17,18,18,Spencer Levin,99,"46' 2""",1846.5829999999999,40
18,T19,T19,Erik Compton,86,"46' 1""",1245.0,27
19,T19,T19,Phil Mickelson,70,"46' 1""",1291.25,28
20,T19,T19,Bryce Molder,91,"46' 1""",1244.083,27
21,T22,T22,Billy Hurley III,83,"45' 10""",824.4169999999999,18
22,T22,T22,Andrew Putnam,68,"45' 10""",1099.0,24
23,T24,T24,Alex Cejka,94,"45' 8""",1828.0829999999999,40
24,T24,T24,Brice Garnett,81,"45' 8""",1735.3329999999999,38
25,T24,T24,Hunter Mahan,88,"45' 8""",1233.583,27
26,T24,T24,Alex Prugh,84,"45' 8""",1598.5,35
27,T28,T28,Ángel Cabrera,53,"45' 6""",1046.917,23
28,T28,T28,Henrik Stenson,63,"45' 6""",1136.5,25
29,T30,T30,Jason Day,75,"45' 5""",998.8330000000001,22
30,T30,T30,George McNeill,93,"45' 5""",1951.75,43
31,32,32,Jim Furyk,71,"45' 3""",1085.083,24
32,33,33,Robert Allenby,63,"44' 11""",1572.0,35
33,34,34,Paul Casey,87,"44' 9""",1475.75,33
34,35,35,Jonathan Byrd,69,"44' 8""",1341.0829999999999,30
35,T36,T36,Stewart Cink,77,"44' 7""",2094.833,47
36,T36,T36,James Hahn,94,"44' 7""",1382.0829999999999,31
37,38,38,Martin Laird,77,"44' 6""",1958.25,44
38,T39,T39,Chad Collins,79,"44' 1""",1147.0,26
39,T39,T39,Harris English,105,"44' 1""",1323.3329999999999,30
40,T39,T39,Troy Merritt,91,"44' 1""",1586.5,36
41,T42,T42,J.B. Holmes,89,"44' 0""",1584.75,36
42,T42,T42,Brendon Todd,96,"44' 0""",1055.167,24
43,44,44,Chez Reavie,56,"43' 11""",1316.3329999999999,30
44,T45,T45,Ricky Barnes,82,"43' 10""",1009.0,23
45,T45,T45,Jhonattan Vegas,90,"43' 10""",1928.5,44
46,47,47,Andres Gonzales,90,"43' 9""",1486.9170000000001,34
47,48,48,John Senden,80,"43' 7""",1308.0,30
48,49,49,K.J. Choi,66,"43' 6""",1087.333,25
