,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
162,T138,T138,Kevin Tway,19,14,1.0
163,T138,T138,Peter Uihlein,22,14,
164,T138,T138,Tyrone Van Aswegen,11,14,6.0
165,T138,T138,Boo Weekley,5,14,
166,T138,T138,Gary Woodland,17,14,
167,T168,T168,Anders Albertson,18,13,2.0
168,T168,T168,Sangmoon Bae,16,13,1.0
169,T168,T168,Rich Beem,1,13,4.0
170,T168,T168,Jonathan Byrd,13,13,1.0
171,T168,T168,Stewart Cink,12,13,1.0
172,T168,T276,Will Claxton,2,13,4.0
173,T168,T168,Corey Conners,20,13,
174,T168,T190,Derek Fathauer,10,13,
175,T168,T168,Chesson Hadley,20,13,
176,T168,T168,Brandon Harkins,21,13,
177,T168,T168,Charley Hoffman,18,13,2.0
178,T168,T168,Sungjae Im,26,13,1.0
179,T168,T168,Takumi Kanaya,2,13,
180,T168,T168,Colt Knost,8,13,1.0
181,T168,T168,Haotong Li,9,13,
182,T168,T168,Francesco Molinari,10,13,
183,T168,T168,Ian Poulter,13,13,2.0
184,T168,T168,Jon Rahm,14,13,1.0
185,T168,T168,Patrick Rodgers,14,13,
186,T168,T168,Sam Ryder,16,13,
187,T168,T168,Jordan Spieth,16,13,1.0
188,T168,T168,Sepp Straka,16,13,
189,T168,T168,Tiger Woods,8,13,4.0
190,T168,T168,Chase Wright,19,13,1.0
191,T192,T190,John Chin,14,12,
192,T192,T190,Roberto Díaz,16,12,
193,T192,T190,Brian Davis,5,12,1.0
194,T192,T190,Cameron Davis,18,12,2.0
195,T192,T190,Lucas Glover,17,12,4.0
196,T192,T190,Branden Grace,18,12,
197,T192,T190,Tyrrell Hatton,13,12,12.0
198,T192,T190,Billy Hurley III,8,12,
199,T192,T190,Stephan Jaeger,19,12,
200,T192,T190,Dustin Johnson,12,12,1.0
201,T192,T190,Jerry Kelly,2,12,
202,T192,T190,Graeme McDowell,16,12,
203,T192,T190,Trey Mullinax,20,12,1.0
204,T192,T190,Carlos Ortiz,21,12,
205,T192,T190,D.A. Points,13,12,
206,T192,T190,Alex Prugh,18,12,2.0
207,T192,T190,Doc Redman,1,12,
208,T192,T190,Sam Saunders,18,12,
209,T192,T190,Adam Scott,12,12,4.0
210,T192,T190,Kevin Stadler,3,12,1.0
211,T192,T190,Roland Thatcher,2,12,1.0
212,T213,T212,Kiradech Aphibarnrat,15,11,6.0
213,T213,T212,Ricky Barnes,8,11,
214,T213,T212,Gaganjeet Bhullar,2,11,
215,T213,T212,Dominic Bozzelli,17,11,
216,T213,T212,Jorge Campillo,2,11,2.0
217,T213,T212,Alex Cejka,16,11,1.0
218,T213,T212,Daniel Chopra,3,11,6.0
219,T213,T212,George Cunningham,2,11,
220,T213,T212,Jason Day,14,11,
221,T213,T212,Tony Finau,17,11,
222,T213,T212,Sergio Garcia,11,11,1.0
223,T213,T212,Jason Gore,4,11,1.0
224,T213,T212,Brandon Hagy,12,11,3.0
225,T213,T212,Todd Hamilton,1,11,3.0
226,T213,T212,Jim Herman,16,11,2.0
227,T213,T212,Viktor Hovland,4,11,
228,T213,T247,Zach Johnson,15,11,4.0
229,T213,T212,Martin Kaymer,11,11,
230,T213,T212,Sihwan Kim,2,11,
231,T213,T212,Danny Lee,20,11,4.0
232,T213,T212,Nicholas Lindheim,10,11,5.0
233,T213,T212,Curtis Luck,17,11,
234,T213,T212,Will MacKenzie,5,11,
235,T213,T212,Rory McIlroy,13,11,3.0
236,T213,T212,Troy Merritt,12,11,
237,T213,T212,Eddie Pepperell,7,11,1.0
238,T213,T212,Kenny Perry,8,11,
239,T213,T212,Thomas Pieters,4,11,
240,T213,T212,Julio Santos,1,11,
241,T213,T212,Adam Schenk,24,11,1.0
242,T213,T212,Scott Stallings,20,11,
243,T213,T212,Jhonattan Vegas,18,11,4.0
244,T213,T212,Scott Vincent,2,11,1.0
245,T213,T212,Matt Wallace,9,11,
246,T213,T212,Bubba Watson,13,11,1.0
247,T213,T212,Mike Weir,4,11,4.0
248,T213,,Ryan Yip,1,11,
249,T250,T247,Kris Blanks,1,10,6.0
250,T250,T247,Ho Sung Choi,1,10,
251,T250,T247,Keith Clearwater,1,10,1.0
252,T250,T247,Chris Couch,2,10,1.0
253,T250,T247,Brendon de Jonge,4,10,1.0
254,T250,T247,Rickie Fowler,14,10,3.0
255,T250,T247,Cody Gribble,18,10,
256,T250,T247,Ben Griffin,2,10,
257,T250,T247,Max Homa,19,10,
258,T250,T247,Alex Kang,2,10,4.0
259,T250,T247,Brooks Koepka,13,10,1.0
260,T250,T247,Anirban Lahiri,17,10,
261,T250,T247,Kyoung-Hoon Lee,22,10,1.0
262,T250,T247,Marc Leishman,14,10,1.0
263,T250,T247,Kim Leun-Kwang,1,10,4.0
264,T250,T247,David Lipsky,4,10,5.0
265,T250,T247,Luke List,16,10,
266,T250,T247,George McNeill,6,10,
267,T250,T247,Dylan Meyer,3,10,3.0
268,T250,T247,Doyeob Mun,1,10,2.0
269,T250,T247,Hyun-woo Ryu,1,10,2.0
270,T250,T247,Charl Schwartzel,13,10,
271,T250,T247,Chris Stroud,19,10,2.0
272,T250,T247,Justin Suh,2,10,
273,T250,T247,Braden Thornberry,2,10,2.0
274,T250,T247,Harold Varner III,20,10,3.0
275,T250,T247,Carl Yuan,1,10,1.0
276,T250,T247,Zach Zaback,1,10,2.0
277,T278,T276,Arjun Atwal,2,9,
278,T278,T276,Charlie Beljan,2,9,3.0
279,T278,T276,Minchel Choi,2,9,
280,T278,T276,Stuart Deane,2,9,1.0
281,T278,T276,Julián Etulain,17,9,
282,T278,T276,Zack Fischer,2,9,9.0
283,T278,T276,Oscar Fraustro,1,9,1.0
284,T278,T276,Tim Herron,6,9,
285,T278,T276,Yuki Inamori,2,9,2.0
286,T278,T276,Peter Jones,1,9,3.0
287,T278,,Jake Knapp,1,9,
288,T278,T276,Yuwa Kosaihira,1,9,
289,T278,T276,Hyungjoon Lee,1,9,2.0
290,T278,T276,Frank Lickliter II,1,9,3.0
291,T278,T276,John Merrick,3,9,
292,T278,T276,Martin Piller,10,9,1.0
293,T278,T276,Andres Romero,6,9,1.0
294,T278,T276,Justin Rose,11,9,2.0
295,T278,T276,Adam Svensson,18,9,2.0
296,T278,T276,Cameron Tringale,15,9,3.0
297,T278,T276,Kristoffer Ventura,3,9,1.0
298,T278,T276,Ian Woosnam,1,9,3.0
299,T278,T276,Xinjun Zhang,1,9,
300,T301,T299,Brad Adamonis,1,8,
301,T301,T299,Stuart Appleby,3,8,2.0
302,T301,T299,Aaron Baddeley,15,8,
303,T301,T299,Shintaro Ban,2,8,1.0
304,T301,T299,Devon Bling,1,8,
305,T301,T299,Jason Bohn,3,8,2.0
306,T301,T299,Rafael Campos,2,8,
307,T301,T299,Kevin Chappell,3,8,
308,T301,T299,Wyndham Clark,20,8,
309,T301,,Chris Crisologo,1,8,8.0
310,T301,T299,Ken Duke,1,8,3.0
311,T301,T299,Tommy Fleetwood,11,8,3.0
312,T301,T299,Robert Gamez,2,8,
313,T301,T299,Rikuya Hoshino,1,8,4.0
314,T301,T299,Shugo Imahira,4,8,1.0
315,T301,T299,Trevor Immelman,4,8,2.0
316,T301,T299,Jonathan Kaye,2,8,1.0
317,T301,T299,Ben Leong,1,8,3.0
318,T301,T299,Dru Love,5,8,
319,T301,T299,Tom Lovelady,10,8,
320,T301,T299,Joost Luiten,4,8,1.0
321,T301,T299,Steve Marino,4,8,8.0
322,T301,T299,Sean O'Hair,9,8,
323,T301,T299,Alvaro Ortiz,4,8,2.0
324,T301,T299,Adrian Otaegui,3,8,
325,T301,T299,Aaron Rai,1,8,2.0
326,T301,T299,John Rollins,3,8,7.0
327,T301,T299,Zack Sucher,3,8,2.0
328,T301,T299,Chris Thompson,12,8,
329,T301,T299,David Toms,1,8,1.0
330,T301,T299,Martin Trainer,19,8,1.0
331,T301,T299,Matthew Wolff,1,8,1.0
