,Consecutive_Par_3_Birdies_RANK THIS WEEK,Consecutive_Par_3_Birdies_RANK LAST WEEK,Consecutive_Par_3_Birdies_PLAYER NAME,Consecutive_Par_3_Birdies_EVENTS,Consecutive_Par_3_Birdies_NUMBER OF HOLES
0,T1,T1,Cameron Champ,19,5
1,T1,T1,Patton Kizzire,18,5
2,T3,T3,Billy Horschel,19,4
3,T3,T3,John Huh,13,4
4,T3,T3,Sihwan Kim,2,4
5,T3,T3,Chris Kirk,17,4
6,T3,T3,Satoshi Kodaira,16,4
7,T3,T3,Martin Laird,18,4
8,T3,T3,Hank Lebioda,16,4
9,T3,T3,Danny Lee,20,4
10,T3,T3,Davis Love III,9,4
11,T3,T3,Shawn Stefani,19,4
12,T3,T3,Steve Stricker,7,4
13,T3,T3,Adam Svensson,18,4
14,T15,T15,Anders Albertson,18,3
15,T15,T15,Kiradech Aphibarnrat,15,3
16,T15,T15,Ryan Armour,21,3
17,T15,T15,Dominic Bozzelli,17,3
18,T15,T15,Bronson Burgoon,14,3
19,T15,T15,Paul Casey,15,3
20,T15,T15,Roberto Castro,16,3
21,T15,T15,Bud Cauley,19,3
22,T15,T15,Alex Cejka,16,3
23,T15,T15,Wyndham Clark,20,3
24,T15,T15,Corey Conners,20,3
25,T15,T15,Cameron Davis,18,3
26,T15,T15,Jason Day,14,3
27,T15,T15,Jason Dufner,19,3
28,T15,T15,Tyler Duncan,22,3
29,T15,T15,Harris English,21,3
30,T15,T15,Julián Etulain,17,3
31,T15,T15,Tony Finau,17,3
32,T15,T15,Rickie Fowler,14,3
33,T15,T15,Lucas Glover,17,3
34,T15,T15,Fabián Gómez,14,3
35,T15,T15,Cody Gribble,18,3
36,T15,T15,Emiliano Grillo,17,3
37,T15,T15,Adam Hadwin,18,3
38,T15,T15,Brandon Harkins,21,3
39,T15,T15,Tyrrell Hatton,13,3
40,T15,T87,David Hearn,14,3
41,T15,T15,Tom Hoge,24,3
42,T15,T15,Max Homa,19,3
43,T15,T15,Stephan Jaeger,19,3
44,T15,T15,Dustin Johnson,12,3
45,T15,T15,Martin Kaymer,11,3
46,T15,T15,Si Woo Kim,20,3
47,T15,T15,Michael Kim,21,3
48,T15,T15,Brooks Koepka,13,3
49,T15,T15,Jason Kokrak,17,3
50,T15,T15,Kelly Kraft,23,3
51,T15,T15,Anirban Lahiri,17,3
52,T15,T15,Scott Langley,20,3
53,T15,T15,Jamie Lovemark,7,3
54,T15,T15,Denny McCarthy,20,3
55,T15,T15,Chip McDaniel,3,3
56,T15,T15,Rory McIlroy,13,3
57,T15,T15,Phil Mickelson,13,3
58,T15,T15,Keith Mitchell,19,3
59,T15,T15,Sebastián Muñoz,18,3
60,T15,T15,Louis Oosthuizen,12,3
61,T15,T15,Carlos Ortiz,21,3
62,T15,T15,Ryan Palmer,16,3
63,T15,T15,Scott Piercy,19,3
64,T15,T15,Andrew Putnam,17,3
65,T15,T15,Patrick Reed,15,3
66,T15,T15,Seth Reeves,18,3
67,T15,T15,Patrick Rodgers,14,3
68,T15,T15,Justin Rose,11,3
69,T15,T15,Xander Schauffele,15,3
70,T15,T15,Adam Schenk,24,3
71,T15,T15,Shubhankar Sharma,6,3
72,T15,T15,Ben Silverman,17,3
73,T15,T15,Cameron Smith,16,3
74,T15,T15,J.J. Spaun,20,3
75,T15,T15,Jordan Spieth,16,3
76,T15,T15,Scott Stallings,20,3
77,T15,T15,Brian Stuard,22,3
78,T15,T15,Vaughn Taylor,21,3
